日付,時刻,始値,高値,安値,終値
2013-12-30,後場,130.46,130.86,130.35,130.84
2013-12-30,前場,130.14,130.47,130.07,130.41
2013-12-27,後場,128.68,129.51,128.68,129.49
2013-12-27,前場,128.48,128.73,127.96,128.67
2013-12-26,後場,127.90,128.52,127.88,128.31
2013-12-26,前場,127.26,128.24,127.18,128.09
2013-12-25,後場,126.06,126.80,125.97,126.80
2013-12-25,前場,126.60,126.85,126.21,126.33
2013-12-24,後場,127.32,127.43,126.76,127.17
2013-12-24,前場,127.86,128.03,127.04,127.42
2013-12-20,後場,127.07,127.63,127.05,127.63
2013-12-20,前場,127.39,127.79,127.03,127.31
2013-12-19,後場,127.62,127.93,127.40,127.93
2013-12-19,前場,128.29,128.49,127.54,127.64
2013-12-18,後場,126.80,127.33,126.67,127.33
2013-12-18,前場,125.45,126.95,125.43,126.70
2013-12-17,後場,125.43,125.64,125.12,125.64
2013-12-17,前場,125.20,125.76,125.16,125.28
2013-12-16,後場,124.85,125.04,124.38,124.38
2013-12-16,前場,126.12,126.19,125.17,125.24
2013-12-13,後場,126.33,126.79,125.88,125.88
2013-12-13,前場,126.04,126.50,125.26,125.95
2013-12-12,後場,126.29,126.43,126.04,126.42
2013-12-12,前場,126.91,126.96,126.15,126.26
2013-12-11,後場,127.26,127.67,126.61,127.46
2013-12-11,前場,127.46,127.75,127.39,127.61
2013-12-10,後場,127.67,128.04,127.63,127.83
2013-12-10,前場,127.84,127.84,127.46,127.74
2013-12-09,後場,127.70,127.80,127.27,127.80
2013-12-09,前場,128.06,128.12,127.36,127.67
2013-12-06,後場,126.42,126.74,125.86,126.55
2013-12-06,前場,125.98,126.38,125.79,126.26
2013-12-05,後場,126.77,126.86,125.75,125.75
2013-12-05,前場,127.54,127.83,126.40,126.65
2013-12-04,後場,127.83,128.30,127.44,127.44
2013-12-04,前場,128.47,128.85,127.61,127.95
2013-12-03,後場,129.39,129.48,129.07,129.08
2013-12-03,前場,129.41,129.61,128.96,129.57
2013-12-02,後場,129.21,129.33,128.73,129.11
2013-12-02,前場,129.81,129.88,129.00,129.26
2013-11-29,後場,129.65,129.70,128.81,129.60
2013-11-29,前場,129.86,129.86,129.30,129.76
2013-11-28,後場,129.61,129.81,129.15,129.71
2013-11-28,前場,130.09,130.16,129.51,129.62
2013-11-27,後場,129.49,129.60,129.12,129.18
2013-11-27,前場,129.01,129.72,128.98,129.46
2013-11-26,後場,129.72,130.11,129.64,129.72
2013-11-26,前場,130.26,130.35,129.58,129.73
2013-11-25,後場,130.46,130.67,130.15,130.67
2013-11-25,前場,130.76,130.76,130.16,130.55
2013-11-22,後場,130.78,130.88,129.55,130.31
2013-11-22,前場,130.98,130.98,130.27,130.81
2013-11-21,後場,130.39,130.43,130.03,130.43
2013-11-21,前場,130.25,131.11,130.10,130.59
2013-11-20,後場,129.65,129.83,129.32,129.58
2013-11-20,前場,130.59,130.62,129.48,129.75
2013-11-19,後場,130.01,130.55,129.79,130.08
2013-11-19,前場,130.34,130.68,129.85,129.99
2013-11-18,後場,131.21,131.57,130.76,130.97
2013-11-18,前場,132.28,132.28,130.95,131.38
2013-11-15,後場,132.26,132.42,131.83,132.02
2013-11-15,前場,130.74,132.22,130.70,132.22
2013-11-14,後場,130.50,130.70,129.86,130.39
2013-11-14,前場,128.97,129.70,128.62,129.67
2013-11-13,後場,128.46,128.46,127.90,128.20
2013-11-13,前場,128.90,129.43,128.37,128.81
2013-11-12,後場,128.48,129.26,128.41,129.26
2013-11-12,前場,126.85,128.96,126.71,128.65
2013-11-11,後場,126.60,127.00,126.28,126.99
2013-11-11,前場,127.74,127.90,126.40,126.73
2013-11-08,後場,126.23,126.33,125.52,126.06
2013-11-08,前場,125.85,126.42,125.85,126.06
2013-11-07,後場,127.44,127.72,127.19,127.35
2013-11-07,前場,128.17,128.20,126.95,127.29
2013-11-06,後場,128.28,129.38,127.87,128.09
2013-11-06,前場,127.12,128.22,127.12,127.90
2013-11-05,後場,126.96,127.71,126.66,126.99
2013-11-05,前場,128.44,128.53,126.67,126.91
2013-11-01,後場,127.75,127.75,126.82,127.12
