日付,始値,高値,安値,終値
2010-12-30,96.01,96.11,95.20,95.20
2010-12-29,95.64,96.19,95.59,96.19
2010-12-28,95.68,95.90,95.59,95.62
2010-12-27,95.53,95.77,95.39,95.55
2010-12-24,95.65,95.77,95.38,95.50
2010-12-22,96.18,96.33,95.66,95.80
2010-12-21,96.07,96.58,95.96,96.28
2010-12-20,96.29,96.51,95.50,95.68
2010-12-17,96.13,96.46,95.99,96.09
2010-12-16,95.94,96.66,95.93,96.38
2010-12-15,96.52,96.57,95.83,95.94
2010-12-14,95.95,96.47,95.91,96.28
2010-12-13,95.32,95.93,95.14,95.93
2010-12-10,95.93,95.93,94.87,95.17
2010-12-09,95.39,95.67,95.12,95.55
2010-12-08,94.42,95.37,94.40,95.37
2010-12-07,93.97,94.25,93.57,94.05
2010-12-06,94.02,94.38,94.02,94.05
2010-12-03,94.51,94.64,93.67,93.82
2010-12-02,94.46,94.68,94.01,94.01
2010-12-01,93.05,93.68,92.75,93.60
2010-11-30,94.12,94.28,93.00,93.00
2010-11-29,93.04,94.30,93.04,94.16
2010-11-26,92.60,93.31,92.60,92.87
2010-11-25,93.14,93.14,92.47,92.55
2010-11-24,92.59,93.04,92.28,92.49
2010-11-22,93.59,93.86,93.33,93.54
2010-11-19,93.60,93.60,92.79,92.93
2010-11-18,91.73,93.13,91.64,93.12
2010-11-17,90.96,91.61,90.96,91.56
2010-11-16,92.94,92.94,91.51,91.61
2010-11-15,93.09,93.15,92.69,92.96
2010-11-12,93.38,93.76,92.66,92.66
2010-11-11,93.29,93.61,93.19,93.52
2010-11-10,92.25,93.25,92.17,93.03
2010-11-09,92.46,93.00,91.92,92.07
2010-11-08,92.76,92.97,92.43,92.73
2010-11-05,91.57,92.64,91.56,92.17
2010-11-04,90.29,91.05,90.21,90.67
2010-11-02,89.53,89.71,89.12,89.51
2010-11-01,90.62,90.98,89.71,89.81
2010-10-29,91.09,91.21,89.98,90.99
2010-10-28,90.74,91.47,90.60,91.14
2010-10-27,91.28,91.31,90.16,90.46
2010-10-26,91.38,91.58,91.01,91.06
2010-10-25,91.75,92.00,91.28,91.32
2010-10-22,91.44,91.98,91.35,91.60
2010-10-21,92.30,92.33,90.78,91.18
2010-10-20,92.87,92.94,91.75,92.46
2010-10-19,92.87,94.04,92.87,93.54
2010-10-18,91.88,93.15,91.88,92.88
2010-10-15,92.67,92.71,91.52,91.60
