日付,時刻,始値,高値,安値,終値
2017-12-22,後場,143.10,143.16,142.75,142.98
2017-12-22,前場,143.01,143.70,143.00,143.15
2017-12-21,後場,142.84,143.11,142.62,142.84
2017-12-21,前場,143.51,143.55,142.38,142.46
2017-12-20,後場,143.22,143.46,142.99,143.20
2017-12-20,前場,142.93,143.93,142.91,143.08
2017-12-19,後場,142.04,142.52,142.03,142.16
2017-12-19,前場,141.37,142.28,141.37,142.13
2017-12-18,後場,141.63,141.95,141.50,141.72
2017-12-18,前場,140.62,141.62,139.97,141.62
2017-12-15,後場,139.00,139.93,138.97,139.15
2017-12-15,前場,139.88,139.88,138.78,138.89
2017-12-14,後場,140.90,141.00,140.00,140.42
2017-12-14,前場,141.31,141.39,140.52,140.94
2017-12-13,後場,142.12,142.39,141.67,142.27
2017-12-13,前場,142.53,143.07,142.46,142.50
2017-12-12,後場,141.86,142.04,141.33,141.69
2017-12-12,前場,140.53,142.00,140.37,141.94
2017-12-11,後場,139.80,140.33,139.75,140.32
2017-12-11,前場,139.84,140.33,139.48,139.80
2017-12-08,後場,139.42,139.44,138.88,139.25
2017-12-08,前場,137.90,139.73,137.90,139.49
2017-12-07,後場,138.86,138.89,138.35,138.50
2017-12-07,前場,138.65,139.29,138.65,139.07
2017-12-06,後場,138.58,138.62,137.37,138.03
2017-12-06,前場,139.72,139.72,138.84,139.24
2017-12-05,後場,140.57,140.75,140.31,140.38
2017-12-05,前場,139.61,140.41,139.31,140.41
2017-12-04,後場,140.49,140.51,139.52,139.68
2017-12-04,前場,140.60,140.69,140.08,140.34
2017-12-01,後場,140.11,140.65,139.79,140.33
2017-12-01,前場,140.87,141.15,139.71,139.85
2017-11-30,後場,139.16,140.52,139.14,139.44
2017-11-30,前場,138.22,139.60,138.07,139.05
2017-11-29,後場,136.12,136.83,136.09,136.61
2017-11-29,前場,134.74,136.27,134.74,136.19
2017-11-28,後場,133.42,133.54,132.85,133.12
2017-11-28,前場,133.64,133.92,132.80,133.56
2017-11-27,後場,134.33,134.35,133.85,134.02
2017-11-27,前場,134.45,135.05,134.18,134.40
