日付,始値,高値,安値,終値
2016-12-30,127.59,129.37,127.51,129.18
2016-12-29,129.90,130.32,128.56,129.35
2016-12-28,131.17,131.28,130.49,130.77
2016-12-27,130.46,132.08,130.22,131.11
2016-12-26,131.63,131.72,130.89,131.07
2016-12-22,132.75,132.85,131.13,131.80
2016-12-21,133.80,134.95,132.54,132.81
2016-12-20,133.66,133.68,131.80,133.16
2016-12-19,133.90,134.52,133.68,134.14
2016-12-16,136.60,136.60,135.11,135.36
2016-12-15,137.10,138.09,135.70,136.11
2016-12-14,136.28,136.28,135.26,136.06
2016-12-13,135.48,136.22,134.14,136.22
2016-12-12,138.30,139.67,135.21,136.77
2016-12-09,135.28,136.95,134.81,136.87
2016-12-08,133.45,135.09,133.32,135.09
2016-12-07,130.58,131.52,130.15,131.52
2016-12-06,128.92,130.16,128.92,129.52
2016-12-05,127.93,128.11,126.72,127.26
2016-12-02,126.89,129.22,126.89,128.89
2016-12-01,125.90,128.08,125.80,127.01
2016-11-30,123.81,124.30,123.24,124.12
2016-11-29,123.54,124.22,123.13,123.84
2016-11-28,122.98,125.12,122.53,124.94
2016-11-25,124.59,125.49,123.23,124.21
2016-11-24,124.24,124.79,123.94,124.09
2016-11-22,122.06,122.53,121.58,122.39
2016-11-21,121.03,122.81,120.80,122.18
2016-11-18,122.00,122.20,119.47,119.96
2016-11-17,119.23,120.25,118.61,120.19
2016-11-16,120.59,121.39,120.38,121.24
2016-11-15,118.91,119.28,117.75,119.02
2016-11-14,115.73,118.74,115.73,118.52
2016-11-11,112.83,116.86,112.83,114.87
2016-11-10,103.64,111.55,103.64,110.82
2016-11-09,108.10,109.35,100.03,101.59
2016-11-08,107.36,108.06,107.10,107.18
2016-11-07,107.56,107.98,106.48,106.68
2016-11-04,106.36,106.83,104.81,105.61
2016-11-02,108.72,109.04,107.48,108.12
2016-11-01,110.77,111.04,109.58,110.70
2016-10-31,109.29,110.39,109.22,110.35
2016-10-28,108.56,109.80,108.24,109.54
2016-10-27,106.11,107.38,105.92,107.08
2016-10-26,105.63,105.97,104.72,105.96
2016-10-25,105.53,106.40,105.53,105.85
2016-10-24,105.09,105.25,104.14,104.77
2016-10-21,106.06,106.16,104.65,104.88
2016-10-20,103.93,105.65,103.56,105.60
2016-10-19,103.79,104.35,103.43,104.17
2016-10-18,103.95,104.39,102.96,104.39
2016-10-17,104.38,105.31,104.05,104.48
2016-10-14,103.07,104.03,102.57,103.90
2016-10-13,103.36,104.42,102.07,102.62
2016-10-12,102.95,103.81,102.84,102.84
2016-10-11,104.28,105.12,104.17,104.29
2016-10-07,104.51,105.18,103.84,104.39
2016-10-06,103.70,105.58,103.60,104.13
2016-10-05,101.45,102.60,100.73,102.24
2016-10-04,100.16,101.55,99.98,100.71
2016-10-03,100.70,101.13,99.99,100.18
2016-09-30,100.09,100.67,98.55,99.99
