日付,時刻,始値,高値,安値,終値
2010-12-30,後場,211.11,212.32,211.11,211.44
2010-12-30,前場,213.60,214.02,210.92,211.01
2010-12-29,後場,213.39,214.33,213.27,214.27
2010-12-29,前場,213.29,213.54,212.68,213.19
2010-12-28,後場,213.39,213.69,213.11,213.33
2010-12-28,前場,213.59,214.39,213.34,213.74
2010-12-27,後場,213.89,214.40,213.59,213.84
2010-12-27,前場,212.63,213.82,212.54,213.51
2010-12-24,後場,213.00,213.26,212.71,213.01
2010-12-24,前場,213.98,214.07,212.74,212.81
2010-12-22,後場,215.10,215.55,214.37,214.76
2010-12-22,前場,213.36,215.46,213.36,214.91
2010-12-21,後場,213.26,214.20,213.04,213.12
2010-12-21,前場,212.38,213.09,212.22,212.38
2010-12-20,後場,212.56,212.94,211.30,212.38
2010-12-20,前場,212.92,214.14,212.76,213.46
2010-12-17,後場,213.17,213.56,212.73,213.27
2010-12-17,前場,213.92,214.65,213.17,213.43
2010-12-16,後場,213.58,214.58,213.29,213.68
2010-12-16,前場,213.54,214.38,212.99,213.78
2010-12-15,後場,213.86,214.11,213.08,213.64
2010-12-15,前場,216.19,216.50,213.50,213.96
2010-12-14,後場,213.99,215.28,213.97,215.18
2010-12-14,前場,213.19,214.71,213.17,213.93
2010-12-13,後場,211.49,213.43,211.45,213.43
2010-12-13,前場,210.41,212.07,210.38,211.60
2010-12-10,後場,209.87,210.29,209.34,209.34
2010-12-10,前場,210.04,210.16,208.89,209.83
2010-12-09,後場,208.85,209.46,208.54,209.45
2010-12-09,前場,210.34,210.61,208.88,209.00
2010-12-08,後場,209.06,210.71,209.06,210.43
2010-12-08,前場,208.20,210.07,207.96,209.16
2010-12-07,後場,207.31,208.22,207.09,207.69
2010-12-07,前場,207.90,208.00,206.64,207.05
2010-12-06,後場,207.37,208.31,207.17,208.16
2010-12-06,前場,205.76,208.07,205.76,207.56
2010-12-03,後場,204.87,205.16,204.27,204.66
2010-12-03,前場,206.54,206.67,204.69,204.89
2010-12-02,後場,205.45,205.63,204.31,204.92
2010-12-02,前場,205.59,205.97,204.84,205.20
2010-12-01,後場,200.69,202.02,200.49,201.53
2010-12-01,前場,201.41,201.53,200.22,201.30
2010-11-30,後場,203.69,203.69,200.85,200.85
2010-11-30,前場,205.47,205.83,204.42,204.77
2010-11-29,後場,205.70,207.12,205.51,206.78
2010-11-29,前場,204.91,207.32,204.68,205.17
2010-11-26,後場,205.78,205.90,204.06,204.25
2010-11-26,前場,203.43,206.83,203.27,205.87
2010-11-25,後場,203.37,204.35,202.91,202.99
2010-11-25,前場,204.67,204.67,203.03,203.35
2010-11-24,後場,201.73,202.50,201.19,202.04
2010-11-24,前場,200.50,202.24,199.38,201.85
2010-11-22,後場,204.04,205.51,204.02,204.80
2010-11-22,前場,203.73,204.53,203.27,204.46
2010-11-19,後場,202.44,203.04,201.90,202.06
2010-11-19,前場,204.14,204.20,202.71,202.77
2010-11-18,後場,199.31,201.89,199.31,201.72
2010-11-18,前場,197.83,199.50,196.87,198.63
2010-11-17,後場,197.19,197.98,196.86,197.87
2010-11-17,前場,196.53,197.40,196.11,197.04
2010-11-16,後場,198.61,200.13,197.90,199.27
2010-11-16,前場,201.85,202.11,197.93,198.54
2010-11-15,後場,199.25,200.33,198.98,200.24
2010-11-15,前場,200.43,200.57,198.65,199.25
2010-11-12,後場,200.43,201.31,199.96,199.96
2010-11-12,前場,200.37,202.41,199.84,201.13
2010-11-11,後場,201.33,201.65,200.47,201.34
2010-11-11,前場,202.41,202.48,201.18,201.34
2010-11-10,後場,202.38,202.65,201.18,202.22
2010-11-10,前場,200.62,203.46,200.47,202.64
2010-11-09,後場,199.63,199.70,198.62,199.00
2010-11-09,前場,198.87,200.09,198.39,199.71
2010-11-08,後場,199.68,200.11,198.82,199.97
2010-11-08,前場,200.19,200.64,199.18,199.83
2010-11-05,後場,197.65,198.30,197.30,197.53
2010-11-05,前場,194.72,198.26,194.41,197.54
2010-11-04,後場,191.17,192.01,190.80,191.05
2010-11-04,前場,189.85,192.52,189.85,191.46
2010-11-02,後場,187.14,187.49,186.76,186.97
2010-11-02,前場,187.36,188.35,186.90,187.25
2010-11-01,後場,188.32,189.53,187.06,187.61
2010-11-01,前場,186.17,188.67,186.09,187.99
2010-10-29,後場,185.48,188.21,185.30,188.21
2010-10-29,前場,188.46,189.51,185.54,185.94
2010-10-28,後場,189.68,191.52,189.19,189.96
2010-10-28,前場,189.47,189.59,188.66,189.39
2010-10-27,後場,192.11,192.31,189.51,190.86
2010-10-27,前場,193.62,193.74,192.19,192.28
2010-10-26,後場,193.76,195.02,192.85,192.88
2010-10-26,前場,193.69,194.40,193.30,194.00
2010-10-25,後場,194.62,196.16,194.27,194.64
2010-10-25,前場,196.08,196.25,193.73,194.06
2010-10-22,後場,195.17,196.73,194.77,195.52
2010-10-22,前場,194.08,195.87,193.98,195.26
2010-10-21,後場,194.79,195.02,194.08,194.93
2010-10-21,前場,196.29,197.02,194.03,195.18
2010-10-20,後場,195.10,196.40,194.89,195.99
2010-10-20,前場,195.64,195.73,193.78,194.44
2010-10-19,後場,198.30,199.05,197.57,198.80
2010-10-19,前場,197.91,199.85,197.51,198.79
2010-10-18,後場,198.19,198.27,196.62,197.54
2010-10-18,前場,198.35,199.28,197.11,198.70
2010-10-15,後場,198.61,199.39,197.54,198.18
2010-10-15,前場,200.10,200.10,197.91,198.46
2010-10-14,後場,199.89,201.52,199.43,200.90
2010-10-14,前場,198.85,201.77,198.53,200.78
2010-10-13,後場,198.70,198.86,196.07,196.54
2010-10-13,前場,198.39,199.55,197.39,198.78
2010-10-12,後場,198.53,198.60,196.82,197.19
2010-10-12,前場,203.03,203.28,198.66,198.73
2010-10-08,後場,202.84,202.97,201.74,201.74
2010-10-08,前場,201.94,203.48,201.69,202.51
2010-10-07,後場,203.19,203.67,201.85,202.79
2010-10-07,前場,202.09,203.73,201.88,203.11
2010-10-06,後場,201.00,202.69,200.79,202.69
2010-10-06,前場,199.92,202.16,199.58,201.06
2010-10-05,後場,195.88,198.25,194.07,197.64
2010-10-05,前場,195.47,197.10,194.90,196.25
2010-10-04,後場,198.45,198.79,196.31,196.71
2010-10-04,前場,197.07,199.26,196.04,198.60
2010-10-01,後場,198.15,198.34,196.20,197.57
2010-10-01,前場,200.05,200.10,197.38,198.71
2010-09-30,後場,200.80,201.32,198.37,198.84
2010-09-30,前場,203.34,203.36,200.55,200.87
2010-09-29,後場,203.00,204.21,202.73,203.17
2010-09-29,前場,201.48,204.17,201.33,202.99
2010-09-28,後場,201.33,202.14,200.28,200.95
2010-09-28,前場,200.03,202.53,199.93,201.48
2010-09-27,後場,199.74,200.71,199.27,200.52
2010-09-27,前場,199.52,200.47,198.62,200.47
2010-09-24,後場,197.44,200.24,196.33,197.51
2010-09-24,前場,198.28,198.44,196.87,197.37
2010-09-22,後場,201.16,201.77,200.77,200.85
2010-09-22,前場,201.09,201.60,199.78,201.36
2010-09-21,後場,203.71,203.78,201.88,202.14
2010-09-21,前場,206.03,206.06,204.15,204.49
2010-09-17,後場,204.18,205.00,203.85,204.44
2010-09-17,前場,203.26,204.23,202.79,203.56
2010-09-16,後場,202.24,202.43,201.09,201.74
2010-09-16,前場,205.40,205.57,202.67,203.17
2010-09-15,後場,203.85,204.72,203.33,203.34
2010-09-15,前場,199.10,202.47,197.25,202.35
2010-09-14,後場,199.32,200.24,198.95,199.52
2010-09-14,前場,200.39,200.88,198.77,199.73
2010-09-13,後場,200.18,201.11,199.83,200.09
2010-09-13,前場,201.08,201.85,199.81,200.03
2010-09-10,後場,200.33,200.65,198.89,199.14
2010-09-10,前場,199.78,201.49,199.71,201.10
2010-09-09,後場,196.70,198.17,196.38,198.00
2010-09-09,前場,197.10,198.32,196.10,196.81
2010-09-08,後場,193.95,194.43,192.82,194.03
2010-09-08,前場,194.93,195.66,193.63,194.22
2010-09-07,後場,199.60,200.06,197.59,197.95
2010-09-07,前場,196.06,200.71,195.99,199.80
2010-09-06,後場,195.63,197.03,195.20,197.03
2010-09-06,前場,195.05,195.87,194.45,195.70
2010-09-03,後場,192.06,193.41,191.61,193.28
2010-09-03,前場,191.64,193.45,191.42,192.53
2010-09-02,後場,189.66,190.94,188.59,190.70
2010-09-02,前場,192.29,192.37,189.90,190.62
2010-09-01,後場,187.73,189.02,187.50,188.47
2010-09-01,前場,185.64,187.64,185.15,186.75
2010-08-31,後場,187.72,187.96,184.76,185.24
2010-08-31,前場,189.15,189.49,187.61,187.64
2010-08-30,後場,194.36,194.36,191.85,192.69
2010-08-30,前場,192.79,195.45,192.79,195.36
2010-08-27,後場,186.32,190.02,186.13,189.39
2010-08-27,前場,185.62,186.63,185.35,185.47
2010-08-26,後場,186.91,187.84,186.73,187.84
2010-08-26,前場,188.00,188.36,186.27,186.93
2010-08-25,後場,187.75,188.35,185.36,186.32
2010-08-25,前場,187.60,187.95,186.56,187.24
2010-08-24,後場,190.26,190.79,189.37,189.81
2010-08-24,前場,189.67,189.82,188.30,189.63
2010-08-23,後場,193.03,193.18,191.69,192.24
2010-08-23,前場,194.40,194.89,192.64,193.88
2010-08-20,後場,196.13,196.25,194.55,194.91
2010-08-20,前場,195.22,197.24,194.99,196.23
2010-08-19,後場,198.29,198.76,197.36,198.56
2010-08-19,前場,195.11,198.49,194.94,198.38
2010-08-18,後場,192.97,195.21,192.70,194.81
2010-08-18,前場,194.24,195.12,192.16,193.56
2010-08-17,後場,190.66,192.31,190.66,191.45
2010-08-17,前場,190.03,191.04,189.09,190.35
2010-08-16,後場,191.47,192.97,190.83,192.58
2010-08-16,前場,190.95,191.18,189.52,191.06
2010-08-13,後場,192.16,193.34,191.91,193.06
2010-08-13,前場,192.82,193.58,191.13,191.59
2010-08-12,後場,190.04,192.80,189.69,192.80
2010-08-12,前場,191.47,191.81,189.98,190.42
2010-08-11,後場,196.60,196.75,195.62,195.84
2010-08-11,前場,198.70,198.82,195.66,196.30
2010-08-10,後場,202.87,202.87,200.19,201.13
2010-08-10,前場,203.49,205.01,203.19,204.14
2010-08-09,後場,200.24,202.02,200.07,201.89
