日付,始値,高値,安値,終値
2015-12-30,212.15,213.20,209.25,209.34
2015-12-29,209.48,210.47,205.75,210.11
2015-12-28,205.76,211.57,205.61,210.44
2015-12-25,208.38,209.72,204.98,205.64
2015-12-24,211.08,213.19,208.80,209.06
2015-12-22,205.24,208.43,204.39,207.52
2015-12-21,203.52,207.32,201.91,206.24
2015-12-18,207.58,212.39,204.45,204.46
2015-12-17,209.32,209.48,206.73,207.07
2015-12-16,203.87,207.02,203.75,205.53
2015-12-15,203.85,204.17,200.12,200.19
2015-12-14,204.61,204.75,200.36,204.31
2015-12-11,206.93,209.63,206.93,209.01
2015-12-10,206.68,208.62,206.68,206.84
2015-12-09,208.48,210.36,207.89,208.96
2015-12-08,216.48,217.28,211.38,211.81
2015-12-07,217.91,218.46,216.51,216.51
2015-12-04,215.84,216.90,214.52,215.34
2015-12-03,217.99,220.47,217.99,220.02
2015-12-02,221.20,221.28,218.26,219.26
2015-12-01,216.04,219.40,215.90,219.40
2015-11-30,215.26,215.26,212.56,214.76
2015-11-27,217.25,218.92,216.30,216.38
2015-11-26,215.07,216.50,214.90,216.17
2015-11-25,213.35,215.86,213.00,214.74
2015-11-24,215.03,216.10,212.71,214.08
2015-11-20,214.57,215.08,212.66,215.08
2015-11-19,213.40,216.63,213.23,214.87
2015-11-18,211.27,212.28,209.71,211.05
2015-11-17,207.87,211.34,207.46,210.60
2015-11-16,202.23,205.55,202.07,204.58
2015-11-13,205.87,206.90,204.30,206.37
2015-11-12,208.37,209.13,206.30,208.46
2015-11-11,210.18,210.72,207.49,208.66
2015-11-10,210.30,212.00,208.95,211.68
2015-11-09,211.18,212.77,209.81,212.52
2015-11-06,211.74,212.63,209.74,210.55
2015-11-05,207.36,211.64,207.11,210.61
2015-11-04,207.06,210.21,207.06,207.66
2015-11-02,207.78,207.78,202.97,203.15
2015-10-30,207.18,212.56,205.76,211.69
2015-10-29,212.65,212.99,208.02,210.19
2015-10-28,212.77,213.81,209.41,210.89
2015-10-27,218.75,218.75,212.93,213.10
2015-10-26,220.95,221.18,218.82,219.13
2015-10-23,218.99,219.78,217.28,217.64
2015-10-22,211.75,216.48,211.57,214.29
2015-10-21,203.83,214.48,203.81,213.88
2015-10-20,205.93,206.51,203.48,205.54
2015-10-19,209.47,209.47,204.60,206.11
2015-10-16,210.76,211.25,208.06,210.28
2015-10-15,203.77,209.24,203.34,207.86
2015-10-14,210.28,210.62,204.81,205.30
2015-10-13,212.21,215.06,210.11,213.12
2015-10-09,208.26,214.60,208.26,214.60
2015-10-08,203.71,208.83,203.29,204.50
2015-10-07,198.18,205.23,197.16,204.85
2015-10-06,197.20,200.04,196.81,197.97
2015-10-05,191.81,195.88,191.19,193.51
2015-10-02,187.16,190.71,185.42,189.79
2015-10-01,186.49,190.79,185.68,189.71
2015-09-30,184.73,186.66,183.58,185.06
2015-09-29,188.00,188.00,181.50,181.60
2015-09-28,194.00,194.50,190.67,191.87
2015-09-25,194.14,197.60,192.64,197.60
2015-09-24,199.73,199.95,194.46,194.50
2015-09-18,207.03,207.09,203.24,203.38
2015-09-17,208.39,211.21,207.91,209.97
2015-09-16,205.07,206.45,203.85,205.60
2015-09-15,205.61,207.91,202.73,202.73
2015-09-14,208.84,209.02,204.05,205.21
2015-09-11,208.99,209.86,207.27,207.67
2015-09-10,207.05,209.54,204.86,209.29
2015-09-09,206.65,212.19,205.55,212.19
2015-09-08,199.91,205.15,199.81,201.47
2015-09-07,196.17,200.41,194.71,198.83
2015-09-04,204.18,204.69,195.62,197.68
2015-09-03,202.02,205.21,200.89,201.05
2015-09-02,197.94,202.04,197.24,198.49
2015-09-01,208.05,208.22,202.63,202.63
2015-08-31,213.51,215.50,210.06,211.37
2015-08-28,207.54,217.49,207.44,216.03
2015-08-27,206.30,207.12,202.11,202.29
2015-08-26,200.25,204.40,196.70,202.94
2015-08-25,201.15,207.14,193.87,196.73
2015-08-24,214.91,216.12,206.48,206.48
2015-08-21,220.84,224.27,220.46,220.52
2015-08-20,229.09,229.15,225.36,225.57
2015-08-19,232.90,233.44,230.30,230.37
2015-08-18,234.72,236.14,234.07,234.26
2015-08-17,233.82,234.83,233.31,234.83
2015-08-14,234.60,234.67,231.57,233.16
2015-08-13,235.84,237.80,234.87,236.05
2015-08-12,240.48,241.02,234.53,235.51
2015-08-11,242.65,246.68,242.63,243.95
2015-08-10,239.62,239.62,236.39,239.22
2015-08-07,238.14,241.47,237.92,240.96
2015-08-06,238.99,240.70,237.62,239.25
2015-08-05,232.84,238.33,232.08,236.15
2015-08-04,234.28,235.46,232.07,233.52
2015-08-03,240.20,240.20,235.43,236.38
2015-07-31,241.22,241.29,237.37,241.02
2015-07-30,235.15,243.12,234.90,241.92
2015-07-29,235.25,236.37,233.05,233.20
2015-07-28,232.93,234.75,231.52,233.24
2015-07-27,235.14,236.93,233.85,235.42
2015-07-24,238.13,239.27,236.59,237.27
2015-07-23,242.15,242.34,238.01,239.78
2015-07-22,241.04,242.70,240.88,241.47
2015-07-21,245.68,245.68,241.34,242.69
2015-07-17,246.07,246.25,243.75,244.65
2015-07-16,245.38,245.55,242.82,245.55
2015-07-15,249.61,249.82,244.89,245.67
2015-07-14,245.62,249.80,245.16,247.61
2015-07-13,239.96,242.53,239.93,240.91
2015-07-10,237.66,240.28,236.14,237.48
2015-07-09,233.15,237.46,227.65,237.42
2015-07-08,247.47,247.68,238.44,238.44
2015-07-07,251.73,251.73,249.07,249.32
2015-07-06,249.63,250.56,248.37,248.92
2015-07-03,255.45,255.45,253.25,254.44
2015-07-02,257.34,257.68,255.23,255.58
2015-07-01,257.78,257.94,255.05,255.40
2015-06-30,258.19,258.19,255.58,257.28
2015-06-29,259.68,260.99,256.76,259.29
2015-06-26,269.44,269.44,265.42,265.58
2015-06-25,271.15,271.62,270.00,270.22
2015-06-24,271.27,274.19,271.27,271.53
2015-06-23,266.76,269.58,266.44,269.56
2015-06-22,264.01,265.81,263.12,264.66
2015-06-19,264.91,265.48,263.39,264.25
2015-06-18,265.07,265.07,262.51,262.51
2015-06-17,268.84,268.87,265.10,265.75
2015-06-16,271.28,271.69,267.72,268.48
2015-06-15,269.56,272.37,269.31,272.09
2015-06-12,274.24,274.35,271.75,272.79
2015-06-11,272.34,274.72,272.20,273.77
2015-06-10,269.87,273.06,269.19,270.08
2015-06-09,272.87,273.70,269.26,269.47
2015-06-08,277.16,277.80,274.81,275.53
2015-06-05,275.62,276.73,274.01,276.46
2015-06-04,279.85,279.85,276.75,278.01
2015-06-03,274.73,279.29,274.67,278.11
2015-06-02,276.67,276.73,274.35,275.89
2015-06-01,272.78,276.42,272.71,275.92
2015-05-29,271.71,275.74,271.71,274.95
2015-05-28,273.04,274.50,270.90,271.82
2015-05-27,270.50,273.51,269.07,272.60
2015-05-26,264.65,270.04,264.56,269.68
2015-05-25,264.30,265.14,263.66,264.45
2015-05-22,262.17,264.03,262.17,263.79
2015-05-21,260.49,263.25,260.40,262.04
2015-05-20,262.00,262.00,260.03,260.51
2015-05-19,261.82,262.73,260.68,261.82
2015-05-18,259.89,262.45,259.89,261.79
2015-05-15,258.83,259.42,256.57,257.76
2015-05-14,258.85,258.96,257.20,257.82
2015-05-13,255.63,259.71,255.14,259.71
2015-05-12,252.19,254.79,251.88,254.79
2015-05-11,251.94,254.46,251.45,252.60
2015-05-08,248.52,250.01,246.66,249.36
2015-05-07,247.20,249.71,246.90,248.25
2015-05-01,247.81,248.43,245.84,247.92
2015-04-30,250.13,250.13,247.46,249.10
2015-04-28,251.17,253.90,250.85,251.78
2015-04-27,251.12,251.72,249.65,250.57
2015-04-24,251.27,252.90,250.49,251.22
2015-04-23,251.21,252.79,249.13,250.92
2015-04-22,252.31,252.32,249.60,250.91
2015-04-21,251.26,252.85,250.78,252.54
2015-04-20,248.88,250.84,247.36,249.97
