日付,時刻,始値,高値,安値,終値
2014-12-30,後場,122.27,122.43,121.49,121.52
2014-12-30,前場,122.39,122.58,121.90,122.32
2014-12-29,後場,122.63,122.85,121.61,122.36
2014-12-29,前場,123.27,123.44,122.78,122.81
2014-12-26,後場,122.50,122.98,122.36,122.81
2014-12-26,前場,122.47,123.15,122.43,122.47
2014-12-25,後場,122.37,122.63,122.33,122.42
2014-12-25,前場,122.55,122.82,122.36,122.41
2014-12-24,後場,122.64,122.81,122.37,122.54
2014-12-24,前場,122.62,122.93,122.37,122.54
2014-12-22,後場,120.83,121.38,120.76,121.31
2014-12-22,前場,122.25,122.51,121.03,121.22
2014-12-19,後場,120.85,122.18,120.61,122.03
2014-12-19,前場,119.88,121.63,119.88,121.04
2014-12-18,後場,119.62,119.67,117.98,118.01
2014-12-18,前場,118.90,120.55,118.81,119.77
2014-12-17,後場,117.63,118.27,116.85,116.85
2014-12-17,前場,116.46,118.08,116.45,117.80
2014-12-16,後場,117.40,117.43,116.89,117.02
2014-12-16,前場,118.15,118.30,117.21,117.43
2014-12-15,後場,120.09,120.36,119.32,119.39
2014-12-15,前場,119.98,120.54,119.38,119.95
2014-12-12,後場,122.24,122.82,121.14,121.14
2014-12-12,前場,120.88,122.15,120.64,122.11
2014-12-11,後場,121.19,121.98,121.19,121.30
2014-12-11,前場,121.39,121.65,120.42,121.34
2014-12-10,後場,123.72,123.82,122.53,122.88
2014-12-10,前場,124.90,125.30,123.43,123.67
2014-12-09,後場,125.11,125.78,124.93,125.78
2014-12-09,前場,124.91,125.21,124.78,124.95
2014-12-08,後場,125.55,125.55,125.03,125.54
2014-12-08,前場,125.94,126.10,125.01,125.21
2014-12-05,後場,124.57,125.44,124.52,125.37
2014-12-05,前場,124.73,124.91,124.26,124.57
2014-12-04,後場,125.00,125.02,124.64,124.77
2014-12-04,前場,124.82,125.30,124.66,124.98
2014-12-03,後場,124.32,124.32,123.89,124.20
2014-12-03,前場,124.37,124.71,124.08,124.49
2014-12-02,後場,123.93,124.26,123.79,124.12
2014-12-02,前場,123.39,123.73,123.07,123.70
2014-12-01,後場,124.18,124.23,123.82,124.23
2014-12-01,前場,123.88,124.68,123.84,124.06
2014-11-28,後場,122.97,123.95,122.97,123.94
2014-11-28,前場,122.24,123.23,122.22,123.05
2014-11-27,後場,122.63,122.70,121.72,121.72
2014-11-27,前場,122.73,123.33,122.60,122.76
2014-11-26,後場,123.72,123.76,123.32,123.32
2014-11-26,前場,123.62,123.72,123.19,123.66
2014-11-25,後場,124.08,124.13,123.48,123.80
2014-11-25,前場,123.96,124.64,123.93,124.19
2014-11-21,後場,122.41,123.29,122.24,123.16
2014-11-21,前場,123.08,123.13,121.87,122.24
2014-11-20,後場,123.03,123.22,122.72,122.76
2014-11-20,前場,123.37,123.71,122.76,122.80
2014-11-19,後場,122.56,123.10,122.23,122.61
2014-11-19,前場,122.90,123.41,122.37,122.39
2014-11-18,後場,121.91,122.25,121.42,122.23
2014-11-18,前場,121.63,122.25,121.52,121.69
2014-11-17,後場,120.92,121.30,120.16,120.34
2014-11-17,前場,122.31,122.97,120.97,121.08
2014-11-14,後場,121.21,121.77,120.81,121.77
2014-11-14,前場,122.47,122.54,120.48,120.93
2014-11-13,後場,120.73,121.58,120.72,121.58
2014-11-13,前場,120.54,120.86,120.11,120.78
2014-11-12,後場,121.30,121.69,120.42,120.66
2014-11-12,前場,121.48,122.17,121.17,121.22
2014-11-11,後場,119.86,121.11,119.78,120.81
2014-11-11,前場,120.45,120.71,119.77,119.95
2014-11-10,後場,119.42,120.15,119.41,120.15
2014-11-10,前場,119.24,120.06,118.98,119.60
2014-11-07,後場,119.53,119.97,119.31,119.88
2014-11-07,前場,119.46,119.90,118.80,119.58
2014-11-06,後場,120.87,120.87,118.60,118.65
2014-11-06,前場,121.43,121.58,120.60,120.66
2014-11-05,後場,120.19,121.33,119.92,121.30
2014-11-05,前場,120.90,121.42,119.91,120.23
2014-11-04,後場,121.85,121.95,121.07,121.11
2014-11-04,前場,120.64,124.10,120.60,122.12
2014-10-31,後場,114.11,118.73,113.85,118.28
2014-10-31,前場,113.84,114.30,113.68,113.93
2014-10-30,後場,112.30,112.77,112.17,112.75
2014-10-30,前場,111.69,112.37,111.52,112.05
2014-10-29,後場,111.02,111.46,110.96,111.15
2014-10-29,前場,110.49,111.12,110.14,110.83
2014-10-28,後場,108.83,109.54,108.68,109.28
2014-10-28,前場,108.75,109.53,108.67,108.76
2014-10-27,後場,108.07,109.07,108.06,108.94
2014-10-27,前場,108.50,108.59,107.93,108.00
2014-10-24,後場,108.18,108.18,107.62,107.82
2014-10-24,前場,108.68,108.93,107.87,107.96
2014-10-23,後場,106.86,108.05,106.76,107.20
