日付,始値,高値,安値,終値
2014-12-30,122.39,122.58,121.49,121.52
2014-12-29,123.27,123.44,121.61,122.36
2014-12-26,122.47,123.15,122.36,122.81
2014-12-25,122.55,122.82,122.33,122.42
2014-12-24,122.62,122.93,122.37,122.54
2014-12-22,122.25,122.51,120.76,121.31
2014-12-19,119.88,122.18,119.88,122.03
2014-12-18,118.90,120.55,117.98,118.01
2014-12-17,116.46,118.27,116.45,116.85
2014-12-16,118.15,118.30,116.89,117.02
2014-12-15,119.98,120.54,119.32,119.39
2014-12-12,120.88,122.82,120.64,121.14
2014-12-11,121.39,121.98,120.42,121.30
2014-12-10,124.90,125.30,122.53,122.88
2014-12-09,124.91,125.78,124.78,125.78
2014-12-08,125.94,126.10,125.01,125.54
2014-12-05,124.73,125.44,124.26,125.37
2014-12-04,124.82,125.30,124.64,124.77
2014-12-03,124.37,124.71,123.89,124.20
2014-12-02,123.39,124.26,123.07,124.12
2014-12-01,123.88,124.68,123.82,124.23
2014-11-28,122.24,123.95,122.22,123.94
2014-11-27,122.73,123.33,121.72,121.72
2014-11-26,123.62,123.76,123.19,123.32
2014-11-25,123.96,124.64,123.48,123.80
2014-11-21,123.08,123.29,121.87,123.16
2014-11-20,123.37,123.71,122.72,122.76
2014-11-19,122.90,123.41,122.23,122.61
2014-11-18,121.63,122.25,121.42,122.23
2014-11-17,122.31,122.97,120.16,120.34
2014-11-14,122.47,122.54,120.48,121.77
2014-11-13,120.54,121.58,120.11,121.58
2014-11-12,121.48,122.17,120.42,120.66
2014-11-11,120.45,121.11,119.77,120.81
2014-11-10,119.24,120.15,118.98,120.15
2014-11-07,119.46,119.97,118.80,119.88
2014-11-06,121.43,121.58,118.60,118.65
2014-11-05,120.90,121.42,119.91,121.30
2014-11-04,120.64,124.10,120.60,121.11
2014-10-31,113.84,118.73,113.68,118.28
2014-10-30,111.69,112.77,111.52,112.75
2014-10-29,110.49,111.46,110.14,111.15
2014-10-28,108.75,109.54,108.67,109.28
2014-10-27,108.50,109.07,107.93,108.94
2014-10-24,108.68,108.93,107.62,107.82
2014-10-23,106.55,108.05,105.84,107.20
2014-10-22,106.48,107.32,105.91,107.05
2014-10-21,107.14,107.52,104.54,104.99
2014-10-20,104.62,106.87,104.60,106.23
2014-10-17,104.60,104.72,102.42,102.65
2014-10-16,105.94,105.94,104.30,104.71
2014-10-15,107.67,108.16,106.78,107.78
2014-10-14,107.79,108.53,107.07,107.46
2014-10-10,110.19,110.23,109.06,109.70
2014-10-09,113.23,113.53,111.95,111.99
2014-10-08,112.76,113.22,111.95,113.02
2014-10-07,114.81,115.75,114.22,114.29
2014-10-06,114.73,115.68,114.47,114.63
2014-10-03,113.24,114.12,113.05,113.45
2014-10-02,115.59,115.61,113.08,113.33
2014-10-01,116.55,117.65,116.19,116.78
2014-09-30,117.30,117.30,115.29,116.57
2014-09-29,117.88,117.90,116.92,117.33
2014-09-26,116.93,117.58,116.86,117.41
2014-09-25,118.69,119.56,118.46,119.56
2014-09-24,117.35,117.87,117.21,117.85
2014-09-22,117.83,118.34,117.17,118.19
2014-09-19,117.02,118.07,116.99,117.50
2014-09-18,115.71,116.42,115.64,116.09
2014-09-17,115.46,115.70,114.46,114.46
2014-09-16,116.45,116.45,115.34,115.46
2014-09-12,116.50,117.05,116.26,116.85
2014-09-11,116.14,116.58,116.00,116.34
2014-09-10,114.03,115.39,113.92,115.38
2014-09-09,115.63,115.63,114.26,114.26
2014-09-08,114.47,114.97,114.04,114.97
2014-09-05,115.26,115.27,113.88,113.98
2014-09-04,115.17,115.46,114.48,114.69
2014-09-03,115.13,115.73,114.78,115.01
2014-09-02,112.62,114.29,112.45,113.98
2014-09-01,112.19,112.57,112.15,112.46
2014-08-29,111.76,112.50,111.65,112.08
2014-08-28,112.06,112.15,111.39,111.97
2014-08-27,112.30,112.91,111.89,112.26
2014-08-26,113.16,113.40,112.16,112.30
2014-08-25,113.37,113.59,112.83,113.18
2014-08-22,114.18,114.18,112.81,112.90
2014-08-21,111.83,113.26,111.72,113.03
2014-08-20,111.94,112.29,111.36,111.55
2014-08-19,111.64,111.85,111.45,111.57
2014-08-18,111.27,111.30,110.56,110.88
2014-08-15,111.20,111.21,110.73,111.15
2014-08-14,111.21,111.52,110.96,111.30
2014-08-13,109.66,110.85,109.54,110.67
2014-08-12,110.05,110.69,110.05,110.08
2014-08-11,109.24,109.76,108.70,109.51
2014-08-08,109.05,109.18,107.43,107.54
2014-08-07,109.74,110.39,108.55,110.39
2014-08-06,110.69,110.69,109.09,109.51
2014-08-05,112.46,112.73,110.88,111.10
2014-08-04,113.23,113.23,112.36,112.41
2014-08-01,113.47,114.56,113.08,113.98
2014-07-31,114.95,115.68,114.37,114.37
2014-07-30,113.06,114.03,112.98,113.70
2014-07-29,113.60,113.64,112.94,113.23
2014-07-28,111.93,113.64,111.93,113.59
2014-07-25,111.18,112.18,111.11,112.13
2014-07-24,111.30,112.01,111.08,111.38
2014-07-23,112.05,112.09,111.37,111.48
2014-07-22,111.74,112.13,111.25,111.83
2014-07-18,111.62,111.80,111.18,111.53
2014-07-17,113.21,113.48,112.33,112.71
2014-07-16,112.53,113.67,112.12,112.79
2014-07-15,112.57,113.47,112.51,112.73
2014-07-14,111.93,112.13,111.17,112.01
2014-07-11,111.58,111.98,111.01,111.82
2014-07-10,113.91,114.24,112.45,112.64
2014-07-09,113.97,114.48,113.71,113.97
2014-07-08,115.02,115.70,114.36,115.11
2014-07-07,115.87,116.34,115.55,115.60
2014-07-04,116.67,116.69,116.01,116.32
2014-07-03,116.73,116.73,115.34,115.68
2014-07-02,116.83,117.03,116.16,116.49
2014-07-01,114.95,116.33,114.68,115.78
2014-06-30,113.95,114.71,113.22,114.71
2014-06-27,114.77,115.02,113.30,113.86
2014-06-26,115.35,115.71,114.87,114.90
2014-06-25,115.17,115.59,114.73,114.73
2014-06-24,115.37,116.15,114.76,115.75
2014-06-23,116.69,116.88,115.68,116.02
2014-06-20,117.16,117.52,115.91,116.45
2014-06-19,114.55,116.86,114.26,116.66
2014-06-18,113.31,114.77,113.20,114.60
2014-06-17,113.13,113.76,112.65,112.90
2014-06-16,113.74,114.07,112.48,113.02
2014-06-13,112.29,114.04,112.25,113.86
2014-06-12,112.01,113.62,111.86,113.31
2014-06-11,111.31,112.67,111.23,112.64
2014-06-10,111.22,112.15,110.76,111.05
2014-06-09,111.99,112.04,110.71,110.73
2014-06-06,111.20,111.48,110.85,111.24
2014-06-05,110.57,110.70,110.03,110.41
2014-06-04,110.64,110.64,109.63,110.35
2014-06-03,110.10,110.89,109.67,110.42
2014-06-02,108.04,109.01,108.04,108.83
2014-05-30,107.49,107.94,106.76,107.11
2014-05-29,106.42,107.64,106.36,107.22
2014-05-28,107.76,107.99,106.97,107.01
2014-05-27,107.14,108.40,107.09,107.16
2014-05-26,106.88,107.41,106.71,107.23
2014-05-23,104.93,106.66,104.73,105.53
2014-05-22,103.85,105.20,102.64,104.29
2014-05-21,102.64,103.61,102.25,102.97
2014-05-20,104.54,104.57,103.46,103.50
2014-05-19,104.83,105.20,104.04,104.21
2014-05-16,105.93,106.04,104.30,105.19
2014-05-15,107.30,107.56,105.62,107.56
2014-05-14,107.74,108.01,107.19,107.97
2014-05-13,107.43,108.34,107.31,108.31
2014-05-12,106.09,107.05,105.68,105.68
2014-05-09,104.99,106.94,104.99,106.08
2014-05-08,105.09,106.23,104.89,105.43
2014-05-07,106.59,106.66,104.37,104.42
2014-05-02,107.21,108.13,106.71,107.88
2014-05-01,105.35,107.38,105.35,107.21
2014-04-30,105.31,105.36,104.38,104.83
2014-04-28,104.00,104.45,103.58,104.39
2014-04-25,104.90,105.90,104.36,104.96
2014-04-24,105.55,105.90,104.61,104.94
2014-04-23,105.11,105.67,104.93,105.54
2014-04-22,106.23,106.29,104.21,104.29
2014-04-21,106.93,107.56,105.73,105.97
2014-04-18,106.93,107.10,105.81,106.45
2014-04-17,106.57,106.76,105.51,106.31
2014-04-16,104.86,106.79,104.40,106.61
2014-04-15,104.23,104.57,103.37,103.71
2014-04-14,102.55,104.62,102.54,103.09
2014-04-11,102.60,104.23,101.68,102.94
2014-04-10,106.07,106.23,104.43,104.44
2014-04-09,106.04,106.30,104.18,104.69
2014-04-08,108.06,108.45,106.85,107.45
2014-04-07,110.80,110.98,109.27,109.41
2014-04-04,111.81,112.40,111.80,112.22
2014-04-03,112.44,113.13,111.85,112.23
2014-04-02,111.21,113.16,111.17,111.79
2014-04-01,110.37,110.57,109.45,110.30
2014-03-31,109.05,109.70,108.43,109.50
2014-03-28,105.66,108.03,105.50,107.75
2014-03-27,104.27,105.75,103.38,105.64
2014-03-26,106.61,107.09,105.14,105.98
2014-03-25,104.32,106.50,103.65,105.70
2014-03-24,104.67,106.47,104.64,105.04
2014-03-20,106.59,107.00,104.13,104.19
2014-03-19,106.51,108.01,105.53,106.21
2014-03-18,107.44,107.66,106.04,106.11
2014-03-17,106.13,106.63,104.72,106.01
2014-03-14,107.74,107.83,106.36,106.60
2014-03-13,110.07,110.37,109.49,109.58
2014-03-12,111.23,111.32,110.32,110.44
2014-03-11,112.41,113.21,111.96,112.52
2014-03-10,112.96,113.39,112.05,112.39
2014-03-07,114.05,114.18,112.85,113.35
2014-03-06,111.03,113.19,111.03,112.77
2014-03-05,111.53,112.15,110.78,110.78
2014-03-04,109.01,110.81,108.84,110.29
2014-03-03,109.20,110.10,107.81,109.97
2014-02-28,111.78,111.88,110.19,110.50
2014-02-27,113.15,113.29,111.83,111.98
2014-02-26,113.88,114.74,113.50,113.72
2014-02-25,114.21,115.19,113.88,115.00
2014-02-24,114.28,115.68,112.40,113.31
2014-02-21,113.65,114.72,112.83,114.57
2014-02-20,114.49,115.08,112.26,112.50
2014-02-19,115.26,115.96,114.43,115.28
2014-02-18,111.78,116.71,111.72,116.12
2014-02-17,110.46,111.45,108.94,111.37
2014-02-14,112.67,113.05,109.60,110.32
2014-02-13,114.01,114.01,111.94,112.20
2014-02-12,114.70,115.37,113.84,113.92
2014-02-10,114.68,114.68,112.40,113.10
2014-02-07,111.76,113.07,111.42,112.97
2014-02-06,110.71,111.05,109.92,109.92
2014-02-05,109.93,111.27,109.29,110.96
2014-02-04,110.64,110.88,108.05,108.05
2014-02-03,115.71,115.98,112.63,112.83
2014-01-31,117.46,117.81,115.50,116.06
2014-01-30,118.37,118.37,115.36,116.10
2014-01-29,119.02,120.69,119.02,120.35
2014-01-28,118.89,119.01,117.49,117.49
2014-01-27,119.59,119.70,117.60,118.11
2014-01-24,123.18,123.43,121.43,122.07
2014-01-23,126.38,127.59,124.74,124.76
2014-01-22,125.14,126.46,124.72,125.92
2014-01-21,125.81,126.29,124.91,124.91
2014-01-20,126.35,126.35,125.40,125.69
2014-01-17,125.18,126.23,125.12,125.91
2014-01-16,126.65,127.12,125.06,125.09
2014-01-15,125.71,126.03,124.98,125.89
2014-01-14,124.75,124.89,123.61,124.07
2014-01-10,125.54,127.21,125.21,127.03
2014-01-09,127.09,127.46,125.12,126.00
2014-01-08,125.80,127.48,125.17,127.48
2014-01-07,125.45,126.03,124.71,124.95
2014-01-06,125.94,126.70,124.53,126.05
