日付,時刻,始値,高値,安値,終値
2017-12-12,後場,73.67,73.69,73.25,73.48
2017-12-12,前場,73.57,73.79,73.44,73.77
2017-12-11,後場,73.15,73.52,73.15,73.52
2017-12-11,前場,73.55,73.65,73.02,73.11
2017-12-08,後場,73.39,73.40,73.11,73.36
2017-12-08,前場,72.44,73.51,72.44,73.43
2017-12-07,後場,72.90,72.95,72.41,72.73
2017-12-07,前場,72.76,73.16,72.57,73.06
2017-12-06,後場,72.81,72.85,72.51,72.71
2017-12-06,前場,73.22,73.41,73.10,73.14
2017-12-05,後場,73.04,73.74,73.04,73.59
2017-12-05,前場,72.61,73.00,72.54,72.85
2017-12-04,後場,72.97,72.97,72.47,72.54
2017-12-04,前場,73.46,73.51,72.83,73.02
2017-12-01,後場,73.02,73.29,72.99,73.16
2017-12-01,前場,73.55,73.66,72.76,72.85
2017-11-30,後場,73.01,73.45,72.88,73.35
2017-11-30,前場,72.87,73.42,72.71,73.03
2017-11-29,後場,72.60,72.99,72.60,72.95
2017-11-29,前場,72.22,72.69,72.12,72.68
2017-11-28,後場,71.96,71.98,71.75,71.98
2017-11-28,前場,71.58,72.30,71.58,72.04
2017-11-27,後場,71.29,71.41,71.11,71.34
2017-11-27,前場,71.72,71.78,71.24,71.26
2017-11-24,後場,71.80,71.80,71.48,71.50
2017-11-24,前場,71.60,71.79,71.51,71.79
2017-11-22,後場,71.66,71.85,71.49,71.72
2017-11-22,前場,71.64,71.76,71.12,71.65
2017-11-21,後場,71.71,71.98,71.71,71.75
2017-11-21,前場,71.63,71.84,71.41,71.70
2017-11-20,後場,71.27,71.53,71.24,71.45
2017-11-20,前場,71.51,71.67,71.21,71.26
2017-11-17,後場,71.93,72.01,71.47,71.76
2017-11-17,前場,72.89,72.96,71.77,71.81
2017-11-16,後場,72.47,73.07,72.29,72.60
2017-11-16,前場,72.57,72.67,72.30,72.52
2017-11-15,後場,73.06,73.29,72.32,72.53
2017-11-15,前場,73.92,73.92,72.79,73.02
2017-11-14,後場,74.45,74.55,74.07,74.10
2017-11-14,前場,74.82,74.94,74.33,74.42
2017-11-13,後場,75.83,75.84,75.08,75.08
2017-11-13,前場,75.95,76.14,75.69,75.94
2017-11-10,後場,75.94,76.22,75.94,76.02
2017-11-10,前場,76.14,76.61,75.64,75.87
2017-11-09,後場,78.15,78.61,76.54,77.15
2017-11-09,前場,77.33,78.78,77.33,78.65
2017-11-08,後場,76.56,77.17,76.54,77.17
2017-11-08,前場,76.52,76.91,76.52,76.58
2017-11-07,後場,76.25,76.69,76.23,76.68
2017-11-07,前場,75.89,76.59,75.55,76.21
2017-11-06,後場,76.25,76.31,75.90,76.12
2017-11-06,前場,76.13,76.44,76.13,76.29
2017-11-02,後場,76.32,76.51,76.21,76.39
2017-11-02,前場,76.43,76.43,75.76,76.31
2017-11-01,後場,76.34,76.41,76.08,76.28
2017-11-01,前場,74.96,76.40,74.96,76.33
2017-10-31,後場,74.63,74.90,74.39,74.76
2017-10-31,前場,74.74,74.84,74.18,74.43
2017-10-30,後場,75.03,75.07,74.68,74.84
2017-10-30,前場,75.08,75.18,74.71,74.91
2017-10-27,後場,75.10,75.25,75.02,75.15
2017-10-27,前場,75.42,75.42,74.53,75.09
2017-10-26,後場,75.43,75.54,75.24,75.45
2017-10-26,前場,75.35,75.56,75.10,75.42
2017-10-25,後場,75.58,75.66,75.19,75.34
2017-10-25,前場,76.32,76.34,75.41,75.54
2017-10-24,後場,76.01,76.30,75.90,76.28
2017-10-24,前場,75.42,76.07,75.42,76.03
2017-10-23,後場,75.09,75.27,75.08,75.14
2017-10-23,前場,75.29,75.38,74.96,75.14
2017-10-20,後場,74.83,74.96,74.76,74.85
2017-10-20,前場,74.59,75.05,74.57,74.83
2017-10-19,後場,75.08,75.12,74.76,74.90
2017-10-19,前場,75.38,75.51,75.01,75.15
2017-10-18,後場,75.38,75.44,75.06,75.42
2017-10-18,前場,75.17,75.51,75.09,75.45
2017-10-17,後場,75.21,75.40,75.18,75.33
2017-10-17,前場,75.35,75.59,74.94,75.23
2017-10-16,後場,75.53,75.75,75.28,75.30
2017-10-16,前場,74.74,75.60,74.74,75.56
2017-10-13,後場,74.41,74.89,74.41,74.65
2017-10-13,前場,73.87,74.56,73.87,74.36
2017-10-12,後場,74.28,74.50,74.20,74.22
2017-10-12,前場,73.78,74.41,73.70,74.26
2017-10-11,後場,73.65,73.92,73.62,73.71
2017-10-11,前場,73.31,73.73,73.31,73.67
2017-10-10,後場,73.44,73.49,73.29,73.48
2017-10-10,前場,73.31,73.47,73.21,73.41
2017-10-06,後場,73.39,73.49,73.34,73.36
2017-10-06,前場,73.97,74.21,73.30,73.41
2017-10-05,後場,74.16,74.16,73.70,73.87
2017-10-05,前場,73.93,74.64,73.93,74.18
2017-10-04,後場,73.95,74.09,73.35,73.50
2017-10-04,前場,73.30,73.88,73.30,73.88
2017-10-03,後場,72.40,73.27,72.40,73.23
2017-10-03,前場,72.22,72.47,72.08,72.32
2017-10-02,後場,71.85,71.99,71.66,71.74
2017-10-02,前場,72.10,72.16,71.72,71.75
2017-09-29,後場,71.35,71.68,71.23,71.68
2017-09-29,前場,72.08,72.11,71.21,71.33
2017-09-28,後場,71.85,72.37,71.76,72.37
2017-09-28,前場,73.24,73.29,71.76,71.86
2017-09-27,後場,73.44,73.44,73.06,73.15
2017-09-27,前場,73.90,73.90,73.28,73.34
2017-09-26,後場,74.60,74.62,74.39,74.47
2017-09-26,前場,74.47,74.85,74.39,74.60
2017-09-25,後場,74.13,74.40,74.06,74.37
2017-09-25,前場,74.23,74.27,73.67,74.22
2017-09-22,後場,74.10,74.33,74.07,74.33
2017-09-22,前場,74.22,74.39,73.97,74.16
2017-09-21,後場,74.36,74.39,74.05,74.16
2017-09-21,前場,74.02,74.48,74.02,74.45
2017-09-20,後場,73.82,73.93,73.69,73.85
2017-09-20,前場,74.18,74.36,73.61,73.71
2017-09-19,後場,74.00,74.59,73.88,74.47
2017-09-19,前場,73.73,74.09,73.66,74.03
2017-09-15,後場,73.86,74.06,73.25,73.30
2017-09-15,前場,74.63,74.65,73.79,73.83
2017-09-14,後場,74.94,74.94,74.55,74.57
2017-09-14,前場,74.92,75.19,74.80,75.08
2017-09-13,後場,74.60,74.87,74.60,74.77
2017-09-13,前場,74.37,74.53,74.21,74.52
2017-09-12,後場,75.03,75.17,74.69,74.69
2017-09-12,前場,75.12,75.12,74.73,74.89
2017-09-11,後場,74.75,74.81,74.35,74.39
2017-09-11,前場,74.49,75.06,74.35,74.76
2017-09-08,後場,74.22,74.30,73.57,73.66
2017-09-08,前場,74.15,74.28,73.91,74.25
2017-09-07,後場,74.20,74.26,73.81,73.98
2017-09-07,前場,73.76,74.32,73.76,74.19
2017-09-06,後場,73.33,73.59,73.22,73.51
2017-09-06,前場,73.12,73.28,72.88,73.26
2017-09-05,後場,73.36,73.36,73.04,73.30
2017-09-05,前場,73.96,74.01,73.33,73.46
2017-09-04,後場,74.04,74.08,73.79,74.03
2017-09-04,前場,75.01,75.19,74.02,74.16
2017-09-01,後場,74.79,75.12,74.59,74.98
2017-09-01,前場,75.10,75.24,74.72,74.78
2017-08-31,後場,75.07,75.24,75.02,75.13
2017-08-31,前場,74.75,75.29,74.75,75.11
2017-08-30,後場,74.21,75.04,74.21,74.91
2017-08-30,前場,74.47,74.64,74.04,74.07
2017-08-29,後場,74.29,74.35,74.05,74.28
2017-08-29,前場,73.97,74.41,73.97,74.37
2017-08-28,後場,73.93,74.64,73.87,74.52
2017-08-28,前場,74.30,74.51,73.80,73.93
2017-08-25,後場,73.91,74.12,73.88,73.98
2017-08-25,前場,73.69,73.89,73.65,73.87
