日付,始値,高値,安値,終値
2012-12-28,53.37,53.37,52.02,52.54
2012-12-27,54.57,54.74,53.80,53.80
2012-12-26,54.67,55.21,54.16,54.39
2012-12-25,54.74,55.76,54.47,54.73
2012-12-21,53.99,54.49,52.95,54.13
2012-12-20,52.69,54.27,52.15,53.91
2012-12-19,52.72,53.40,51.89,52.86
2012-12-18,53.31,53.80,51.87,52.27
2012-12-17,49.41,54.57,48.71,53.23
2012-12-14,47.43,48.87,47.42,48.74
2012-12-13,48.34,48.34,47.61,47.61
2012-12-12,48.02,48.22,47.48,47.94
2012-12-11,47.56,47.93,46.50,47.68
2012-12-10,49.42,49.44,47.94,48.16
2012-12-07,47.57,48.93,47.51,48.90
2012-12-06,47.20,48.01,47.12,47.52
2012-12-05,46.82,47.39,46.63,46.76
2012-12-04,47.08,47.51,46.69,46.95
2012-12-03,48.08,48.15,46.74,46.94
2012-11-30,48.18,48.57,47.97,48.25
2012-11-29,47.82,48.58,47.82,48.14
2012-11-28,48.32,49.00,47.41,47.43
2012-11-27,48.92,49.75,47.75,48.70
2012-11-26,48.00,49.22,47.78,48.96
2012-11-22,48.03,48.27,47.26,47.47
2012-11-21,48.21,48.32,47.27,47.81
2012-11-20,48.58,48.58,46.87,47.73
2012-11-19,46.60,48.09,46.58,47.83
2012-11-16,45.68,46.28,45.25,45.97
2012-11-15,43.86,45.37,43.69,45.27
2012-11-14,44.03,44.13,43.49,43.55
2012-11-13,43.02,44.06,42.99,43.85
2012-11-12,43.22,43.92,42.97,42.99
2012-11-09,44.18,44.41,43.20,43.45
2012-11-08,44.09,44.94,43.74,44.54
2012-11-07,43.22,44.62,43.03,44.52
2012-11-06,41.61,43.63,41.40,43.46
2012-11-05,42.70,42.71,41.51,41.91
2012-11-02,42.97,43.05,42.38,42.97
2012-11-01,42.90,43.03,42.34,42.78
2012-10-31,42.48,42.75,42.08,42.68
2012-10-30,42.97,43.24,42.24,42.29
2012-10-29,42.23,42.84,41.99,42.74
2012-10-26,43.32,43.81,42.12,42.18
2012-10-25,42.40,43.43,42.18,43.37
