日付,時刻,始値,高値,安値,終値
2017-12-22,後場,208.63,209.03,208.58,209.03
2017-12-22,前場,208.25,208.93,207.88,208.52
2017-12-21,後場,207.66,208.44,207.66,208.25
2017-12-21,前場,207.56,207.61,206.46,207.20
2017-12-20,後場,207.18,207.74,207.11,207.61
2017-12-20,前場,206.74,207.70,206.67,207.14
2017-12-19,後場,206.83,207.10,206.53,206.73
2017-12-19,前場,207.37,207.78,206.63,206.90
2017-12-18,後場,205.76,206.88,205.73,206.79
2017-12-18,前場,204.94,205.86,204.80,205.68
2017-12-15,後場,202.29,204.23,202.29,202.73
2017-12-15,前場,203.34,203.38,201.67,202.11
2017-12-14,後場,204.23,204.53,203.44,203.80
2017-12-14,前場,203.53,204.75,203.52,204.17
2017-12-13,後場,203.81,203.96,203.28,203.60
2017-12-13,前場,205.44,205.57,204.28,204.31
2017-12-12,後場,206.35,206.35,205.15,205.56
2017-12-12,前場,206.59,207.33,206.30,206.46
2017-12-11,後場,205.46,206.44,205.46,206.44
2017-12-11,前場,206.72,206.72,204.94,205.22
2017-12-08,後場,205.69,206.12,205.14,206.09
2017-12-08,前場,203.94,205.61,203.94,205.61
2017-12-07,後場,202.27,203.74,202.27,203.57
2017-12-07,前場,201.77,203.16,201.77,202.44
2017-12-06,後場,201.50,201.50,199.74,200.15
2017-12-06,前場,203.13,203.55,202.34,202.50
2017-12-05,後場,204.08,204.42,203.80,203.87
2017-12-05,前場,203.25,203.79,202.71,203.70
2017-12-04,後場,206.16,206.51,205.09,205.26
2017-12-04,前場,206.94,207.10,205.68,206.01
2017-12-01,後場,206.54,207.69,206.39,207.05
2017-12-01,前場,208.59,209.23,205.75,206.22
2017-11-30,後場,205.94,207.33,205.65,207.08
2017-11-30,前場,208.37,208.37,205.46,205.99
2017-11-29,後場,210.27,210.45,209.34,209.96
2017-11-29,前場,211.59,211.85,210.38,210.52
2017-11-28,後場,210.86,210.96,210.06,210.43
2017-11-28,前場,211.33,211.55,209.62,211.26
2017-11-27,後場,212.32,212.50,211.60,212.05
2017-11-27,前場,213.74,213.74,211.85,212.21
2017-11-24,後場,211.78,212.79,211.60,212.61
2017-11-24,前場,210.72,211.87,210.66,211.53
2017-11-22,後場,212.45,212.86,211.78,211.98
2017-11-22,前場,212.45,212.98,212.03,212.35
2017-11-21,後場,211.11,211.32,210.58,210.58
2017-11-21,前場,211.04,212.01,210.74,211.14
2017-11-20,後場,208.85,209.59,208.75,209.24
2017-11-20,前場,208.61,210.23,208.27,208.87
2017-11-17,後場,210.80,211.14,209.42,210.04
2017-11-17,前場,211.55,213.01,209.81,209.95
2017-11-16,後場,207.60,209.53,207.08,209.04
2017-11-16,前場,204.78,207.83,204.78,207.80
2017-11-15,後場,207.65,207.83,205.53,206.27
2017-11-15,前場,208.97,209.28,207.31,207.54
2017-11-14,後場,211.06,211.74,210.29,210.45
2017-11-14,前場,209.64,211.61,209.42,210.74
2017-11-13,後場,211.10,211.67,210.19,210.19
2017-11-13,前場,212.24,212.40,210.74,211.15
2017-11-10,後場,212.16,213.19,211.94,212.73
2017-11-10,前場,210.65,212.75,210.18,211.69
2017-11-09,後場,217.49,218.40,209.81,213.59
2017-11-09,前場,215.04,218.31,214.99,218.26
2017-11-08,後場,213.09,214.21,213.00,213.96
2017-11-08,前場,211.42,213.27,210.94,213.21
2017-11-07,後場,210.78,211.68,210.78,211.64
2017-11-07,前場,208.38,211.15,208.38,210.63
2017-11-06,後場,208.12,208.42,207.35,208.06
2017-11-06,前場,208.68,208.71,207.85,208.16
2017-11-02,後場,207.58,207.77,206.70,207.60
2017-11-02,前場,207.95,207.95,206.69,207.46
2017-11-01,後場,205.92,207.64,205.77,207.29
2017-11-01,前場,203.83,206.16,203.76,205.92
2017-10-31,後場,202.45,202.94,202.13,202.49
2017-10-31,前場,201.50,202.14,201.21,202.02
2017-10-30,後場,201.36,201.51,201.04,201.40
2017-10-30,前場,201.43,201.89,200.39,201.03
2017-10-27,後場,200.32,201.09,200.30,200.97
2017-10-27,前場,200.40,200.40,198.98,200.11
2017-10-26,後場,199.29,199.79,199.08,199.30
2017-10-26,前場,198.61,200.10,198.48,199.41
2017-10-25,後場,199.98,200.03,198.44,198.86
2017-10-25,前場,200.84,201.05,199.60,199.82
2017-10-24,後場,198.96,199.70,198.57,199.70
2017-10-24,前場,198.32,199.09,197.67,198.90
2017-10-23,後場,198.51,198.77,198.43,198.60
2017-10-23,前場,198.08,198.57,197.52,198.49
2017-10-20,後場,195.55,195.66,195.25,195.66
2017-10-20,前場,194.89,195.70,194.66,195.53
2017-10-19,後場,195.87,195.90,194.91,195.60
2017-10-19,前場,195.29,196.04,195.05,196.02
2017-10-18,後場,194.48,194.76,194.10,194.45
2017-10-18,前場,194.57,194.85,193.95,194.43
2017-10-17,後場,193.79,194.35,193.74,194.33
2017-10-17,前場,194.69,195.06,193.48,193.84
2017-10-16,後場,194.26,194.28,193.58,193.63
2017-10-16,前場,193.42,194.23,193.14,194.22
2017-10-13,後場,191.43,192.78,191.43,192.48
2017-10-13,前場,191.09,191.34,190.46,191.07
2017-10-12,後場,191.44,191.44,190.80,190.93
2017-10-12,前場,191.26,191.47,190.85,191.34
2017-10-11,後場,190.34,190.55,190.19,190.50
2017-10-11,前場,190.17,190.48,189.78,190.32
2017-10-10,後場,189.84,190.30,189.77,190.30
2017-10-10,前場,188.77,189.77,188.61,189.71
2017-10-06,後場,188.56,188.80,188.33,188.79
2017-10-06,前場,189.12,189.45,188.55,188.59
2017-10-05,後場,188.76,188.85,188.45,188.62
2017-10-05,前場,189.63,189.63,188.51,188.75
2017-10-04,後場,190.18,190.26,189.25,189.55
