日付,始値,高値,安値,終値
2010-12-30,105.80,106.02,105.08,105.41
2010-12-29,105.55,106.05,105.29,106.05
2010-12-28,105.79,105.92,105.62,105.62
2010-12-27,105.37,106.19,105.36,105.94
2010-12-24,105.07,105.36,104.99,105.19
2010-12-22,105.96,106.44,105.49,105.69
2010-12-21,105.10,106.16,105.07,105.99
2010-12-20,105.34,105.49,104.21,104.57
2010-12-17,105.56,105.86,105.22,105.42
2010-12-16,105.54,105.99,105.42,105.56
2010-12-15,105.85,105.85,105.17,105.64
2010-12-14,104.94,105.57,104.93,105.57
2010-12-13,104.36,105.34,104.12,105.34
2010-12-10,105.83,105.83,104.38,104.39
2010-12-09,105.57,105.81,105.16,105.35
2010-12-08,104.41,105.05,104.30,105.05
2010-12-07,104.35,104.35,103.54,103.95
2010-12-06,104.52,104.72,104.11,104.65
2010-12-03,104.89,105.09,104.40,104.77
2010-12-02,104.03,104.40,103.84,104.13
2010-12-01,101.61,102.19,101.33,102.19
2010-11-30,103.04,103.36,101.84,101.91
2010-11-29,102.58,103.66,102.58,103.49
2010-11-26,102.70,103.16,102.16,102.16
2010-11-25,102.85,103.15,102.17,102.57
2010-11-24,101.13,102.16,100.59,101.77
2010-11-22,103.18,103.49,102.71,103.03
2010-11-19,103.27,103.34,101.92,101.92
2010-11-18,100.45,102.17,100.21,102.16
2010-11-17,98.92,100.46,98.92,100.41
2010-11-16,101.44,101.62,99.90,100.11
2010-11-15,99.65,100.63,99.38,100.55
2010-11-12,100.24,100.46,99.06,99.06
2010-11-11,101.08,101.15,100.42,100.78
2010-11-10,99.48,100.56,99.44,100.49
2010-11-09,99.00,99.69,98.82,99.04
2010-11-08,99.37,99.67,99.04,99.67
2010-11-05,96.94,99.06,96.91,98.50
2010-11-04,95.55,96.20,95.39,95.61
2010-11-02,94.01,94.16,93.69,94.06
2010-11-01,94.23,95.14,93.86,94.08
2010-10-29,95.93,96.12,94.45,94.94
2010-10-28,95.90,96.55,95.80,96.14
2010-10-27,95.99,96.34,95.19,95.73
2010-10-26,95.69,96.32,95.31,95.46
2010-10-25,96.45,96.67,95.81,95.91
2010-10-22,96.14,96.95,95.80,96.64
2010-10-21,96.00,96.54,95.19,95.68
2010-10-20,95.75,96.02,95.05,95.90
2010-10-19,96.54,97.37,96.51,97.11
2010-10-18,96.47,97.23,96.43,96.73
2010-10-15,96.77,96.84,95.92,96.35
2010-10-14,96.54,97.45,96.26,97.04
2010-10-13,95.98,96.53,95.45,95.54
2010-10-12,97.15,97.29,95.03,95.28
2010-10-08,96.92,97.35,96.46,96.46
2010-10-07,97.00,97.46,96.51,96.96
2010-10-06,97.33,97.51,96.69,97.43
2010-10-05,94.99,96.93,94.94,96.62
2010-10-04,95.62,96.73,95.22,95.51
2010-10-01,95.95,96.08,95.09,95.58
2010-09-30,97.20,97.48,95.42,95.44
2010-09-29,96.57,97.49,96.37,97.28
2010-09-28,96.45,96.77,95.81,96.08
2010-09-27,96.02,96.97,95.78,96.95
2010-09-24,94.93,96.51,94.43,94.91
2010-09-22,96.74,97.34,96.37,96.37
2010-09-21,98.25,98.44,96.98,97.11
2010-09-17,97.13,97.34,96.67,97.15
2010-09-16,97.04,97.05,95.76,96.34
2010-09-15,92.74,96.47,92.12,95.88
2010-09-14,93.83,93.93,93.14,93.46
2010-09-13,94.16,94.55,93.61,93.72
2010-09-10,92.18,93.65,92.11,93.19
2010-09-09,91.60,91.89,91.03,91.40
2010-09-08,91.05,91.12,90.21,90.60
2010-09-07,92.58,93.89,92.41,92.63
2010-09-06,92.05,93.33,91.81,93.32
2010-09-03,90.74,91.42,90.46,91.00
2010-09-02,90.50,90.79,89.30,90.36
2010-09-01,88.33,89.02,87.84,88.94
2010-08-31,90.41,90.42,88.25,88.33
2010-08-30,92.11,93.41,91.60,91.97
2010-08-27,87.97,90.70,87.93,90.44
2010-08-26,89.10,89.21,88.33,89.03
2010-08-25,88.40,89.37,87.87,88.31
2010-08-24,89.92,90.40,89.38,89.69
