日付,時刻,始値,高値,安値,終値
2010-12-30,後場,129.95,130.23,129.83,129.83
2010-12-30,前場,130.89,130.93,129.91,129.98
2010-12-29,後場,130.71,131.05,130.55,131.05
2010-12-29,前場,130.22,130.63,129.96,130.54
2010-12-28,後場,130.38,130.57,130.37,130.37
2010-12-28,前場,130.68,130.78,130.27,130.39
2010-12-27,後場,131.18,131.26,131.02,131.21
2010-12-27,前場,130.94,131.51,130.87,131.06
2010-12-24,後場,131.08,131.18,130.86,130.97
2010-12-24,前場,131.05,131.34,130.89,131.14
2010-12-22,後場,132.00,132.00,131.56,131.72
2010-12-22,前場,131.74,132.30,131.65,131.96
2010-12-21,後場,131.59,132.07,131.59,131.94
2010-12-21,前場,130.83,131.36,130.83,131.36
2010-12-20,後場,130.28,130.43,129.93,130.30
2010-12-20,前場,130.30,130.69,130.25,130.57
2010-12-17,後場,130.19,130.40,130.07,130.16
2010-12-17,前場,129.98,130.31,129.84,130.16
2010-12-16,後場,130.31,130.48,130.09,130.22
2010-12-16,前場,129.72,130.35,129.72,130.29
2010-12-15,後場,129.78,130.12,129.64,129.97
2010-12-15,前場,129.95,130.05,129.58,129.81
2010-12-14,後場,129.81,129.96,129.78,129.95
2010-12-14,前場,130.36,130.48,129.80,129.81
2010-12-13,後場,130.17,130.37,130.02,130.29
2010-12-13,前場,129.85,130.21,129.54,130.18
2010-12-10,後場,130.04,130.43,129.98,130.06
2010-12-10,前場,129.76,130.19,129.00,130.11
2010-12-09,後場,129.20,129.47,129.15,129.42
2010-12-09,前場,129.69,130.01,129.25,129.34
2010-12-08,後場,129.45,130.11,129.39,129.61
2010-12-08,前場,129.30,129.86,129.13,129.40
2010-12-07,後場,128.18,128.80,128.13,128.79
2010-12-07,前場,128.43,128.46,127.88,127.99
2010-12-06,後場,128.50,128.61,128.29,128.57
2010-12-06,前場,129.03,129.23,128.50,128.51
2010-12-03,後場,129.39,129.46,128.74,128.87
2010-12-03,前場,129.38,129.94,129.30,129.34
2010-12-02,後場,129.28,129.28,128.82,128.87
2010-12-02,前場,129.48,129.73,129.10,129.17
2010-12-01,後場,127.18,127.68,127.05,127.68
2010-12-01,前場,127.69,127.97,127.28,127.37
2010-11-30,後場,129.02,129.03,127.82,127.82
2010-11-30,前場,129.37,129.63,129.30,129.53
2010-11-29,後場,129.41,130.14,129.30,129.53
2010-11-29,前場,129.06,129.61,129.05,129.19
2010-11-26,後場,129.35,129.43,128.98,129.02
2010-11-26,前場,129.27,129.82,129.16,129.45
2010-11-25,後場,129.59,130.09,129.23,129.23
2010-11-25,前場,130.53,130.53,129.52,129.60
2010-11-24,後場,130.33,130.54,130.05,130.06
2010-11-24,前場,129.90,130.78,129.34,130.61
2010-11-22,後場,130.40,131.20,130.38,130.95
2010-11-22,前場,130.73,130.99,130.31,130.43
2010-11-19,後場,130.56,130.86,130.24,130.34
2010-11-19,前場,130.47,130.91,129.87,130.70
2010-11-18,後場,128.15,129.57,128.13,129.56
2010-11-18,前場,127.39,128.36,127.36,127.80
2010-11-17,後場,126.26,126.85,126.20,126.70
2010-11-17,前場,125.74,126.33,125.65,126.24
2010-11-16,後場,126.36,126.81,125.91,126.21
2010-11-16,前場,126.75,127.12,125.90,126.21
2010-11-15,後場,126.02,126.50,125.89,126.43
2010-11-15,前場,126.56,126.83,125.74,126.10
2010-11-12,後場,126.38,126.83,126.10,126.10
2010-11-12,前場,126.64,127.68,126.62,126.84
2010-11-11,後場,126.97,127.09,126.57,126.87
2010-11-11,前場,126.53,127.40,126.36,126.89
2010-11-10,後場,125.28,126.17,125.28,126.16
2010-11-10,前場,124.08,125.35,124.08,125.12
2010-11-09,後場,123.44,123.97,123.40,123.81
2010-11-09,前場,123.91,124.00,123.11,123.49
2010-11-08,後場,123.89,123.95,123.29,123.95
2010-11-08,前場,124.13,124.18,123.10,123.89
2010-11-05,後場,124.30,124.83,123.90,123.96
2010-11-05,前場,123.59,125.01,123.59,124.45
2010-11-04,後場,122.27,122.27,121.87,122.24
2010-11-04,前場,122.22,123.01,122.17,122.57
2010-11-02,後場,120.68,121.34,120.64,120.90
2010-11-02,前場,120.49,120.79,120.07,120.64
2010-11-01,後場,121.12,121.47,120.43,120.66
2010-11-01,前場,121.55,122.05,120.62,120.90
2010-10-29,後場,120.73,122.23,120.70,121.80
2010-10-29,前場,122.65,122.65,120.49,120.71
2010-10-28,後場,123.71,123.75,122.94,123.34
2010-10-28,前場,124.48,124.79,123.77,123.99
2010-10-27,後場,124.99,125.01,123.74,124.62
2010-10-27,前場,125.20,125.55,124.87,125.16
2010-10-26,後場,125.11,126.16,125.10,125.13
2010-10-26,前場,125.28,126.03,125.07,125.17
2010-10-25,後場,125.45,125.64,125.04,125.14
2010-10-25,前場,125.41,126.06,125.28,125.35
2010-10-22,後場,125.74,126.10,125.38,125.54
2010-10-22,前場,125.31,125.91,125.24,125.76
2010-10-21,後場,124.68,124.89,124.44,124.73
2010-10-21,前場,124.71,125.67,123.63,124.98
2010-10-20,後場,124.68,125.18,124.66,124.90
2010-10-20,前場,125.00,125.02,123.85,124.36
2010-10-19,後場,125.79,126.05,125.27,125.79
2010-10-19,前場,125.15,126.42,125.07,125.76
2010-10-18,後場,125.28,125.43,124.71,125.03
2010-10-18,前場,124.36,125.77,124.23,125.60
2010-10-15,後場,124.55,124.64,123.58,123.77
2010-10-15,前場,125.10,125.10,123.81,124.40
2010-10-14,後場,124.65,125.38,124.57,125.06
2010-10-14,前場,124.99,125.69,124.02,124.97
2010-10-13,後場,124.27,124.44,123.78,124.05
2010-10-13,前場,125.13,125.13,123.79,124.30
2010-10-12,後場,125.54,125.58,123.92,124.00
2010-10-12,前場,128.53,128.53,125.53,125.55
2010-10-08,後場,129.39,129.41,127.66,127.66
2010-10-08,前場,130.17,130.17,129.28,129.33
2010-10-07,後場,130.33,130.44,129.81,130.36
2010-10-07,前場,129.63,130.40,129.56,130.38
2010-10-06,後場,130.00,130.30,129.68,130.18
2010-10-06,前場,129.93,130.31,129.73,130.02
2010-10-05,後場,128.56,130.06,128.42,129.71
2010-10-05,前場,129.46,129.49,128.03,128.54
2010-10-04,後場,131.23,131.25,129.84,130.06
2010-10-04,前場,130.79,131.48,130.58,131.40
2010-10-01,後場,131.28,131.30,130.72,130.80
2010-10-01,前場,131.71,131.71,130.81,131.37
2010-09-30,後場,131.89,132.05,130.83,131.01
2010-09-30,前場,133.06,133.18,131.65,131.78
2010-09-29,後場,132.70,133.19,132.56,132.91
2010-09-29,前場,131.60,132.85,131.60,132.62
2010-09-28,後場,131.76,131.98,131.57,131.89
2010-09-28,前場,131.91,132.12,131.53,131.63
2010-09-27,後場,132.29,132.90,132.06,132.90
2010-09-27,前場,132.55,132.61,132.16,132.61
2010-09-24,後場,131.76,132.74,131.53,131.82
2010-09-24,前場,130.81,131.76,130.51,131.76
2010-09-22,後場,132.34,132.48,131.64,131.64
2010-09-22,前場,132.25,132.55,131.89,132.47
2010-09-21,後場,132.50,132.92,132.31,132.77
2010-09-21,前場,133.32,133.51,132.86,132.99
2010-09-17,後場,133.03,133.03,132.23,132.69
2010-09-17,前場,132.65,133.36,132.62,132.86
2010-09-16,後場,133.13,133.14,131.98,132.04
2010-09-16,前場,134.37,134.37,133.41,133.54
2010-09-15,後場,133.91,134.33,133.73,133.73
2010-09-15,前場,131.37,133.81,131.12,133.58
2010-09-14,後場,131.70,131.80,131.10,131.46
2010-09-14,前場,131.40,132.03,131.12,132.03
2010-09-13,後場,132.04,132.30,131.55,131.59
2010-09-13,前場,131.87,132.36,131.57,131.83
2010-09-10,後場,131.38,131.53,130.79,131.51
2010-09-10,前場,130.24,132.08,130.16,131.93
2010-09-09,後場,129.60,129.99,129.44,129.74
2010-09-09,前場,129.74,129.77,129.15,129.60
2010-09-08,後場,128.51,129.13,128.19,129.07
2010-09-08,前場,128.39,129.04,128.19,128.59
2010-09-07,後場,129.24,129.39,128.86,129.26
2010-09-07,前場,129.58,129.61,129.27,129.38
2010-09-06,後場,129.60,130.32,129.50,130.30
2010-09-06,前場,129.78,129.78,129.02,129.71
2010-09-03,後場,129.91,129.91,129.10,129.45
2010-09-03,前場,130.57,130.57,129.91,130.04
2010-09-02,後場,129.67,130.51,129.33,130.51
2010-09-02,前場,130.50,130.50,129.31,129.94
2010-09-01,後場,127.71,128.61,127.61,128.61
2010-09-01,前場,128.09,128.09,127.00,127.23
2010-08-31,後場,128.73,128.75,127.85,128.20
2010-08-31,前場,130.00,130.13,128.72,128.78
2010-08-30,後場,131.94,131.94,131.41,131.81
2010-08-30,前場,130.86,132.68,130.72,132.56
2010-08-27,後場,128.77,129.90,128.40,129.63
2010-08-27,前場,128.33,128.84,128.24,128.45
2010-08-26,後場,128.71,129.06,128.40,129.06
2010-08-26,前場,128.99,128.99,128.28,128.60
2010-08-25,後場,128.82,128.94,128.01,128.43
2010-08-25,前場,128.70,128.84,128.37,128.51
2010-08-24,後場,129.48,129.66,128.88,129.23
2010-08-24,前場,129.37,129.54,129.13,129.19
2010-08-23,後場,129.71,130.07,129.63,130.00
2010-08-23,前場,129.93,130.67,129.86,130.10
2010-08-20,後場,130.56,130.59,130.11,130.19
2010-08-20,前場,130.74,130.88,130.29,130.74
2010-08-19,後場,131.63,131.92,131.39,131.92
2010-08-19,前場,131.58,131.92,131.34,131.71
2010-08-18,後場,130.89,131.96,130.86,131.48
2010-08-18,前場,131.73,131.81,130.34,130.96
2010-08-17,後場,130.74,131.28,130.68,131.12
2010-08-17,前場,129.70,130.66,129.68,130.53
2010-08-16,後場,130.72,130.96,130.51,130.81
2010-08-16,前場,129.42,130.71,129.41,130.71
2010-08-13,後場,129.98,130.23,129.80,130.08
2010-08-13,前場,129.18,130.08,128.87,129.78
2010-08-12,後場,128.48,129.48,128.48,129.48
2010-08-12,前場,128.45,129.31,128.45,128.75
2010-08-11,後場,130.09,130.39,129.76,130.28
2010-08-11,前場,130.90,131.25,129.68,130.09
2010-08-10,後場,132.24,132.31,131.49,132.16
2010-08-10,前場,132.94,133.27,132.64,132.76
2010-08-09,後場,132.25,132.67,132.21,132.63
2010-08-09,前場,132.15,132.34,131.80,132.25
2010-08-06,後場,132.61,133.31,132.61,133.11
2010-08-06,前場,130.82,132.51,130.62,132.47
2010-08-05,後場,131.01,131.51,130.97,131.51
2010-08-05,前場,131.23,132.27,131.22,131.29
2010-08-04,後場,129.49,129.80,129.03,129.66
2010-08-04,前場,130.62,130.62,128.90,129.54
2010-08-03,後場,131.42,131.70,130.93,131.59
2010-08-03,前場,131.37,131.98,131.10,131.66
2010-08-02,後場,131.27,131.59,130.00,130.12
2010-08-02,前場,130.66,131.52,130.59,131.20
2010-07-30,後場,130.81,130.85,130.18,130.18
2010-07-30,前場,132.61,132.61,131.04,131.08
2010-07-29,後場,133.18,133.53,133.14,133.14
2010-07-29,前場,133.21,133.26,132.96,133.10
2010-07-28,後場,134.13,134.33,133.80,134.25
2010-07-28,前場,132.84,133.74,132.84,133.62
