日付,始値,高値,安値,終値
2016-12-30,307.35,309.52,306.50,308.72
2016-12-29,307.83,308.65,306.90,308.11
2016-12-28,307.35,308.80,307.27,308.06
2016-12-27,310.76,311.76,309.80,310.02
2016-12-26,309.83,311.40,309.51,311.05
2016-12-22,309.59,309.59,307.61,308.76
2016-12-21,309.24,311.06,308.75,308.92
2016-12-20,308.50,310.47,308.07,309.75
2016-12-19,306.18,308.15,305.76,307.85
2016-12-16,306.81,306.96,304.62,305.31
2016-12-15,302.68,305.21,302.03,304.19
2016-12-14,307.31,308.70,303.63,303.63
2016-12-13,303.99,308.05,303.14,306.32
2016-12-12,297.48,303.71,296.33,303.56
2016-12-09,292.88,295.51,291.35,294.56
2016-12-08,293.31,294.19,292.10,294.19
2016-12-07,291.42,291.74,289.95,291.44
2016-12-06,294.55,294.65,291.51,292.15
2016-12-05,295.06,296.35,293.41,294.09
2016-12-02,299.51,299.99,294.33,295.75
2016-12-01,302.57,304.79,300.80,301.65
2016-11-30,300.49,302.41,300.11,302.41
2016-11-29,299.20,300.25,298.87,300.23
2016-11-28,297.43,299.38,296.72,298.76
2016-11-25,297.37,297.73,295.92,297.44
2016-11-24,298.76,299.25,297.24,297.51
2016-11-22,296.81,298.24,296.28,297.52
2016-11-21,291.67,296.22,291.65,296.02
2016-11-18,292.66,292.82,290.52,290.52
2016-11-17,290.50,293.73,290.17,293.11
2016-11-16,290.01,290.57,288.55,289.96
2016-11-15,289.41,289.70,286.52,289.42
2016-11-14,289.40,290.21,288.54,288.73
2016-11-11,293.85,294.08,288.36,289.13
2016-11-10,297.34,300.49,294.15,295.56
2016-11-09,304.47,306.96,290.41,292.42
2016-11-08,305.83,306.02,302.04,302.73
2016-11-07,305.43,305.82,301.83,304.64
2016-11-04,306.06,306.46,302.70,304.30
2016-11-02,307.89,309.29,307.20,308.97
2016-11-01,305.79,308.72,305.49,308.72
2016-10-31,305.92,307.76,305.29,306.49
2016-10-28,306.75,307.31,304.50,306.39
2016-10-27,305.78,308.29,305.59,306.41
2016-10-26,301.69,305.68,301.41,305.36
2016-10-25,301.80,302.23,301.09,301.34
2016-10-24,300.29,301.88,300.07,301.70
2016-10-21,302.98,302.98,299.61,299.85
2016-10-20,300.90,302.67,300.81,302.67
2016-10-19,300.60,302.08,300.37,301.66
2016-10-18,301.40,302.96,300.04,301.51
2016-10-17,300.59,301.63,299.70,301.54
2016-10-14,302.09,303.19,300.92,301.43
2016-10-13,302.57,302.73,301.03,302.30
2016-10-12,303.11,304.74,302.51,302.55
2016-10-11,302.53,304.34,302.25,303.87
2016-10-07,301.67,302.58,300.11,302.13
2016-10-06,300.70,303.10,299.77,302.13
2016-10-05,303.92,304.06,301.85,302.16
2016-10-04,305.48,305.48,303.74,305.14
2016-10-03,302.93,306.86,302.91,305.64
2016-09-30,300.29,303.05,299.42,300.93
2016-09-29,304.17,305.46,302.25,303.31
2016-09-28,303.74,304.06,301.55,302.90
2016-09-27,295.82,302.80,294.73,302.80
2016-09-26,299.22,300.49,297.60,297.96
2016-09-23,296.96,299.53,295.95,298.92
2016-09-21,292.36,297.44,292.20,297.44
2016-09-20,289.80,293.14,289.39,291.94
2016-09-16,291.13,291.14,289.07,290.81
2016-09-15,290.90,291.63,289.38,290.38
2016-09-14,292.42,293.55,291.12,291.54
2016-09-13,293.32,293.78,291.85,292.86
2016-09-12,287.70,290.19,287.25,290.17
2016-09-09,294.97,295.17,291.07,291.08
2016-09-08,294.79,295.80,293.55,294.77
2016-09-07,295.12,297.17,294.24,296.46
2016-09-06,292.67,296.22,291.94,296.03
2016-09-05,294.71,294.71,290.83,291.74
2016-09-02,289.49,294.15,289.49,292.32
2016-09-01,288.79,289.77,286.76,289.16
2016-08-31,285.73,286.62,282.72,286.20
2016-08-30,286.15,286.35,284.34,285.07
2016-08-29,291.12,291.12,285.98,286.60
2016-08-26,288.80,288.96,285.87,287.39
2016-08-25,290.68,291.67,288.77,289.51
2016-08-24,288.83,290.21,287.57,289.71
