日付,時刻,始値,高値,安値,終値
2014-12-30,後場,1417.88,1418.82,1407.51,1407.51
2014-12-30,前場,1423.98,1424.16,1414.77,1418.80
2014-12-29,後場,1426.69,1430.12,1409.53,1424.67
2014-12-29,前場,1433.80,1433.84,1428.64,1429.03
2014-12-26,後場,1423.28,1429.09,1422.94,1427.50
2014-12-26,前場,1419.89,1424.85,1419.77,1422.83
2014-12-25,後場,1421.29,1422.15,1418.83,1421.26
2014-12-25,前場,1422.53,1424.24,1420.97,1421.90
2014-12-24,後場,1425.30,1426.79,1423.80,1426.02
2014-12-24,前場,1428.27,1429.32,1424.41,1425.40
2014-12-22,後場,1407.68,1413.05,1407.29,1413.05
2014-12-22,前場,1415.97,1417.27,1408.62,1410.31
2014-12-19,後場,1400.29,1409.61,1398.88,1409.61
2014-12-19,前場,1399.92,1404.75,1396.48,1401.73
2014-12-18,後場,1386.44,1387.21,1374.39,1376.32
2014-12-18,前場,1377.77,1389.69,1377.77,1386.09
2014-12-17,後場,1356.31,1362.08,1352.01,1352.01
2014-12-17,前場,1347.03,1361.32,1346.37,1357.02
2014-12-16,後場,1354.31,1357.51,1350.73,1353.37
2014-12-16,前場,1362.52,1365.64,1353.92,1355.88
2014-12-15,後場,1386.70,1388.57,1378.33,1379.29
2014-12-15,前場,1383.05,1391.42,1377.44,1384.20
2014-12-12,後場,1409.56,1414.16,1399.65,1399.65
2014-12-12,前場,1394.97,1409.93,1394.54,1408.83
2014-12-11,後場,1390.41,1399.71,1390.41,1397.04
2014-12-11,前場,1386.96,1397.28,1378.62,1393.73
2014-12-10,後場,1411.35,1411.65,1400.04,1406.83
2014-12-10,前場,1421.03,1426.04,1412.11,1414.14
2014-12-09,後場,1440.73,1440.73,1433.52,1436.09
2014-12-09,前場,1436.14,1442.01,1436.14,1440.48
2014-12-08,後場,1450.09,1450.20,1444.37,1447.58
2014-12-08,前場,1453.89,1454.22,1442.73,1446.20
2014-12-05,後場,1439.04,1445.77,1438.71,1445.67
2014-12-05,前場,1438.90,1440.03,1433.88,1439.27
2014-12-04,後場,1440.13,1441.36,1437.89,1440.60
2014-12-04,前場,1441.46,1443.33,1437.04,1440.58
2014-12-03,後場,1435.78,1435.89,1427.23,1429.75
2014-12-03,前場,1435.98,1440.67,1432.57,1436.88
2014-12-02,後場,1423.64,1429.49,1423.26,1427.85
2014-12-02,前場,1414.00,1421.58,1414.00,1421.36
2014-12-01,後場,1423.10,1423.91,1417.34,1421.65
2014-12-01,前場,1413.60,1427.12,1413.60,1422.36
2014-11-28,後場,1404.81,1410.34,1404.58,1410.34
2014-11-28,前場,1397.23,1406.55,1397.23,1404.33
2014-11-27,後場,1399.16,1399.23,1390.60,1391.90
2014-11-27,前場,1401.62,1403.90,1398.77,1400.20
2014-11-26,後場,1409.13,1411.38,1406.40,1406.40
2014-11-26,前場,1405.07,1409.68,1403.92,1409.04
2014-11-25,後場,1407.80,1410.11,1405.71,1409.15
2014-11-25,前場,1413.27,1413.27,1405.37,1408.53
2014-11-21,後場,1390.44,1401.58,1388.63,1400.18
2014-11-21,前場,1397.78,1397.99,1384.61,1388.80
2014-11-20,後場,1399.93,1401.95,1396.14,1397.64
2014-11-20,前場,1404.74,1405.20,1396.70,1397.65
2014-11-19,後場,1398.18,1403.99,1394.84,1396.54
2014-11-19,前場,1399.83,1408.53,1397.08,1398.00
2014-11-18,後場,1390.58,1395.54,1387.16,1394.88
2014-11-18,前場,1381.98,1392.13,1381.98,1388.01
2014-11-17,後場,1370.77,1374.72,1362.34,1366.13
2014-11-17,前場,1394.46,1395.37,1368.05,1371.19
2014-11-14,後場,1393.59,1400.41,1388.97,1400.41
2014-11-14,前場,1401.17,1401.50,1385.61,1388.96
2014-11-13,後場,1379.48,1390.29,1379.28,1389.51
2014-11-13,前場,1376.01,1381.53,1370.16,1380.18
2014-11-12,後場,1386.61,1393.28,1375.66,1377.05
2014-11-12,前場,1385.89,1393.46,1384.08,1385.20
2014-11-11,後場,1364.54,1378.89,1364.42,1375.21
2014-11-11,前場,1365.27,1368.09,1363.05,1365.15
2014-11-10,後場,1357.73,1361.14,1356.19,1360.11
2014-11-10,前場,1355.14,1361.20,1353.42,1357.96
2014-11-07,後場,1363.03,1366.54,1361.42,1363.67
2014-11-07,前場,1366.02,1369.13,1361.64,1363.66
2014-11-06,後場,1375.16,1375.22,1353.76,1356.35
2014-11-06,前場,1375.87,1378.77,1371.94,1372.21
2014-11-05,後場,1362.73,1373.06,1361.95,1371.76
2014-11-05,前場,1363.51,1372.26,1360.88,1364.33
2014-11-04,後場,1377.89,1378.11,1368.38,1368.65
2014-11-04,前場,1358.97,1392.90,1358.62,1381.65
2014-10-31,後場,1299.37,1338.35,1294.60,1333.64
2014-10-31,前場,1291.69,1299.48,1291.64,1298.30
2014-10-30,後場,1279.91,1282.88,1278.65,1278.90
2014-10-30,前場,1273.62,1279.86,1272.88,1277.51
2014-10-29,後場,1271.02,1273.30,1268.83,1270.64
2014-10-29,前場,1260.83,1270.67,1259.07,1268.99
2014-10-28,後場,1247.83,1253.46,1246.23,1252.00
2014-10-28,前場,1251.68,1255.05,1246.04,1247.17
2014-10-27,後場,1248.97,1257.14,1248.97,1254.28
2014-10-27,前場,1251.44,1252.06,1247.04,1248.89
2014-10-24,後場,1243.35,1244.64,1240.03,1242.32
2014-10-24,前場,1249.35,1250.74,1239.08,1240.91
2014-10-23,後場,1232.80,1238.78,1228.36,1232.34
2014-10-23,前場,1230.25,1233.41,1224.04,1233.06
2014-10-22,後場,1226.26,1236.69,1225.67,1236.41
2014-10-22,前場,1224.50,1232.62,1222.42,1227.51
2014-10-21,後場,1212.48,1213.85,1201.50,1205.36
2014-10-21,前場,1227.48,1227.90,1217.94,1218.23
2014-10-20,後場,1219.48,1226.59,1219.45,1224.34
2014-10-20,前場,1201.17,1220.58,1200.84,1217.91
2014-10-17,後場,1184.05,1186.35,1177.22,1177.22
2014-10-17,前場,1197.95,1200.83,1185.57,1187.38
2014-10-16,後場,1201.35,1202.29,1192.82,1195.50
2014-10-16,前場,1201.90,1202.38,1192.75,1197.24
2014-10-15,後場,1215.37,1225.28,1215.31,1223.67
2014-10-15,前場,1219.81,1221.96,1212.86,1212.86
2014-10-14,後場,1222.99,1223.51,1213.12,1214.27
2014-10-14,前場,1221.11,1225.31,1212.42,1224.03
2014-10-10,後場,1242.06,1243.91,1236.81,1243.09
2014-10-10,前場,1240.69,1245.45,1237.85,1243.03
2014-10-09,後場,1268.10,1269.69,1259.68,1260.78
2014-10-09,前場,1279.81,1282.65,1270.52,1273.98
2014-10-08,後場,1272.47,1278.50,1270.50,1274.85
2014-10-08,前場,1272.89,1274.43,1267.94,1271.78
2014-10-07,後場,1301.01,1301.53,1288.97,1290.89
2014-10-07,前場,1296.24,1303.57,1293.64,1302.26
2014-10-06,後場,1300.12,1303.80,1296.40,1296.40
2014-10-06,前場,1299.03,1301.04,1293.12,1299.71
2014-10-03,後場,1276.22,1282.63,1273.75,1282.54
2014-10-03,前場,1275.17,1284.19,1275.07,1278.61
2014-10-02,後場,1290.50,1291.16,1278.73,1280.15
2014-10-02,前場,1302.47,1303.02,1289.72,1291.80
2014-10-01,後場,1328.02,1328.32,1318.08,1318.21
2014-10-01,前場,1325.55,1329.69,1319.54,1328.64
2014-09-30,後場,1317.81,1326.32,1317.61,1326.29
2014-09-30,前場,1334.21,1334.36,1315.53,1316.07
2014-09-29,後場,1337.86,1338.32,1333.91,1337.30
2014-09-29,前場,1340.49,1340.62,1334.07,1337.05
2014-09-26,後場,1331.77,1332.59,1327.94,1331.95
