日付,始値,高値,安値,終値
2007-12-28,1485.61,1485.61,1470.90,1475.68
2007-12-27,1505.58,1506.05,1495.52,1499.94
2007-12-26,1500.74,1508.47,1496.85,1508.47
2007-12-25,1486.26,1499.46,1486.26,1496.03
2007-12-21,1458.54,1469.86,1448.83,1469.20
2007-12-20,1467.83,1470.40,1455.96,1457.56
2007-12-19,1467.42,1480.43,1456.79,1456.79
2007-12-18,1457.63,1479.77,1447.54,1469.77
2007-12-17,1493.59,1499.57,1470.65,1472.70
2007-12-14,1516.17,1528.71,1495.15,1501.25
2007-12-13,1547.67,1548.74,1515.50,1516.10
2007-12-12,1547.93,1560.01,1534.55,1556.93
2007-12-11,1567.86,1574.16,1563.84,1567.02
2007-12-10,1567.08,1567.94,1551.12,1558.51
2007-12-07,1563.99,1578.39,1561.21,1561.76
2007-12-06,1543.88,1553.38,1536.37,1552.27
2007-12-05,1508.69,1529.23,1502.71,1526.63
2007-12-04,1530.20,1535.47,1513.39,1515.50
2007-12-03,1543.17,1548.91,1527.13,1532.16
2007-11-30,1513.17,1537.39,1513.17,1531.88
2007-11-29,1493.20,1517.72,1493.19,1514.47
2007-11-28,1483.77,1489.55,1469.61,1475.64
2007-11-27,1451.17,1480.07,1433.35,1478.78
2007-11-26,1442.20,1479.26,1441.23,1467.03
2007-11-22,1424.70,1446.87,1417.47,1437.38
2007-11-21,1463.32,1469.19,1432.52,1438.72
2007-11-20,1439.27,1470.57,1420.57,1469.27
2007-11-19,1474.42,1487.92,1455.74,1456.61
2007-11-16,1481.29,1481.29,1460.27,1471.67
2007-11-15,1503.10,1516.85,1498.31,1498.86
2007-11-14,1473.12,1498.91,1471.48,1497.71
2007-11-13,1455.87,1468.48,1441.97,1454.73
2007-11-12,1475.45,1475.61,1440.29,1456.40
2007-11-09,1514.05,1525.01,1493.38,1494.35
2007-11-08,1535.99,1535.99,1503.97,1516.94
2007-11-07,1585.91,1586.48,1555.18,1556.69
2007-11-06,1562.09,1588.73,1561.46,1574.59
2007-11-05,1597.72,1597.89,1570.91,1575.13
2007-11-02,1614.51,1614.72,1597.54,1600.17
2007-11-01,1626.51,1638.71,1626.51,1635.78
2007-10-31,1603.06,1620.07,1595.51,1620.07
2007-10-30,1605.09,1610.44,1590.25,1607.21
2007-10-29,1586.96,1612.18,1586.96,1606.49
2007-10-26,1555.62,1573.97,1554.06,1573.97
2007-10-25,1560.93,1564.61,1542.62,1548.07
2007-10-24,1578.01,1586.77,1560.04,1563.86
2007-10-23,1570.93,1582.96,1565.60,1570.55
2007-10-22,1568.52,1568.52,1539.09,1563.07
2007-10-19,1605.03,1605.06,1584.39,1591.28
2007-10-18,1605.61,1621.19,1605.56,1617.75
2007-10-17,1623.15,1623.15,1584.24,1600.29
2007-10-16,1647.65,1649.19,1624.70,1625.25
2007-10-15,1667.69,1669.37,1650.76,1657.44
2007-10-12,1671.87,1672.98,1653.93,1659.48
2007-10-11,1659.83,1679.71,1651.27,1677.52
2007-10-10,1671.02,1671.58,1653.37,1658.18
2007-10-09,1663.58,1670.44,1657.97,1660.06
2007-10-05,1653.19,1666.28,1652.61,1656.91
2007-10-04,1652.82,1667.48,1649.15,1655.60
2007-10-03,1642.54,1664.31,1640.58,1664.01
2007-10-02,1633.55,1641.82,1632.84,1639.79
2007-10-01,1614.23,1624.75,1599.91,1615.89
2007-09-28,1620.11,1622.49,1608.76,1616.62
2007-09-27,1589.21,1621.42,1589.21,1615.15
2007-09-26,1569.07,1577.90,1568.40,1576.02
2007-09-25,1551.41,1570.08,1546.99,1566.83
2007-09-21,1555.43,1559.24,1542.26,1552.07
2007-09-20,1575.75,1579.10,1558.45,1566.84
2007-09-19,1531.86,1569.33,1531.86,1567.58
2007-09-18,1533.18,1533.18,1509.63,1510.95
2007-09-14,1530.10,1545.49,1528.91,1544.71
2007-09-13,1536.83,1537.85,1522.87,1522.87
2007-09-12,1543.38,1552.07,1522.10,1528.27
2007-09-11,1524.02,1541.30,1506.19,1532.39
2007-09-10,1536.47,1536.47,1513.20,1525.22
2007-09-07,1560.89,1567.84,1548.04,1557.02
2007-09-06,1552.88,1568.52,1531.14,1568.52
2007-09-05,1605.90,1608.70,1567.04,1569.47
2007-09-04,1601.17,1608.19,1593.93,1596.74
2007-09-03,1605.66,1611.97,1598.53,1605.44
2007-08-31,1575.94,1608.25,1574.36,1608.25
2007-08-30,1574.95,1579.68,1560.93,1568.23
2007-08-29,1562.82,1562.82,1537.04,1557.55
2007-08-28,1578.34,1591.04,1576.58,1584.60
2007-08-27,1602.38,1610.28,1584.75,1587.76
2007-08-24,1587.81,1591.33,1578.09,1585.85
2007-08-23,1562.77,1591.92,1562.77,1591.81
2007-08-22,1547.90,1550.79,1536.16,1544.89
2007-08-21,1532.60,1565.43,1531.54,1549.88
2007-08-20,1500.70,1544.35,1500.70,1523.57
2007-08-17,1557.87,1561.19,1479.82,1480.39
2007-08-16,1576.05,1576.05,1529.98,1567.46
2007-08-15,1619.48,1619.87,1590.56,1594.15
2007-08-14,1634.09,1638.58,1626.06,1637.46
2007-08-13,1636.14,1649.42,1628.95,1632.64
2007-08-10,1662.13,1664.55,1625.61,1633.93
2007-08-09,1682.67,1696.67,1679.98,1683.81
2007-08-08,1661.66,1673.55,1659.21,1669.04
2007-08-07,1677.78,1679.20,1656.02,1660.16
2007-08-06,1654.67,1670.53,1642.57,1668.04
2007-08-03,1676.73,1682.47,1665.00,1672.54
2007-08-02,1674.43,1678.45,1642.12,1669.33
2007-08-01,1698.33,1698.33,1666.18,1668.85
2007-07-31,1713.33,1713.41,1699.33,1706.18
2007-07-30,1685.31,1706.51,1676.69,1705.71
2007-07-27,1714.16,1714.16,1689.51,1699.71
2007-07-26,1751.03,1755.83,1735.92,1737.18
2007-07-25,1747.64,1756.65,1738.87,1754.03
2007-07-24,1762.92,1768.53,1752.41,1765.99
2007-07-23,1759.89,1761.66,1748.77,1757.29
2007-07-20,1773.89,1783.52,1770.81,1776.17
2007-07-19,1763.06,1769.81,1759.16,1768.00
2007-07-18,1772.12,1772.12,1752.89,1758.65
2007-07-17,1785.69,1785.69,1771.67,1778.11
2007-07-13,1781.87,1789.05,1778.97,1783.20
2007-07-12,1773.35,1776.98,1756.71,1763.06
2007-07-11,1773.68,1774.84,1764.60,1767.72
2007-07-10,1789.45,1790.42,1783.68,1789.20
2007-07-09,1786.75,1794.73,1785.74,1792.23
2007-07-06,1784.58,1784.92,1772.63,1779.67
2007-07-05,1784.50,1796.89,1784.50,1788.16
2007-07-04,1783.39,1787.96,1780.50,1782.44
2007-07-03,1785.21,1788.09,1776.80,1781.86
2007-07-02,1776.80,1781.90,1770.30,1780.36
2007-06-29,1759.17,1774.96,1755.47,1774.88
2007-06-28,1750.05,1756.16,1745.76,1751.12
2007-06-27,1757.61,1758.50,1739.56,1741.08
2007-06-26,1765.97,1767.41,1756.41,1765.87
2007-06-25,1770.46,1777.53,1764.39,1764.87
2007-06-22,1782.73,1782.82,1767.00,1777.99
2007-06-21,1774.95,1793.41,1773.93,1789.38
2007-06-20,1782.63,1793.61,1779.29,1783.72
2007-06-19,1785.89,1785.89,1778.17,1780.49
2007-06-18,1786.99,1791.81,1782.20,1788.39
2007-06-15,1765.62,1773.35,1763.84,1772.94
2007-06-14,1757.47,1762.15,1752.98,1756.64
2007-06-13,1737.45,1749.76,1731.41,1745.92
2007-06-12,1763.58,1765.28,1748.99,1751.62
2007-06-11,1768.65,1773.58,1758.30,1761.15
2007-06-08,1766.86,1766.86,1746.89,1756.16
2007-06-07,1763.36,1780.66,1762.92,1779.72
2007-06-06,1772.81,1781.53,1772.18,1778.50
2007-06-05,1775.83,1778.41,1767.71,1776.56
2007-06-04,1782.37,1784.83,1771.62,1772.84
2007-06-01,1763.96,1773.87,1763.92,1767.88
2007-05-31,1742.69,1757.09,1742.02,1755.68
