日付,時刻,始値,高値,安値,終値
2017-12-12,後場,2218.59,2218.59,2209.18,2214.04
2017-12-12,前場,2222.37,2225.89,2218.39,2219.37
2017-12-11,後場,2206.83,2221.78,2206.83,2221.78
2017-12-11,前場,2216.17,2216.44,2200.71,2203.78
2017-12-08,後場,2204.47,2210.70,2201.26,2210.70
2017-12-08,前場,2190.72,2205.20,2190.72,2205.16
2017-12-07,後場,2177.76,2187.05,2177.76,2184.78
2017-12-07,前場,2164.93,2181.78,2164.93,2179.10
2017-12-06,後場,2161.99,2161.99,2146.99,2149.80
2017-12-06,前場,2173.93,2181.04,2171.82,2172.01
2017-12-05,後場,2179.20,2184.80,2178.28,2181.62
2017-12-05,前場,2171.95,2174.21,2164.35,2173.81
2017-12-04,後場,2194.55,2194.55,2179.08,2180.32
2017-12-04,前場,2198.06,2201.76,2190.82,2191.96
2017-12-01,後場,2191.48,2200.33,2188.38,2195.70
2017-12-01,前場,2207.11,2210.45,2184.29,2186.80
2017-11-30,後場,2178.23,2195.10,2176.73,2193.70
2017-11-30,前場,2187.56,2188.27,2170.45,2176.67
2017-11-29,後場,2194.74,2197.31,2190.18,2197.31
2017-11-29,前場,2199.71,2200.75,2194.65,2196.92
2017-11-28,後場,2191.49,2192.49,2186.52,2189.34
2017-11-28,前場,2189.86,2196.74,2178.93,2194.92
2017-11-27,後場,2193.78,2196.56,2188.89,2194.65
2017-11-27,前場,2206.64,2206.70,2192.31,2194.25
2017-11-24,後場,2189.19,2200.17,2186.96,2198.49
2017-11-24,前場,2177.03,2186.41,2176.23,2186.14
2017-11-22,後場,2192.35,2193.74,2184.16,2186.05
2017-11-22,前場,2193.95,2197.16,2187.47,2191.78
2017-11-21,後場,2186.21,2188.94,2181.08,2181.08
2017-11-21,前場,2179.78,2188.89,2177.89,2186.41
2017-11-20,後場,2164.30,2171.02,2163.45,2168.57
2017-11-20,前場,2158.18,2168.57,2156.48,2164.19
2017-11-17,後場,2176.32,2176.32,2162.17,2169.85
2017-11-17,前場,2181.06,2188.88,2166.86,2168.11
2017-11-16,後場,2144.97,2166.49,2141.96,2160.28
2017-11-16,前場,2121.08,2146.38,2119.90,2146.28
2017-11-15,後場,2144.20,2145.06,2125.19,2128.91
2017-11-15,前場,2157.34,2159.36,2141.06,2142.96
2017-11-14,後場,2173.12,2177.66,2165.94,2167.16
2017-11-14,前場,2170.45,2178.26,2167.27,2171.00
2017-11-13,後場,2181.79,2185.24,2173.40,2173.40
2017-11-13,前場,2185.52,2187.42,2177.70,2181.07
2017-11-10,後場,2188.98,2194.79,2184.72,2190.69
2017-11-10,前場,2184.95,2191.19,2175.96,2182.78
2017-11-09,後場,2229.65,2238.63,2173.57,2201.81
2017-11-09,前場,2213.20,2238.88,2212.94,2238.46
2017-11-08,後場,2195.60,2203.88,2195.58,2202.89
2017-11-08,前場,2192.21,2197.10,2185.36,2197.10
2017-11-07,後場,2180.08,2194.23,2179.65,2194.23
2017-11-07,前場,2160.45,2181.97,2160.37,2177.59
2017-11-06,後場,2159.63,2162.47,2152.98,2160.16
2017-11-06,前場,2161.73,2165.49,2159.27,2160.24
2017-11-02,後場,2155.71,2156.53,2150.06,2156.46
2017-11-02,前場,2156.94,2157.38,2144.38,2152.70
2017-11-01,後場,2144.23,2153.01,2139.20,2150.39
2017-11-01,前場,2134.35,2145.55,2130.84,2143.19
2017-10-31,後場,2117.95,2123.65,2116.19,2121.20
2017-10-31,前場,2115.43,2116.54,2107.95,2114.14
2017-10-30,後場,2119.22,2120.24,2113.92,2120.24
2017-10-30,前場,2120.75,2122.82,2111.34,2115.95
2017-10-27,後場,2114.56,2121.54,2114.22,2121.38
2017-10-27,前場,2107.17,2113.57,2102.84,2112.08
2017-10-26,後場,2096.76,2101.86,2095.65,2097.60
2017-10-26,前場,2093.40,2103.31,2093.40,2097.17
2017-10-25,後場,2106.77,2107.56,2093.87,2098.03
2017-10-25,前場,2115.93,2117.82,2103.66,2105.55
2017-10-24,後場,2107.01,2112.62,2104.20,2112.62
2017-10-24,前場,2099.16,2107.20,2098.99,2106.61
2017-10-23,後場,2100.13,2102.76,2099.34,2100.41
2017-10-23,前場,2102.82,2102.82,2096.54,2099.70
2017-10-20,後場,2081.27,2083.02,2079.49,2083.02
2017-10-20,前場,2071.59,2082.82,2071.59,2080.59
2017-10-19,後場,2078.94,2079.23,2071.50,2076.59
2017-10-19,前場,2075.47,2080.18,2073.41,2080.08
2017-10-18,後場,2070.27,2072.69,2066.31,2070.21
2017-10-18,前場,2071.21,2074.20,2069.00,2069.64
2017-10-17,後場,2065.06,2070.67,2064.97,2070.18
2017-10-17,前場,2073.46,2075.82,2064.27,2065.56
2017-10-16,後場,2072.05,2072.91,2066.25,2066.25
2017-10-16,前場,2064.50,2072.82,2063.35,2072.82
2017-10-13,後場,2054.07,2065.23,2053.69,2060.71
2017-10-13,前場,2046.86,2053.15,2044.00,2050.28
2017-10-12,後場,2051.46,2051.64,2046.56,2047.63
2017-10-12,前場,2048.40,2051.92,2046.55,2050.57
2017-10-11,後場,2038.23,2040.64,2037.82,2040.10
2017-10-11,前場,2036.23,2039.74,2033.63,2038.62
2017-10-10,後場,2031.66,2037.22,2031.41,2037.22
2017-10-10,前場,2017.86,2030.61,2017.86,2030.06
2017-10-06,後場,2018.37,2018.89,2014.50,2018.89
2017-10-06,前場,2024.65,2026.87,2019.18,2019.56
2017-10-05,後場,2020.20,2021.45,2017.37,2019.34
2017-10-05,前場,2022.62,2025.29,2019.54,2020.65
2017-10-04,後場,2024.67,2025.44,2015.43,2019.85
2017-10-04,前場,2024.88,2026.08,2018.98,2026.08
2017-10-03,後場,2018.58,2021.50,2015.30,2021.17
2017-10-03,前場,2015.23,2021.10,2011.51,2017.21
2017-10-02,後場,2007.57,2008.33,2003.92,2006.99
2017-10-02,前場,2013.49,2013.49,2006.75,2007.13
2017-09-29,後場,2002.68,2008.22,2001.32,2007.23
2017-09-29,前場,2005.69,2006.00,2000.50,2001.83
2017-09-28,後場,1997.51,2007.29,1997.07,2006.05
2017-09-28,前場,2000.80,2001.25,1995.18,1998.69
2017-09-27,後場,1990.99,1994.44,1990.66,1993.44
2017-09-27,前場,1995.08,1995.08,1986.24,1990.75
2017-09-26,後場,2000.67,2001.53,1995.36,1999.50
2017-09-26,前場,1999.31,2003.09,1996.33,2001.92
2017-09-25,後場,2001.30,2003.96,1999.46,2002.78
2017-09-25,前場,1999.92,2005.15,1999.63,2004.46
2017-09-22,後場,1988.10,1990.83,1985.32,1989.53
2017-09-22,前場,1998.00,2002.32,1986.15,1989.68
2017-09-21,後場,2006.51,2006.51,1995.51,1996.54
2017-09-21,前場,2012.42,2012.42,2004.06,2009.63
2017-09-20,後場,2009.24,2009.24,2002.73,2004.77
2017-09-20,前場,2005.54,2008.14,2002.80,2005.48
2017-09-19,後場,1995.96,2004.56,1995.56,2003.61
2017-09-19,前場,1991.97,1997.35,1988.52,1996.36
2017-09-15,後場,1968.05,1976.53,1967.90,1974.86
2017-09-15,前場,1966.76,1973.63,1965.26,1965.32
2017-09-14,後場,1976.01,1976.01,1969.75,1971.13
2017-09-14,前場,1976.08,1985.29,1976.08,1979.02
2017-09-13,後場,1975.42,1977.85,1975.21,1975.45
2017-09-13,前場,1976.01,1976.01,1971.23,1975.40
2017-09-12,後場,1966.33,1968.98,1964.64,1966.55
2017-09-12,前場,1962.40,1966.62,1961.49,1963.66
2017-09-11,後場,1947.06,1949.05,1943.59,1945.33
2017-09-11,前場,1935.78,1950.09,1935.67,1946.76
2017-09-08,後場,1922.02,1923.44,1913.44,1917.72
2017-09-08,前場,1916.02,1923.83,1915.29,1921.93
2017-09-07,後場,1922.29,1922.29,1911.68,1917.86
2017-09-07,前場,1913.72,1925.52,1913.59,1920.71
2017-09-06,後場,1898.01,1907.61,1898.01,1905.39
2017-09-06,前場,1887.53,1900.46,1883.80,1899.13
2017-09-05,後場,1903.10,1906.13,1897.45,1899.66
2017-09-05,前場,1920.58,1920.58,1902.85,1906.41
2017-09-04,後場,1919.23,1920.14,1916.44,1919.45
2017-09-04,前場,1932.05,1933.01,1913.43,1919.07
2017-09-01,後場,1935.80,1941.03,1932.07,1938.10
2017-09-01,前場,1943.70,1943.70,1935.46,1937.39
2017-08-31,後場,1936.42,1938.62,1935.86,1936.20
2017-08-31,前場,1935.12,1938.30,1934.40,1935.81
2017-08-30,後場,1926.66,1934.43,1924.92,1929.31
2017-08-30,前場,1927.69,1929.68,1923.37,1925.96
2017-08-29,後場,1916.25,1920.74,1915.39,1918.99
2017-08-29,前場,1910.78,1915.88,1908.70,1915.76
2017-08-28,後場,1916.43,1921.60,1915.31,1920.62
2017-08-28,前場,1918.77,1921.86,1914.61,1915.43
2017-08-25,後場,1913.94,1916.70,1912.43,1912.43
2017-08-25,前場,1912.37,1914.16,1908.79,1912.78
2017-08-24,後場,1919.28,1919.28,1911.40,1911.40
2017-08-24,前場,1916.89,1921.19,1914.35,1919.10
2017-08-23,後場,1917.30,1922.33,1915.48,1918.81
2017-08-23,前場,1927.91,1929.57,1920.38,1920.87
2017-08-22,後場,1909.90,1909.97,1904.70,1907.41
2017-08-22,前場,1904.53,1911.96,1904.21,1909.03
2017-08-21,後場,1901.43,1904.18,1900.49,1902.23
2017-08-21,前場,1910.62,1910.99,1898.59,1900.64
2017-08-18,後場,1909.72,1910.97,1903.61,1906.68
2017-08-18,前場,1902.93,1910.38,1900.06,1907.94
2017-08-17,後場,1928.28,1929.56,1925.56,1925.56
2017-08-17,前場,1927.43,1930.63,1923.31,1926.61
2017-08-16,後場,1926.91,1929.74,1925.94,1925.94
2017-08-16,前場,1925.06,1928.05,1921.81,1927.50
2017-08-15,後場,1927.83,1933.62,1924.93,1927.95
2017-08-15,前場,1917.02,1930.76,1916.93,1927.17
2017-08-14,後場,1911.16,1914.00,1903.96,1904.15
2017-08-14,前場,1906.88,1912.02,1900.55,1912.02
2017-08-10,後場,1918.54,1923.92,1916.53,1923.26
2017-08-10,前場,1924.97,1931.32,1919.80,1921.57
2017-08-09,後場,1918.71,1921.38,1912.78,1920.42
2017-08-09,前場,1937.58,1937.72,1915.03,1919.04
2017-08-08,後場,1940.03,1942.65,1937.97,1941.56
2017-08-08,前場,1948.23,1950.13,1936.59,1940.43
2017-08-07,後場,1949.28,1950.45,1946.24,1946.66
2017-08-07,前場,1949.48,1950.80,1944.88,1949.34
2017-08-04,後場,1941.34,1944.97,1940.75,1941.69
2017-08-04,前場,1939.78,1942.04,1936.06,1940.94
2017-08-03,後場,1941.81,1945.55,1939.71,1944.22
2017-08-03,前場,1944.69,1946.60,1938.06,1940.36
2017-08-02,後場,1943.21,1947.44,1943.21,1944.95
2017-08-02,前場,1939.43,1944.14,1934.54,1941.59
2017-08-01,後場,1928.31,1930.82,1926.41,1930.82
2017-08-01,前場,1918.16,1933.02,1918.16,1926.86
2017-07-31,後場,1923.62,1926.21,1918.01,1918.01
2017-07-31,前場,1925.15,1927.99,1919.38,1923.42
2017-07-28,後場,1932.61,1933.88,1924.33,1928.22
2017-07-28,前場,1936.87,1937.54,1925.65,1932.64
2017-07-27,後場,1932.82,1948.13,1932.75,1935.98
2017-07-27,前場,1924.23,1935.37,1923.91,1934.57
2017-07-26,後場,1922.35,1922.96,1916.05,1919.99
2017-07-26,前場,1930.75,1932.20,1921.89,1921.89
2017-07-25,後場,1926.48,1926.88,1923.23,1923.61
2017-07-25,前場,1926.32,1930.48,1922.93,1924.06
2017-07-24,後場,1919.46,1929.24,1918.71,1926.46
2017-07-24,前場,1924.61,1924.72,1916.77,1919.01
2017-07-21,後場,1933.76,1935.92,1932.83,1934.27
2017-07-21,前場,1934.38,1937.17,1932.71,1933.92
2017-07-20,後場,1935.58,1937.31,1934.18,1935.38
2017-07-20,前場,1924.98,1935.03,1924.56,1932.53
2017-07-19,後場,1921.81,1923.09,1918.01,1921.20
2017-07-19,前場,1912.88,1922.87,1910.58,1922.49
2017-07-18,後場,1908.83,1915.79,1908.83,1915.01
2017-07-18,前場,1916.52,1917.38,1904.72,1911.04
2017-07-14,後場,1922.67,1923.07,1919.17,1919.30
2017-07-14,前場,1920.72,1922.51,1916.46,1921.82
2017-07-13,後場,1918.29,1919.43,1911.46,1917.41
2017-07-13,前場,1919.55,1921.12,1914.19,1918.34
2017-07-12,後場,1913.44,1913.44,1908.01,1910.67
2017-07-12,前場,1917.19,1918.60,1913.06,1914.52
2017-07-11,後場,1912.47,1920.47,1912.47,1919.61
2017-07-11,前場,1905.16,1912.34,1905.16,1912.17
2017-07-10,後場,1904.61,1910.72,1901.12,1904.10
2017-07-10,前場,1903.18,1903.84,1898.61,1903.62
2017-07-07,後場,1893.33,1895.09,1889.54,1892.25
2017-07-07,前場,1888.26,1899.29,1888.26,1896.68
2017-07-06,後場,1901.90,1902.48,1896.22,1901.44
2017-07-06,前場,1905.31,1907.06,1899.75,1903.32
2017-07-05,後場,1891.04,1904.31,1890.97,1904.02
2017-07-05,前場,1889.18,1892.07,1882.81,1887.37
2017-07-04,後場,1901.79,1901.82,1887.60,1892.45
2017-07-04,前場,1916.28,1916.28,1901.17,1901.61
2017-07-03,後場,1909.76,1911.24,1905.58,1907.18
2017-07-03,前場,1909.21,1912.60,1907.10,1908.35
2017-06-30,後場,1907.20,1910.07,1903.32,1910.07
2017-06-30,前場,1910.83,1911.39,1901.80,1907.66
2017-06-29,後場,1928.35,1931.73,1926.92,1930.37
2017-06-29,前場,1930.42,1930.42,1923.33,1927.62
2017-06-28,後場,1926.67,1926.78,1918.17,1919.44
2017-06-28,前場,1929.56,1936.05,1928.59,1929.21
2017-06-27,後場,1939.49,1941.61,1937.71,1939.83
2017-06-27,前場,1944.20,1945.84,1935.44,1938.73
2017-06-26,後場,1936.68,1939.07,1936.25,1937.37
2017-06-26,前場,1932.01,1937.52,1931.57,1936.29
2017-06-23,後場,1931.78,1932.29,1927.49,1930.51
2017-06-23,前場,1932.71,1932.71,1927.16,1927.87
2017-06-22,後場,1933.91,1937.74,1930.86,1930.86
2017-06-22,前場,1934.47,1935.29,1931.12,1931.77
2017-06-21,後場,1935.38,1935.38,1930.78,1931.84
2017-06-21,前場,1934.62,1941.04,1930.51,1937.69
2017-06-20,後場,1940.24,1941.75,1936.09,1936.09
2017-06-20,前場,1935.21,1941.83,1933.03,1939.40
2017-06-19,後場,1917.15,1919.63,1916.18,1919.09
2017-06-19,前場,1905.77,1918.50,1904.13,1916.41
2017-06-16,後場,1908.35,1908.35,1895.86,1900.48
2017-06-16,前場,1905.26,1906.03,1898.64,1901.29
2017-06-15,後場,1893.75,1901.54,1892.69,1898.27
2017-06-15,前場,1890.41,1904.33,1887.38,1893.32
2017-06-14,後場,1898.33,1900.09,1893.91,1893.91
2017-06-14,前場,1902.32,1909.57,1895.57,1897.31
2017-06-13,後場,1893.87,1895.76,1892.90,1892.90
2017-06-13,前場,1888.19,1896.32,1888.08,1892.12
2017-06-12,後場,1891.05,1895.51,1888.75,1893.61
2017-06-12,前場,1889.91,1895.05,1881.56,1893.78
2017-06-09,後場,1908.17,1908.17,1899.36,1902.77
2017-06-09,前場,1901.96,1909.96,1897.70,1907.86
2017-06-08,後場,1919.47,1919.68,1907.84,1908.63
2017-06-08,前場,1925.82,1926.42,1917.01,1919.91
2017-06-07,後場,1916.44,1922.33,1915.89,1920.08
2017-06-07,前場,1917.65,1919.23,1912.43,1914.21
2017-06-06,後場,1922.59,1927.28,1918.16,1919.70
2017-06-06,前場,1933.72,1936.02,1921.09,1921.14
2017-06-05,後場,1935.62,1940.43,1932.69,1937.53
2017-06-05,前場,1921.98,1936.28,1920.19,1935.69
2017-06-02,後場,1922.40,1925.34,1920.69,1923.77
2017-06-02,前場,1913.04,1919.02,1909.52,1918.15
2017-06-01,後場,1901.63,1906.29,1900.83,1905.16
2017-06-01,前場,1885.28,1901.57,1885.28,1901.41
2017-05-31,後場,1878.98,1880.47,1876.09,1880.47
