日付,始値,高値,安値,終値
2016-12-30,1733.72,1747.54,1731.55,1744.48
2016-12-29,1751.27,1751.54,1736.29,1742.00
2016-12-28,1754.29,1762.11,1753.18,1758.57
2016-12-27,1753.58,1764.60,1753.31,1755.31
2016-12-26,1753.33,1757.50,1752.54,1754.23
2016-12-22,1751.08,1752.84,1747.34,1752.84
2016-12-21,1766.32,1768.38,1751.62,1754.05
2016-12-20,1750.41,1764.75,1750.22,1763.30
2016-12-19,1745.24,1751.74,1741.78,1751.20
2016-12-16,1751.43,1751.43,1743.50,1747.06
2016-12-15,1736.41,1747.14,1733.91,1740.40
2016-12-14,1737.43,1740.98,1732.03,1732.48
2016-12-13,1717.95,1735.56,1713.28,1735.11
2016-12-12,1718.81,1723.69,1708.11,1717.55
2016-12-09,1692.87,1706.26,1690.88,1704.61
2016-12-08,1694.12,1694.49,1682.47,1694.49
2016-12-07,1679.28,1682.82,1673.39,1680.37
2016-12-06,1686.90,1687.71,1669.15,1672.06
2016-12-05,1674.54,1680.16,1666.84,1672.32
2016-12-02,1698.80,1701.83,1679.65,1685.74
2016-12-01,1713.85,1726.56,1703.21,1708.12
2016-11-30,1703.59,1705.64,1697.81,1701.11
2016-11-29,1696.47,1702.00,1696.04,1700.61
2016-11-28,1690.99,1702.85,1688.38,1700.88
2016-11-25,1697.45,1703.23,1688.93,1696.75
2016-11-24,1694.15,1697.82,1690.78,1692.35
2016-11-22,1674.71,1682.46,1672.09,1680.89
2016-11-21,1669.49,1675.61,1665.81,1674.32
2016-11-18,1663.14,1664.71,1658.39,1661.31
2016-11-17,1643.89,1654.47,1642.34,1653.61
2016-11-16,1648.65,1650.84,1644.59,1650.17
2016-11-15,1641.05,1641.71,1628.45,1636.20
2016-11-14,1621.76,1641.05,1621.42,1638.46
2016-11-11,1639.86,1645.32,1609.51,1613.99
2016-11-10,1584.19,1634.53,1583.86,1631.96
2016-11-09,1629.06,1642.25,1539.48,1555.28
2016-11-08,1626.29,1626.84,1616.52,1619.38
2016-11-07,1623.64,1628.36,1614.66,1622.01
2016-11-04,1607.44,1611.79,1593.50,1606.30
2016-11-02,1631.22,1634.64,1619.49,1624.82
2016-11-01,1647.02,1651.97,1641.15,1651.57
2016-10-31,1647.35,1653.42,1641.50,1651.09
2016-10-28,1651.64,1653.35,1644.58,1652.90
2016-10-27,1642.42,1650.24,1637.58,1642.72
2016-10-26,1638.55,1647.18,1638.17,1646.92
2016-10-25,1630.95,1641.15,1630.95,1640.73
2016-10-24,1624.13,1627.38,1618.32,1625.29
2016-10-21,1631.80,1631.80,1619.90,1621.74
2016-10-20,1618.85,1631.29,1618.46,1631.29
2016-10-19,1617.31,1623.29,1616.50,1620.51
2016-10-18,1608.88,1617.04,1606.93,1616.89
2016-10-17,1600.14,1609.20,1595.81,1608.81
2016-10-14,1596.22,1602.80,1594.07,1601.42
2016-10-13,1603.30,1609.10,1592.10,1599.71
2016-10-12,1596.34,1608.81,1596.34,1597.26
2016-10-11,1606.97,1615.48,1606.40,1609.61
2016-10-07,1604.43,1605.41,1599.07,1603.12
2016-10-06,1609.89,1614.65,1607.07,1608.03
2016-10-05,1600.77,1606.59,1598.28,1603.59
2016-10-04,1589.79,1597.45,1589.51,1596.87
2016-10-03,1581.27,1592.22,1581.27,1588.55
2016-09-30,1567.86,1578.33,1562.62,1571.60
2016-09-29,1589.30,1596.90,1586.62,1592.21
2016-09-28,1580.81,1585.48,1573.64,1581.95
2016-09-27,1560.48,1594.11,1556.15,1594.11
2016-09-26,1585.03,1585.03,1572.36,1575.16
2016-09-23,1578.55,1589.09,1576.82,1588.61
2016-09-21,1552.25,1584.42,1544.81,1584.19
2016-09-20,1541.89,1560.71,1541.16,1554.04
2016-09-16,1538.96,1551.10,1537.28,1550.90
2016-09-15,1538.27,1541.00,1530.09,1535.61
2016-09-14,1546.14,1551.90,1543.10,1545.03
2016-09-13,1555.23,1558.68,1548.48,1555.03
2016-09-12,1550.78,1555.67,1541.50,1548.05
2016-09-09,1577.58,1577.93,1567.53,1571.72
2016-09-08,1572.44,1577.71,1565.49,1575.83
2016-09-07,1564.31,1576.83,1564.02,1576.18
2016-09-06,1558.16,1575.02,1558.16,1574.06
2016-09-05,1573.34,1573.34,1556.78,1557.94
2016-09-02,1555.44,1560.22,1550.55,1555.81
2016-09-01,1549.80,1556.25,1546.26,1556.25
2016-08-31,1545.07,1550.38,1539.15,1548.95
2016-08-30,1534.60,1537.64,1531.52,1536.17
2016-08-29,1540.91,1546.30,1536.94,1538.97
2016-08-26,1531.16,1531.74,1518.74,1518.74
2016-08-25,1543.65,1544.87,1537.88,1540.61
2016-08-24,1543.26,1545.91,1535.70,1541.75
