日付,時刻,始値,高値,安値,終値
2009-12-30,後場,1175.85,1176.87,1175.26,1176.87
2009-12-30,前場,1177.13,1177.54,1174.68,1176.36
2009-12-29,後場,1175.67,1176.69,1174.65,1176.48
2009-12-29,前場,1176.75,1177.00,1175.25,1175.69
2009-12-28,後場,1172.31,1175.57,1172.13,1175.53
2009-12-28,前場,1168.84,1173.02,1168.84,1172.28
2009-12-25,後場,1167.69,1169.21,1166.51,1168.96
2009-12-25,前場,1168.03,1169.35,1167.84,1168.05
2009-12-24,後場,1164.16,1167.60,1164.14,1167.57
2009-12-24,前場,1162.01,1164.59,1162.01,1164.29
2009-12-22,後場,1157.84,1160.61,1157.84,1160.42
2009-12-22,前場,1155.65,1157.85,1155.32,1157.83
2009-12-21,後場,1155.81,1156.08,1154.55,1155.06
2009-12-21,前場,1156.01,1156.67,1155.18,1156.06
2009-12-18,後場,1152.95,1156.41,1152.71,1156.12
2009-12-18,前場,1155.17,1155.28,1152.40,1152.49
2009-12-17,後場,1153.45,1155.84,1152.74,1155.41
2009-12-17,前場,1154.04,1154.37,1153.23,1153.40
2009-12-16,後場,1152.69,1154.22,1151.72,1154.09
2009-12-16,前場,1154.74,1155.89,1152.56,1152.72
2009-12-15,後場,1151.42,1154.38,1151.41,1154.20
2009-12-15,前場,1150.44,1152.28,1150.23,1151.41
2009-12-14,後場,1146.64,1149.47,1146.23,1149.47
2009-12-14,前場,1146.07,1148.24,1146.07,1146.95
2009-12-11,後場,1138.98,1143.44,1138.53,1143.44
2009-12-11,前場,1140.67,1141.44,1138.72,1138.88
2009-12-10,後場,1141.99,1141.99,1138.63,1139.92
2009-12-10,前場,1141.86,1143.69,1141.58,1142.26
2009-12-09,後場,1138.12,1141.17,1138.00,1140.48
2009-12-09,前場,1141.71,1141.71,1138.13,1138.17
2009-12-08,後場,1142.99,1144.06,1142.23,1143.73
2009-12-08,前場,1146.02,1146.07,1143.50,1143.50
2009-12-07,後場,1145.24,1145.34,1143.00,1145.23
2009-12-07,前場,1143.82,1148.87,1143.82,1146.93
2009-12-04,後場,1139.15,1139.87,1138.36,1139.87
2009-12-04,前場,1137.50,1139.28,1137.43,1139.20
2009-12-03,後場,1133.71,1137.03,1133.71,1136.99
