日付,始値,高値,安値,終値
2013-12-30,2022.63,2053.37,2022.63,2053.35
2013-12-27,2000.89,2013.42,1998.09,2013.29
2013-12-26,1955.51,1992.35,1955.51,1992.25
2013-12-25,1936.29,1949.09,1936.09,1947.38
2013-12-24,1947.34,1951.24,1938.31,1938.84
2013-12-20,1951.42,1953.73,1944.67,1946.77
2013-12-19,1962.04,1966.71,1952.19,1952.78
2013-12-18,1957.52,1957.52,1954.64,1956.47
2013-12-17,1961.53,1965.18,1958.57,1958.94
2013-12-16,1988.50,1991.42,1959.07,1959.15
2013-12-13,1989.80,1993.86,1986.18,1988.18
2013-12-12,1992.79,1992.79,1985.73,1988.85
2013-12-11,1997.63,2000.88,1990.83,1996.43
2013-12-10,2000.67,2002.37,1997.26,2000.32
2013-12-09,1987.75,1997.23,1987.75,1997.23
2013-12-06,1982.91,1984.62,1973.76,1981.08
2013-12-05,1987.14,1994.58,1981.25,1984.56
2013-12-04,1987.37,1987.76,1977.15,1987.05
2013-12-03,1998.44,1999.95,1996.30,1997.05
2013-12-02,1981.25,1994.55,1981.25,1994.55
2013-11-29,1970.22,1975.50,1969.80,1975.20
2013-11-28,1970.05,1972.50,1966.54,1970.49
2013-11-27,1971.12,1973.89,1966.15,1966.53
2013-11-26,1962.71,1971.15,1959.93,1971.15
2013-11-25,1964.26,1966.62,1962.69,1963.26
2013-11-22,1964.69,1968.15,1955.50,1959.53
2013-11-21,1957.18,1964.25,1957.14,1961.75
2013-11-20,1956.58,1959.38,1953.50,1957.49
2013-11-19,1958.43,1959.64,1951.37,1955.66
2013-11-18,1952.96,1958.15,1951.28,1955.74
2013-11-15,1936.78,1945.32,1936.78,1945.19
2013-11-14,1928.61,1936.95,1927.86,1933.10
2013-11-13,1921.05,1927.52,1920.21,1927.30
2013-11-12,1910.79,1924.30,1909.87,1922.00
2013-11-11,1931.42,1931.68,1913.08,1914.05
2013-11-08,1932.93,1933.84,1921.51,1928.85
2013-11-07,1931.88,1943.79,1931.83,1938.75
2013-11-06,1922.02,1931.84,1921.23,1929.50
2013-11-05,1919.29,1924.92,1917.49,1924.44
2013-11-01,1930.64,1933.45,1905.92,1915.87
2013-10-31,1939.27,1943.74,1930.70,1931.74
2013-10-30,1960.97,1961.16,1938.77,1939.26
2013-10-29,1965.53,1965.73,1960.11,1961.23
2013-10-28,1970.21,1973.24,1964.51,1967.25
2013-10-25,1966.04,1970.13,1960.19,1963.56
2013-10-24,1947.39,1963.73,1947.11,1963.73
2013-10-23,1957.88,1964.30,1948.46,1951.70
2013-10-22,1952.02,1955.67,1950.64,1955.24
2013-10-21,1936.06,1949.41,1936.06,1948.53
2013-10-18,1919.12,1929.62,1918.84,1928.94
2013-10-17,1909.74,1918.80,1909.74,1914.80
2013-10-16,1904.73,1907.77,1902.22,1902.22
2013-10-15,1906.12,1912.99,1905.72,1906.89
2013-10-11,1890.65,1900.94,1890.49,1900.29
2013-10-10,1880.08,1883.20,1878.92,1880.28
2013-10-09,1857.38,1874.95,1853.33,1874.28
2013-10-08,1852.16,1862.96,1841.11,1861.62
2013-10-07,1886.82,1888.46,1862.39,1862.81
2013-10-04,1889.10,1889.65,1877.36,1884.96
2013-10-03,1887.73,1897.50,1887.66,1894.74
2013-10-02,1905.36,1908.58,1886.25,1889.90
2013-10-01,1906.52,1914.32,1900.38,1901.10
2013-09-30,1895.98,1904.30,1893.78,1903.41
