日付,時刻,始値,高値,安値,終値
2011-12-30,後場,8429.65,8455.35,8421.35,8455.35
2011-12-30,前場,8434.90,8440.67,8415.56,8425.76
2011-12-29,後場,8378.82,8404.89,8361.00,8398.89
2011-12-29,前場,8367.71,8372.02,8330.87,8362.33
2011-12-28,後場,8447.40,8447.40,8414.90,8423.62
2011-12-28,前場,8426.09,8456.66,8426.09,8436.24
2011-12-27,後場,8448.95,8453.58,8436.97,8440.56
2011-12-27,前場,8443.00,8458.26,8428.53,8440.81
2011-12-26,後場,8502.54,8504.44,8477.37,8479.34
2011-12-26,前場,8504.46,8516.53,8489.66,8489.66
2011-12-22,後場,8417.05,8417.21,8383.96,8395.16
2011-12-22,前場,8429.54,8436.59,8407.41,8407.41
2011-12-21,後場,8452.09,8459.98,8440.94,8459.98
2011-12-21,前場,8442.74,8471.11,8440.89,8453.26
2011-12-20,後場,8344.43,8349.71,8333.07,8336.48
2011-12-20,前場,8318.03,8354.90,8317.73,8350.12
2011-12-19,後場,8288.21,8334.48,8272.26,8296.12
2011-12-19,前場,8363.39,8364.93,8326.67,8331.00
2011-12-16,後場,8410.29,8428.71,8390.98,8401.72
2011-12-16,前場,8416.21,8433.18,8396.16,8409.08
2011-12-15,後場,8426.92,8445.53,8374.25,8377.37
2011-12-15,前場,8449.05,8455.32,8401.17,8406.99
2011-12-14,後場,8508.93,8534.97,8486.37,8519.13
2011-12-14,前場,8513.77,8540.57,8492.65,8505.26
2011-12-13,後場,8538.78,8594.32,8538.57,8552.81
2011-12-13,前場,8535.52,8544.45,8518.80,8529.14
2011-12-12,後場,8653.63,8682.47,8651.21,8653.82
2011-12-12,前場,8652.98,8679.99,8633.35,8651.04
2011-12-09,後場,8517.29,8576.68,8512.61,8536.46
2011-12-09,前場,8521.33,8544.26,8503.03,8541.69
2011-12-08,後場,8647.58,8688.81,8643.93,8664.58
2011-12-08,前場,8664.35,8669.16,8625.19,8629.15
2011-12-07,後場,8643.28,8729.81,8636.21,8722.17
2011-12-07,前場,8629.19,8652.87,8614.21,8644.28
2011-12-06,後場,8616.10,8616.22,8571.09,8575.16
2011-12-06,前場,8644.97,8671.54,8626.78,8628.78
2011-12-05,後場,8682.70,8700.32,8675.41,8695.98
2011-12-05,前場,8697.78,8704.48,8668.04,8680.78
2011-12-02,後場,8611.20,8643.75,8591.93,8643.75
2011-12-02,前場,8603.23,8643.13,8601.10,8613.28
2011-12-01,後場,8612.39,8653.88,8581.29,8597.38
2011-12-01,前場,8581.20,8652.38,8577.09,8612.00
2011-11-30,後場,8372.38,8435.34,8361.69,8434.61
2011-11-30,前場,8407.63,8416.78,8393.67,8406.56
2011-11-29,後場,8369.44,8477.82,8368.67,8477.82
2011-11-29,前場,8371.01,8384.36,8351.38,8354.92
2011-11-28,後場,8277.72,8306.62,8276.24,8287.49
2011-11-28,前場,8269.91,8322.01,8259.71,8304.36
2011-11-25,後場,8152.34,8199.67,8137.29,8160.01
2011-11-25,前場,8138.19,8182.49,8135.79,8173.31
2011-11-24,後場,8208.48,8212.06,8157.39,8165.18
2011-11-24,前場,8189.42,8212.95,8159.04,8199.69
2011-11-22,後場,8323.93,8339.89,8267.96,8314.74
2011-11-22,前場,8263.86,8350.35,8261.01,8337.52
2011-11-21,後場,8360.96,8368.75,8345.23,8348.27
2011-11-21,前場,8349.05,8375.60,8343.93,8365.04
2011-11-18,後場,8364.53,8398.80,8362.57,8374.91
2011-11-18,前場,8374.16,8393.68,8359.60,8367.24
2011-11-17,後場,8447.78,8491.82,8442.30,8479.63
2011-11-17,前場,8421.88,8454.91,8400.22,8436.49
2011-11-16,後場,8492.17,8493.01,8459.30,8463.16
2011-11-16,前場,8546.75,8567.64,8527.08,8529.98
2011-11-15,後場,8566.80,8568.71,8527.63,8541.93
2011-11-15,前場,8546.99,8584.30,8539.88,8567.42
2011-11-14,後場,8625.71,8625.71,8595.43,8603.70
2011-11-14,前場,8631.28,8655.31,8615.31,8617.27
2011-11-11,後場,8549.62,8559.37,8511.88,8514.47
2011-11-11,前場,8545.92,8566.49,8485.77,8487.50
2011-11-10,後場,8514.29,8534.75,8500.67,8500.80
2011-11-10,前場,8597.28,8600.21,8519.02,8549.94
2011-11-09,後場,8724.20,8762.98,8678.78,8755.44
2011-11-09,前場,8724.60,8752.18,8719.57,8736.45
2011-11-08,後場,8751.37,8756.84,8644.00,8655.51
2011-11-08,前場,8744.36,8772.04,8727.38,8751.86
2011-11-07,後場,8758.86,8779.55,8752.85,8767.09
2011-11-07,前場,8771.82,8777.95,8741.25,8752.64
2011-11-04,後場,8747.50,8814.71,8729.08,8801.40
2011-11-04,前場,8761.27,8784.50,8729.76,8750.76
2011-11-02,後場,8691.65,8700.88,8640.42,8640.42
2011-11-02,前場,8719.92,8719.92,8641.77,8665.20
2011-11-01,後場,8903.50,8908.57,8831.69,8835.52
2011-11-01,前場,8880.75,8946.00,8873.43,8920.86
2011-10-31,後場,9071.19,9076.14,8988.39,8988.39
2011-10-31,前場,9011.18,9152.39,8998.99,9096.27
2011-10-28,後場,9019.71,9050.47,9003.09,9050.47
2011-10-28,前場,9059.04,9086.43,9037.45,9048.35
2011-10-27,後場,8848.88,8926.54,8842.83,8926.54
2011-10-27,前場,8779.40,8799.42,8731.77,8795.28
2011-10-26,後場,8723.29,8798.80,8717.03,8748.47
2011-10-26,前場,8673.85,8710.50,8642.56,8705.82
2011-10-25,後場,8809.00,8814.07,8755.38,8762.31
2011-10-25,前場,8866.43,8870.37,8800.70,8820.29
2011-10-24,後場,8814.02,8844.28,8809.41,8843.98
2011-10-24,前場,8764.92,8817.87,8762.02,8798.81
2011-10-21,後場,8680.79,8684.97,8652.26,8678.89
2011-10-21,前場,8679.04,8700.49,8669.76,8675.60
2011-10-20,後場,8681.56,8701.28,8672.21,8682.15
2011-10-20,前場,8733.60,8733.60,8688.38,8692.57
2011-10-19,後場,8786.55,8796.74,8745.36,8772.54
2011-10-19,前場,8808.25,8831.55,8782.61,8789.83
2011-10-18,後場,8739.63,8763.92,8728.30,8741.91
2011-10-18,前場,8758.74,8773.99,8727.39,8742.57
2011-10-17,後場,8875.63,8906.53,8869.14,8879.60
2011-10-17,前場,8881.44,8911.70,8856.58,8881.42
2011-10-14,後場,8755.16,8765.12,8737.06,8747.96
2011-10-14,前場,8782.91,8787.89,8733.71,8759.57
2011-10-13,後場,8847.25,8854.16,8808.73,8823.25
2011-10-13,前場,8832.81,8845.58,8819.85,8839.13
2011-10-12,後場,8730.43,8763.02,8729.49,8738.90
2011-10-12,前場,8719.67,8733.37,8689.38,8715.10
2011-10-11,後場,8771.95,8795.79,8756.76,8773.68
2011-10-11,前場,8733.54,8806.44,8725.62,8776.16
2011-10-07,後場,8633.37,8663.57,8592.17,8605.62
2011-10-07,前場,8593.22,8646.77,8589.36,8618.96
