日付,時刻,始値,高値,安値,終値
2017-12-12,後場,359.05,359.05,357.72,358.54
2017-12-12,前場,358.42,359.55,358.19,359.18
2017-12-11,後場,356.27,358.26,356.24,358.26
2017-12-11,前場,357.47,357.50,355.80,355.99
2017-12-08,後場,355.58,356.32,354.95,356.27
2017-12-08,前場,352.33,355.87,352.33,355.77
2017-12-07,後場,352.36,353.03,351.82,352.82
2017-12-07,前場,350.82,352.87,350.82,352.69
2017-12-06,後場,350.21,350.46,348.07,348.94
2017-12-06,前場,353.00,353.15,351.70,351.90
2017-12-05,後場,353.74,354.96,353.69,354.20
2017-12-05,前場,352.27,353.24,351.77,353.18
2017-12-04,後場,355.18,355.27,353.27,353.52
2017-12-04,前場,356.31,356.50,354.51,354.95
2017-12-01,後場,354.80,356.14,354.16,355.34
2017-12-01,前場,356.89,357.60,353.40,354.01
2017-11-30,後場,352.76,354.99,352.45,354.20
2017-11-30,前場,353.03,353.44,351.57,352.55
2017-11-29,後場,351.82,352.52,351.70,352.50
2017-11-29,前場,352.00,352.44,351.46,352.19
2017-11-28,後場,350.05,350.05,348.81,349.54
2017-11-28,前場,350.01,351.29,348.51,350.63
2017-11-27,後場,350.59,350.76,349.52,350.14
2017-11-27,前場,352.29,352.44,350.10,350.61
2017-11-24,後場,349.86,351.13,349.52,350.87
2017-11-24,前場,348.69,349.53,348.32,349.51
2017-11-22,後場,351.39,351.63,350.07,350.33
2017-11-22,前場,351.46,352.17,350.66,351.25
2017-11-21,後場,350.01,350.78,349.25,349.25
2017-11-21,前場,349.56,350.99,349.03,350.17
2017-11-20,後場,346.84,347.65,346.39,347.05
2017-11-20,前場,346.80,348.30,346.38,346.79
2017-11-17,後場,349.24,349.84,347.33,348.33
2017-11-17,前場,351.40,352.44,348.28,348.36
2017-11-16,後場,346.33,349.59,345.73,348.20
2017-11-16,前場,343.89,346.71,343.82,346.67
2017-11-15,後場,346.98,347.18,344.25,344.85
2017-11-15,前場,349.33,349.33,346.31,346.78
2017-11-14,後場,352.17,352.96,351.25,351.48
2017-11-14,前場,351.64,352.77,350.62,351.79
2017-11-13,後場,353.80,354.25,352.03,352.03
2017-11-13,前場,354.90,355.09,353.29,353.86
2017-11-10,後場,354.79,356.20,354.42,355.50
2017-11-10,前場,353.87,355.98,353.32,354.06
2017-11-09,後場,362.90,364.19,353.83,358.20
2017-11-09,前場,360.20,364.66,360.01,364.51
2017-11-08,後場,357.79,359.29,357.74,359.25
2017-11-08,前場,357.62,358.23,356.71,357.94
2017-11-07,後場,356.42,358.54,356.40,358.49
2017-11-07,前場,353.75,357.09,353.48,356.22
2017-11-06,後場,353.78,354.41,352.25,354.07
2017-11-06,前場,355.06,355.36,353.60,353.79
2017-11-02,後場,353.89,354.27,353.30,354.25
2017-11-02,前場,354.08,354.19,352.19,353.67
2017-11-01,後場,352.14,353.15,351.29,352.62
2017-11-01,前場,350.21,352.61,350.02,352.09
2017-10-31,後場,348.39,348.67,347.77,348.18
2017-10-31,前場,347.72,347.99,346.73,347.68
2017-10-30,後場,349.41,349.58,348.73,349.47
2017-10-30,前場,349.48,349.98,347.77,348.90
2017-10-27,後場,349.00,349.73,348.92,349.60
2017-10-27,前場,348.13,349.18,347.02,348.79
2017-10-26,後場,345.59,346.31,345.47,345.95
2017-10-26,前場,345.20,346.10,344.91,345.67
2017-10-25,後場,347.36,347.37,344.58,345.53
2017-10-25,前場,348.19,348.29,346.32,347.04
2017-10-24,後場,345.84,346.81,345.33,346.81
2017-10-24,前場,344.36,346.03,344.17,345.85
2017-10-23,後場,344.44,345.04,344.43,344.57
2017-10-23,前場,345.29,345.35,343.87,344.40
2017-10-20,後場,341.78,341.87,341.34,341.87
2017-10-20,前場,340.63,342.21,340.41,341.73
2017-10-19,後場,342.16,342.25,340.89,341.74
2017-10-19,前場,341.78,342.46,341.29,342.44
2017-10-18,後場,340.36,340.90,339.90,340.51
2017-10-18,前場,340.33,340.69,339.59,340.30
2017-10-17,後場,338.91,340.00,338.87,339.86
2017-10-17,前場,340.49,341.06,338.58,339.04
2017-10-16,後場,339.73,339.86,338.85,338.85
2017-10-16,前場,337.65,339.96,337.31,339.80
2017-10-13,後場,335.49,337.80,335.48,336.73
2017-10-13,前場,334.55,335.32,333.99,334.88
2017-10-12,後場,335.52,335.58,334.82,335.00
2017-10-12,前場,335.55,335.78,334.76,335.42
2017-10-11,後場,334.14,334.44,334.02,334.29
2017-10-11,前場,333.43,334.39,333.07,334.16
2017-10-10,後場,333.01,333.73,332.73,333.73
2017-10-10,前場,331.88,332.98,331.66,332.93
2017-10-06,後場,332.09,332.40,331.85,332.35
2017-10-06,前場,332.38,332.86,331.95,332.17
2017-10-05,後場,331.16,331.30,330.74,331.13
2017-10-05,前場,331.51,331.81,330.86,331.18
2017-10-04,後場,331.84,332.05,330.59,331.18
2017-10-04,前場,331.63,331.93,330.76,331.93
2017-10-03,後場,330.56,331.08,330.11,330.93
2017-10-03,前場,329.88,330.79,329.23,330.25
2017-10-02,後場,328.38,328.65,328.14,328.65
2017-10-02,前場,329.46,329.57,328.28,328.35
2017-09-29,後場,328.37,329.18,328.30,329.08
2017-09-29,前場,328.74,329.12,327.90,328.37
2017-09-28,後場,328.46,329.84,328.34,329.62
2017-09-28,前場,329.85,329.88,328.19,328.63
2017-09-27,後場,327.75,327.87,327.34,327.71
2017-09-27,前場,327.66,327.74,326.74,327.61
2017-09-26,後場,329.76,329.80,328.89,329.48
2017-09-26,前場,329.06,329.88,328.98,329.80
2017-09-25,後場,329.29,329.69,329.04,329.48
2017-09-25,前場,329.96,330.26,329.09,329.70
2017-09-22,後場,327.72,328.24,327.19,327.98
2017-09-22,前場,329.18,329.69,327.37,327.89
2017-09-21,後場,330.44,330.48,328.48,328.48
2017-09-21,前場,330.33,330.76,329.89,330.76
2017-09-20,後場,328.69,328.78,327.76,328.16
2017-09-20,前場,327.67,328.33,327.47,328.18
2017-09-19,後場,326.50,328.33,326.45,328.05
2017-09-19,前場,325.50,326.67,325.32,326.56
2017-09-15,後場,321.37,322.62,321.36,322.03
2017-09-15,前場,320.15,321.86,320.13,321.16
2017-09-14,後場,321.56,321.60,320.51,320.69
2017-09-14,前場,321.62,322.65,321.34,321.96
2017-09-13,後場,321.83,322.12,321.63,321.66
2017-09-13,前場,321.63,321.76,321.22,321.75
2017-09-12,後場,319.93,320.48,319.70,319.94
2017-09-12,前場,319.70,320.11,319.36,319.67
2017-09-11,後場,317.54,317.86,316.70,316.95
2017-09-11,前場,316.09,317.98,315.87,317.49
2017-09-08,後場,314.05,314.21,312.73,313.33
2017-09-08,前場,313.54,314.39,313.44,314.11
2017-09-07,後場,315.14,315.26,313.94,314.39
2017-09-07,前場,314.81,315.94,314.65,315.07
2017-09-06,後場,312.59,313.89,312.59,313.57
2017-09-06,前場,311.78,312.92,311.55,312.86
2017-09-05,後場,313.94,314.19,313.17,313.54
2017-09-05,前場,315.90,315.94,313.80,314.27
2017-09-04,後場,315.71,315.87,315.18,315.53
2017-09-04,前場,317.30,317.71,315.13,315.78
2017-09-01,後場,318.08,318.83,317.16,318.45
2017-09-01,前場,319.47,319.47,317.96,318.38
2017-08-31,後場,318.03,318.82,317.98,318.18
2017-08-31,前場,317.42,318.29,317.25,318.02
2017-08-30,後場,315.69,316.87,315.50,316.04
2017-08-30,前場,315.67,316.07,314.80,315.58
2017-08-29,後場,313.73,314.20,313.55,314.00
2017-08-29,前場,312.71,313.92,312.51,313.72
2017-08-28,後場,314.37,314.97,314.05,314.75
2017-08-28,前場,314.97,315.53,313.90,314.11
2017-08-25,後場,314.57,315.04,314.26,314.27
2017-08-25,前場,313.95,314.54,313.57,314.45
2017-08-24,後場,314.65,314.65,313.33,313.33
2017-08-24,前場,314.18,315.16,314.18,314.63
2017-08-23,後場,315.39,315.64,314.79,315.09
2017-08-23,前場,317.17,317.21,315.78,315.81
2017-08-22,後場,314.83,314.90,314.09,314.41
2017-08-22,前場,314.31,315.36,314.04,314.70
2017-08-21,後場,314.54,314.93,314.24,314.56
2017-08-21,前場,315.81,315.81,314.09,314.35
2017-08-18,後場,315.55,315.74,314.60,315.15
2017-08-18,前場,314.94,315.83,314.19,315.33
2017-08-17,後場,319.26,319.45,318.70,318.72
2017-08-17,前場,318.86,319.32,318.45,319.02
2017-08-16,後場,319.44,319.80,319.17,319.17
2017-08-16,前場,319.23,319.86,318.86,319.43
2017-08-15,後場,319.91,320.27,319.22,319.22
2017-08-15,前場,318.24,320.41,317.81,319.85
2017-08-14,後場,316.69,317.28,315.60,315.75
2017-08-14,前場,316.21,316.78,315.20,316.67
2017-08-10,後場,318.61,319.18,318.24,319.04
2017-08-10,前場,319.83,320.48,318.65,318.91
2017-08-09,後場,318.89,319.67,318.12,319.48
2017-08-09,前場,322.01,322.40,318.58,318.93
2017-08-08,後場,322.79,323.17,322.43,323.03
2017-08-08,前場,324.07,324.26,322.37,322.79
2017-08-07,後場,324.20,324.29,323.69,323.82
2017-08-07,前場,323.98,324.53,323.55,324.26
2017-08-04,後場,322.24,322.60,322.10,322.17
2017-08-04,前場,321.91,322.31,321.49,322.10
2017-08-03,後場,322.42,322.93,322.24,322.93
2017-08-03,前場,323.00,323.28,321.84,322.14
2017-08-02,後場,323.03,323.48,322.94,322.98
2017-08-02,前場,323.49,324.12,322.22,322.85
2017-08-01,後場,321.68,322.30,321.52,322.16
2017-08-01,前場,319.96,322.17,319.89,321.54
2017-07-31,後場,320.48,321.14,319.95,319.95
2017-07-31,前場,319.88,320.82,319.48,320.48
2017-07-28,後場,320.97,321.05,319.75,320.34
2017-07-28,前場,320.86,321.03,320.09,320.91
2017-07-27,後場,321.50,323.39,321.23,321.63
2017-07-27,前場,320.31,321.91,320.11,321.69
2017-07-26,後場,320.59,320.79,319.81,320.47
2017-07-26,前場,321.72,321.82,320.46,320.46
2017-07-25,後場,319.90,320.12,319.50,319.50
2017-07-25,前場,320.25,321.08,319.53,319.65
2017-07-24,後場,319.62,320.95,319.38,320.34
2017-07-24,前場,320.13,320.13,318.98,319.60
2017-07-21,後場,322.27,322.65,322.18,322.42
2017-07-21,前場,322.59,322.90,322.13,322.22
2017-07-20,後場,323.57,323.88,323.29,323.45
2017-07-20,前場,321.65,323.35,321.33,323.10
2017-07-19,後場,321.48,321.57,320.80,321.29
2017-07-19,前場,320.35,321.69,320.01,321.56
2017-07-18,後場,320.15,321.25,320.06,321.04
2017-07-18,前場,321.40,321.48,319.32,320.38
2017-07-14,後場,322.64,322.87,322.24,322.24
2017-07-14,前場,322.22,322.68,321.64,322.68
2017-07-13,後場,321.57,321.58,320.58,321.16
2017-07-13,前場,322.45,322.60,321.24,321.74
2017-07-12,後場,321.60,321.64,320.66,321.24
2017-07-12,前場,321.82,322.01,321.29,321.70
2017-07-11,後場,321.84,322.90,321.74,322.78
2017-07-11,前場,320.55,321.82,320.44,321.82
2017-07-10,後場,320.39,321.42,319.89,320.56
2017-07-10,前場,320.89,320.89,319.73,320.36
2017-07-07,後場,319.60,319.71,318.70,319.03
2017-07-07,前場,318.45,320.40,318.43,320.13
2017-07-06,後場,320.70,320.94,319.92,320.66
2017-07-06,前場,321.27,321.46,320.47,321.06
2017-07-05,後場,319.41,321.58,319.41,321.57
2017-07-05,前場,319.82,320.17,318.46,319.01
2017-07-04,後場,321.43,321.51,319.04,319.95
2017-07-04,前場,322.70,322.81,321.07,321.47
2017-07-03,後場,320.59,321.04,320.17,320.50
2017-07-03,前場,320.31,320.68,319.80,320.42
2017-06-30,後場,319.50,320.04,318.86,320.04
2017-06-30,前場,319.80,320.26,318.76,319.62
2017-06-29,後場,322.89,323.17,322.14,322.52
2017-06-29,前場,323.22,323.39,322.04,322.82
2017-06-28,後場,321.49,321.61,320.55,320.86
2017-06-28,前場,320.85,322.37,320.81,321.63
2017-06-27,後場,321.48,321.71,321.15,321.42
2017-06-27,前場,321.35,321.67,320.83,321.40
2017-06-26,後場,320.35,320.39,320.04,320.05
2017-06-26,前場,320.15,320.89,319.81,320.29
2017-06-23,後場,320.00,320.42,319.89,320.10
2017-06-23,前場,320.11,320.13,319.24,319.54
2017-06-22,後場,320.18,320.97,319.71,319.71
2017-06-22,前場,320.24,320.43,319.76,319.91
2017-06-21,後場,320.15,320.56,319.55,320.00
2017-06-21,前場,320.69,320.98,319.34,320.55
2017-06-20,後場,322.19,322.54,321.02,321.02
2017-06-20,前場,321.67,322.77,321.50,322.11
2017-06-19,後場,319.09,319.42,318.70,319.08
2017-06-19,前場,317.49,319.30,317.23,319.08
2017-06-16,後場,318.23,318.57,316.40,317.24
2017-06-16,前場,316.92,317.83,316.48,317.30
2017-06-15,後場,314.89,316.17,314.61,315.50
2017-06-15,前場,315.08,317.49,314.21,314.86
2017-06-14,後場,316.67,317.15,316.15,316.15
2017-06-14,前場,317.58,317.80,316.19,316.53
2017-06-13,後場,316.93,317.14,316.53,316.56
2017-06-13,前場,315.84,317.25,315.70,316.71
2017-06-12,後場,316.43,316.69,315.94,316.21
2017-06-12,前場,315.45,317.00,315.21,316.91
2017-06-09,後場,316.63,316.64,315.28,316.02
2017-06-09,前場,315.50,317.29,314.74,316.70
2017-06-08,後場,317.04,317.45,315.33,315.53
2017-06-08,前場,317.99,318.08,316.73,317.03
2017-06-07,後場,316.44,317.54,316.35,316.99
2017-06-07,前場,316.48,316.99,316.02,316.08
2017-06-06,後場,318.05,318.53,316.79,317.13
2017-06-06,前場,319.00,319.55,317.55,317.80
2017-06-05,後場,319.89,320.35,319.57,319.75
2017-06-05,前場,319.18,319.99,318.39,319.95
2017-06-02,後場,319.69,320.69,319.69,320.39
2017-06-02,前場,316.82,319.26,316.76,319.20
2017-06-01,後場,314.91,315.59,314.66,315.25
2017-06-01,前場,312.31,315.08,312.26,314.92
2017-05-31,後場,311.89,312.03,311.25,311.96
2017-05-31,前場,311.94,312.45,311.60,312.07
2017-05-30,後場,311.55,313.05,311.55,312.94
2017-05-30,前場,312.52,312.63,311.13,311.15
2017-05-29,後場,313.21,313.41,312.59,312.59
2017-05-29,前場,312.58,313.56,311.91,313.26
2017-05-26,後場,313.13,313.31,312.43,312.43
2017-05-26,前場,313.86,314.00,313.07,313.38
2017-05-25,後場,314.58,314.60,314.02,314.10
2017-05-25,前場,313.15,314.84,312.82,314.74
2017-05-24,後場,313.03,313.54,312.81,313.44
2017-05-24,前場,314.06,314.12,312.64,313.01
2017-05-23,後場,312.21,312.52,311.21,311.59
2017-05-23,前場,311.84,312.62,311.76,312.11
2017-05-22,後場,311.86,312.41,311.72,312.16
2017-05-22,前場,311.83,312.58,311.15,311.67
2017-05-19,後場,309.48,311.13,309.36,310.60
2017-05-19,前場,310.32,310.43,308.71,309.47
2017-05-18,後場,309.03,309.75,308.77,309.64
2017-05-18,前場,309.55,310.39,308.19,309.39
2017-05-17,後場,313.38,313.83,313.27,313.77
2017-05-17,前場,313.85,314.16,313.10,313.88
2017-05-16,後場,315.10,315.42,314.73,315.42
2017-05-16,前場,316.11,316.86,314.70,314.82
2017-05-15,後場,313.95,314.54,313.75,314.54
2017-05-15,前場,312.95,314.27,312.92,313.95
2017-05-12,後場,313.78,314.77,313.58,314.77
2017-05-12,前場,315.30,315.65,313.51,313.70
2017-05-11,後場,315.10,316.17,314.94,315.81
2017-05-11,前場,315.76,315.83,314.63,315.14
2017-05-10,後場,315.01,315.68,314.76,315.29
2017-05-10,前場,315.26,315.95,314.88,315.42
2017-05-09,後場,314.76,315.12,314.32,314.65
2017-05-09,前場,315.71,315.73,314.57,315.08
2017-05-08,後場,314.44,315.88,314.39,315.56
2017-05-08,前場,312.50,314.55,312.41,314.32
2017-05-02,後場,308.69,308.88,308.17,308.64
2017-05-02,前場,307.08,309.12,307.08,308.80
2017-05-01,後場,305.72,306.62,305.72,306.56
2017-05-01,前場,304.93,306.04,304.72,305.84
2017-04-28,後場,305.65,305.68,304.66,305.21
2017-04-28,前場,306.03,306.65,305.39,305.58
2017-04-27,後場,306.19,306.55,305.69,306.13
2017-04-27,前場,305.64,306.26,305.34,306.13
2017-04-26,後場,305.72,306.79,305.41,306.79
2017-04-26,前場,305.07,305.87,304.76,305.86
2017-04-25,後場,302.87,303.69,302.28,303.22
2017-04-25,前場,299.99,302.79,299.99,302.73
2017-04-24,後場,300.28,300.72,299.72,300.17
2017-04-24,前場,300.97,301.19,299.88,300.40
2017-04-21,後場,296.64,297.72,296.34,297.14
2017-04-21,前場,296.76,297.15,296.11,296.99
2017-04-20,後場,295.21,295.55,294.03,294.09
2017-04-20,前場,294.18,295.70,293.92,295.19
2017-04-19,後場,293.95,294.72,293.78,294.00
2017-04-19,前場,292.71,294.37,292.71,294.03
2017-04-18,後場,294.26,294.47,293.59,294.13
2017-04-18,前場,295.41,295.95,293.92,294.17
2017-04-17,後場,292.06,293.20,292.06,293.14
2017-04-17,前場,290.79,291.98,290.58,291.84
2017-04-14,後場,292.00,292.55,291.29,291.93
2017-04-14,前場,292.92,293.11,291.58,292.21
2017-04-13,後場,292.57,294.07,292.26,293.49
2017-04-13,前場,293.36,293.57,291.80,292.42
2017-04-12,後場,295.19,295.93,295.04,295.93
2017-04-12,前場,296.35,296.55,294.35,295.22
2017-04-11,後場,297.50,298.79,297.41,298.75
2017-04-11,前場,298.18,298.94,297.64,297.95
2017-04-10,後場,299.49,300.05,298.96,299.52
2017-04-10,前場,299.73,300.43,298.96,299.26
2017-04-07,後場,297.04,299.20,296.88,297.58
2017-04-07,前場,297.66,299.20,295.39,296.46
2017-04-06,後場,296.16,296.36,294.99,295.73
2017-04-06,前場,298.64,299.30,296.07,296.10
2017-04-05,後場,299.70,300.57,298.99,300.31
2017-04-05,前場,301.42,301.97,299.87,300.39
2017-04-04,後場,300.80,301.09,298.51,300.20
2017-04-04,前場,301.74,301.92,300.21,301.33
2017-04-03,後場,302.24,303.70,301.44,302.40
2017-04-03,前場,302.59,302.69,301.44,302.30
2017-03-31,後場,306.22,306.38,301.39,301.39
2017-03-31,前場,306.13,306.66,305.63,306.36
2017-03-30,後場,305.78,306.09,304.05,304.22
2017-03-30,前場,306.06,306.80,305.63,306.21
2017-03-29,後場,306.99,307.25,306.45,307.03
2017-03-29,前場,307.33,307.59,306.39,307.11
2017-03-28,後場,307.54,307.64,306.87,307.64
2017-03-28,前場,306.46,307.52,306.07,307.38
2017-03-27,後場,303.73,304.14,303.54,303.90
2017-03-27,前場,304.93,305.24,302.98,303.56
