日付,始値,高値,安値,終値
2009-12-30,187.72,187.72,185.06,185.06
2009-12-29,186.03,186.93,185.72,186.69
2009-12-28,185.44,187.30,185.34,186.37
2009-12-25,186.10,186.10,185.00,185.08
2009-12-24,184.50,186.22,184.48,186.01
2009-12-22,182.26,183.77,181.84,183.52
2009-12-21,182.00,182.15,180.97,180.97
2009-12-18,181.08,181.49,179.93,181.24
2009-12-17,182.88,183.43,181.91,181.91
2009-12-16,181.26,183.31,181.26,182.33
2009-12-15,179.11,180.18,178.95,179.54
2009-12-14,180.83,180.83,178.23,179.70
2009-12-11,178.52,180.43,177.51,180.43
2009-12-10,178.92,180.22,176.54,177.22
2009-12-09,180.29,180.29,179.16,179.51
2009-12-08,181.09,182.20,181.09,181.96
2009-12-07,182.28,183.19,181.50,182.25
2009-12-04,180.55,180.55,178.98,180.39
2009-12-03,175.70,179.90,175.70,179.90
2009-12-02,172.78,174.57,172.19,173.84
2009-12-01,168.65,173.42,167.82,173.42
2009-11-30,166.06,170.04,165.86,170.04
2009-11-27,166.17,166.37,163.97,164.24
2009-11-26,167.87,169.55,167.50,168.31
2009-11-25,168.05,169.39,167.84,169.17
2009-11-24,169.96,170.03,167.97,168.20
2009-11-20,168.51,169.96,168.28,169.85
2009-11-19,172.42,172.42,168.81,169.88
2009-11-18,173.29,173.76,171.52,172.55
2009-11-17,175.11,175.37,173.60,174.03
2009-11-16,175.15,175.21,173.81,174.47
2009-11-13,175.41,175.83,174.46,175.38
2009-11-12,176.92,177.34,175.10,175.57
2009-11-11,176.03,177.29,175.72,176.10
2009-11-10,176.88,177.85,175.72,175.82
2009-11-09,175.70,176.41,174.54,175.53
2009-11-06,177.36,177.36,175.85,176.21
2009-11-05,177.15,177.65,175.68,176.17
2009-11-04,176.65,177.54,176.29,177.51
2009-11-02,178.12,178.12,176.06,177.18
2009-10-30,179.79,180.49,179.13,180.28
2009-10-29,177.06,178.63,176.36,177.93
2009-10-28,180.38,180.91,179.00,179.25
2009-10-27,182.37,182.43,180.24,180.73
2009-10-26,182.23,184.44,181.89,183.64
2009-10-23,184.16,184.20,181.84,181.94
2009-10-22,183.01,183.29,181.04,183.29
2009-10-21,183.54,184.56,183.42,184.33
2009-10-20,184.35,184.68,183.63,184.34
2009-10-19,180.84,182.88,180.37,182.82
2009-10-16,182.96,182.96,181.11,182.00
2009-10-15,182.52,183.47,181.99,182.50
2009-10-14,181.69,181.69,179.80,180.44
2009-10-13,182.05,182.56,181.47,181.62
2009-10-09,179.57,180.97,178.51,180.97
2009-10-08,178.35,179.23,177.47,178.67
2009-10-07,176.76,178.55,176.58,178.18
2009-10-06,176.07,176.24,174.14,175.70
2009-10-05,176.38,176.73,174.45,174.86
2009-10-02,177.96,177.96,175.66,176.10
2009-10-01,182.03,182.26,180.02,180.40
2009-09-30,182.15,182.88,181.49,182.88
2009-09-29,182.68,183.07,181.28,181.83
2009-09-28,183.30,183.61,180.56,181.39
2009-09-25,188.37,188.37,185.20,185.65
2009-09-24,190.04,192.42,189.80,191.47
2009-09-18,188.52,189.76,187.02,189.76
2009-09-17,189.54,190.20,188.05,189.56
2009-09-16,189.00,190.16,187.57,187.76
2009-09-15,188.57,189.47,187.51,187.81
2009-09-14,190.64,190.64,187.46,188.15
2009-09-11,193.17,193.17,190.73,191.38
2009-09-10,190.24,193.02,190.24,192.91
2009-09-09,189.58,189.95,187.85,188.90
2009-09-08,190.37,190.37,189.07,190.29
2009-09-07,189.68,190.28,189.48,190.04
2009-09-04,189.79,189.80,187.54,188.10
2009-09-03,189.73,190.45,188.85,189.46
2009-09-02,192.11,192.11,189.65,190.74
2009-09-01,193.40,195.28,193.00,194.60
2009-08-31,195.97,198.43,192.90,194.10
2009-08-28,194.57,195.03,193.61,194.81
2009-08-27,194.95,195.13,192.03,193.71
2009-08-26,195.18,196.62,194.79,196.18
2009-08-25,194.20,195.04,193.66,194.11
2009-08-24,193.14,195.65,193.14,195.24
2009-08-21,192.84,192.84,188.82,190.48
2009-08-20,190.90,193.48,190.17,192.92
2009-08-19,191.33,192.09,189.77,189.93
2009-08-18,189.60,191.51,189.60,191.21
2009-08-17,195.05,195.05,191.10,191.13
2009-08-14,195.62,196.78,195.42,196.26
2009-08-13,195.10,195.64,194.61,195.24
2009-08-12,194.68,195.03,193.51,193.55
2009-08-11,195.52,196.46,195.43,196.39
2009-08-10,195.29,196.59,195.06,195.72
2009-08-07,192.63,193.16,190.24,193.16
2009-08-06,191.64,193.67,191.64,193.23
2009-08-05,193.66,193.86,191.25,191.29
2009-08-04,194.80,195.53,192.76,193.13
2009-08-03,192.14,193.05,191.76,192.83
2009-07-31,190.60,191.56,189.93,191.56
2009-07-30,187.97,188.98,186.95,188.85
2009-07-29,186.26,188.19,186.26,187.27
2009-07-28,187.24,187.33,186.38,187.29
2009-07-27,186.40,188.18,186.19,186.59
2009-07-24,184.62,185.13,183.77,184.96
2009-07-23,181.93,183.94,181.63,182.55
2009-07-22,181.04,182.66,180.46,182.05
2009-07-21,178.62,181.01,178.62,181.01
2009-07-17,176.59,176.81,175.72,176.51
2009-07-16,176.10,177.97,174.85,175.17
2009-07-15,175.35,175.48,173.48,173.89
2009-07-14,173.46,174.97,173.35,174.49
2009-07-13,173.87,176.31,171.23,171.28
2009-07-10,175.96,176.43,174.36,174.85
2009-07-09,176.52,176.89,175.08,175.20
2009-07-08,180.34,180.37,177.80,178.08
2009-07-07,183.21,183.60,181.77,182.24
2009-07-06,183.38,184.21,182.43,182.80
2009-07-03,183.26,184.53,182.24,184.53
2009-07-02,187.48,187.56,185.25,185.30
2009-07-01,185.63,188.77,185.38,186.33
2009-06-30,185.84,187.47,185.80,186.81
2009-06-29,185.86,186.89,183.10,183.77
2009-06-26,186.25,186.44,184.98,186.18
2009-06-25,182.55,186.26,182.07,184.96
2009-06-24,182.12,182.41,180.94,181.64
2009-06-23,183.50,183.64,180.40,181.31
2009-06-22,185.70,186.98,184.80,185.70
2009-06-19,184.46,186.17,184.14,185.31
2009-06-18,184.86,184.86,182.26,183.22
2009-06-17,183.64,186.33,183.64,185.70
2009-06-16,188.53,188.75,184.29,184.42
2009-06-15,192.03,192.03,190.28,190.69
2009-06-12,190.73,192.28,190.15,191.56
2009-06-11,188.93,189.91,188.62,189.36
2009-06-10,186.13,189.03,185.99,188.83
2009-06-09,186.26,187.00,184.78,185.03
2009-06-08,186.25,187.60,186.11,186.92
2009-06-05,185.28,185.70,184.22,184.88
2009-06-04,183.80,185.15,183.35,183.70
2009-06-03,185.06,185.97,184.67,184.74
2009-06-02,186.67,186.97,184.76,184.76
2009-06-01,181.61,184.95,181.02,184.56
2009-05-29,181.62,181.67,180.12,181.65
2009-05-28,179.20,181.67,179.20,181.04
2009-05-27,180.67,181.59,180.29,180.62
2009-05-26,179.29,179.48,177.37,178.61
2009-05-25,177.63,179.76,177.63,178.50
2009-05-22,176.24,177.92,175.42,177.17
2009-05-21,178.09,178.35,176.51,178.35
