日付,時刻,始値,高値,安値,終値
2016-12-30,後場,2781.69,2794.21,2781.69,2791.80
2016-12-30,前場,2775.42,2782.31,2766.62,2781.02
2016-12-29,後場,2780.21,2782.21,2771.81,2776.43
2016-12-29,前場,2792.54,2797.02,2771.94,2783.09
2016-12-28,後場,2788.47,2800.54,2787.16,2797.13
2016-12-28,前場,2760.21,2790.06,2757.19,2787.27
2016-12-27,後場,2745.58,2753.50,2740.86,2752.14
2016-12-27,前場,2736.19,2745.03,2734.36,2743.03
2016-12-26,後場,2735.76,2740.74,2734.14,2735.33
2016-12-26,前場,2741.65,2745.03,2736.52,2739.12
2016-12-22,後場,2732.19,2733.23,2727.99,2731.60
2016-12-22,前場,2735.32,2738.24,2727.78,2730.79
2016-12-21,後場,2751.73,2753.28,2738.22,2738.22
2016-12-21,前場,2743.65,2759.88,2743.39,2751.40
2016-12-20,後場,2730.18,2740.31,2729.36,2737.05
2016-12-20,前場,2719.56,2731.34,2716.97,2729.97
2016-12-19,後場,2711.15,2716.56,2708.92,2714.62
2016-12-19,前場,2705.59,2713.78,2703.21,2711.97
2016-12-16,後場,2726.76,2726.76,2715.58,2718.01
2016-12-16,前場,2735.62,2737.71,2722.21,2726.51
2016-12-15,後場,2719.84,2728.40,2718.14,2728.04
2016-12-15,前場,2729.17,2740.02,2719.67,2720.95
2016-12-14,後場,2718.48,2727.56,2718.48,2723.64
2016-12-14,前場,2720.89,2729.05,2717.63,2720.45
2016-12-13,後場,2711.57,2724.58,2708.85,2722.09
2016-12-13,前場,2706.47,2714.52,2702.85,2709.95
2016-12-12,後場,2710.88,2721.79,2700.09,2720.75
2016-12-12,前場,2722.84,2731.58,2713.57,2714.08
2016-12-09,後場,2689.87,2701.84,2687.99,2700.42
2016-12-09,前場,2701.44,2711.80,2675.60,2690.80
2016-12-08,後場,2689.34,2693.92,2680.52,2692.59
2016-12-08,前場,2680.92,2697.39,2680.34,2690.48
2016-12-07,後場,2666.81,2670.80,2665.03,2668.54
2016-12-07,前場,2645.45,2667.23,2643.02,2666.00
2016-12-06,後場,2626.13,2637.11,2623.89,2629.29
2016-12-06,前場,2606.95,2627.65,2606.95,2627.65
2016-12-05,後場,2595.74,2599.26,2591.59,2596.55
2016-12-05,前場,2586.16,2596.70,2585.82,2594.45
2016-12-02,後場,2590.91,2591.80,2583.23,2591.19
2016-12-02,前場,2594.72,2597.34,2589.51,2589.52
2016-12-01,後場,2600.64,2602.32,2589.22,2592.61
2016-12-01,前場,2598.21,2603.31,2596.79,2602.29
2016-11-30,後場,2578.98,2584.67,2576.65,2584.58
2016-11-30,前場,2576.05,2578.92,2573.63,2576.47
2016-11-29,後場,2572.37,2573.06,2567.60,2571.58
2016-11-29,前場,2569.15,2574.84,2569.13,2572.83
2016-11-28,後場,2565.95,2576.67,2564.46,2574.73
2016-11-28,前場,2565.90,2569.62,2564.02,2565.26
2016-11-25,後場,2568.90,2570.84,2557.99,2564.14
2016-11-25,前場,2579.42,2579.42,2567.86,2569.36
2016-11-24,後場,2576.18,2578.19,2571.69,2574.98
2016-11-24,前場,2576.78,2578.30,2571.54,2575.86
2016-11-22,後場,2556.50,2565.93,2556.10,2564.35
2016-11-22,前場,2559.08,2561.96,2550.70,2556.54
2016-11-21,後場,2559.79,2564.40,2558.30,2559.46
2016-11-21,前場,2558.02,2560.96,2550.70,2559.74
2016-11-18,後場,2532.38,2544.87,2531.15,2542.42
2016-11-18,前場,2527.12,2531.54,2524.71,2529.77
2016-11-17,後場,2514.04,2516.42,2512.00,2515.15
2016-11-17,前場,2497.43,2514.17,2497.43,2514.17
2016-11-16,後場,2496.39,2502.43,2495.09,2501.46
2016-11-16,前場,2480.79,2495.72,2479.65,2495.49
2016-11-15,後場,2463.17,2472.45,2461.61,2471.71
2016-11-15,前場,2469.62,2470.09,2456.45,2463.97
2016-11-14,後場,2462.94,2467.57,2461.76,2464.26
2016-11-14,前場,2440.78,2466.72,2440.53,2463.85
2016-11-11,後場,2435.83,2438.02,2429.95,2434.15
2016-11-11,前場,2454.41,2456.96,2435.67,2435.67
2016-11-10,後場,2454.40,2455.85,2450.47,2451.71
2016-11-10,前場,2426.05,2455.90,2426.05,2452.46
2016-11-09,後場,2389.44,2401.35,2362.48,2388.05
2016-11-09,前場,2464.20,2467.88,2407.23,2414.33
2016-11-08,後場,2462.79,2465.51,2458.60,2458.60
2016-11-08,前場,2472.34,2476.03,2464.31,2464.31
2016-11-07,後場,2464.16,2467.16,2461.13,2463.86
2016-11-07,前場,2449.11,2466.74,2448.11,2464.58
2016-11-04,後場,2434.43,2438.94,2432.50,2437.25
2016-11-04,前場,2435.72,2440.37,2423.21,2431.76
2016-11-02,後場,2461.27,2461.27,2451.60,2454.89
2016-11-02,前場,2478.60,2482.13,2463.29,2464.29
2016-11-01,後場,2489.76,2494.71,2489.42,2493.22
2016-11-01,前場,2490.89,2493.26,2481.78,2488.41
2016-10-31,後場,2483.22,2491.17,2481.06,2490.50
2016-10-31,前場,2476.95,2484.10,2475.98,2481.02
2016-10-28,後場,2470.49,2476.90,2467.15,2474.85
2016-10-28,前場,2473.73,2478.68,2468.66,2469.69
2016-10-27,後場,2470.54,2471.28,2466.83,2469.06
2016-10-27,前場,2464.93,2475.11,2461.88,2470.28
2016-10-26,後場,2457.57,2468.85,2457.41,2467.28
2016-10-26,前場,2457.70,2464.27,2456.06,2458.03
2016-10-25,後場,2472.29,2472.92,2465.76,2467.56
2016-10-25,前場,2474.62,2476.25,2469.56,2471.14
2016-10-24,後場,2467.76,2475.56,2467.76,2469.10
2016-10-24,前場,2460.94,2474.71,2460.94,2466.16
2016-10-21,後場,2458.56,2459.18,2449.77,2451.39
2016-10-21,前場,2463.66,2465.15,2456.50,2458.98
2016-10-20,後場,2459.98,2460.99,2455.46,2460.79
2016-10-20,前場,2444.47,2459.38,2444.47,2459.38
2016-10-19,後場,2438.35,2442.53,2435.33,2441.05
2016-10-19,前場,2417.09,2438.74,2417.09,2437.06
2016-10-18,後場,2406.49,2409.99,2403.66,2407.89
2016-10-18,前場,2400.69,2407.74,2400.69,2405.86
2016-10-17,後場,2392.63,2397.81,2391.35,2397.72
2016-10-17,前場,2393.93,2396.22,2389.12,2392.14
2016-10-14,後場,2386.03,2389.59,2383.74,2387.79
2016-10-14,前場,2381.65,2387.29,2381.37,2384.92
2016-10-13,後場,2377.39,2384.82,2376.11,2384.34
2016-10-13,前場,2377.48,2387.71,2377.48,2377.88
2016-10-12,後場,2381.25,2384.02,2375.76,2376.17
2016-10-12,前場,2375.47,2382.26,2374.07,2382.12
2016-10-11,後場,2380.55,2384.38,2379.45,2383.15
2016-10-11,前場,2375.58,2384.24,2375.51,2381.89
2016-10-07,後場,2372.02,2373.25,2368.52,2370.84
2016-10-07,前場,2377.79,2379.12,2370.85,2372.23
2016-10-06,後場,2379.07,2382.58,2378.88,2380.96
2016-10-06,前場,2384.31,2384.85,2378.85,2378.85
2016-10-05,後場,2377.22,2379.10,2375.35,2375.87
2016-10-05,前場,2373.88,2377.68,2369.14,2376.79
2016-10-04,後場,2370.72,2372.22,2369.13,2370.57
2016-10-04,前場,2373.12,2374.39,2366.33,2371.17
2016-10-03,後場,2372.10,2373.22,2367.85,2370.96
2016-10-03,前場,2370.90,2375.83,2369.79,2372.95
2016-09-30,後場,2361.18,2366.88,2360.45,2362.60
2016-09-30,前場,2359.36,2363.83,2357.70,2362.04
2016-09-29,後場,2367.53,2369.99,2364.54,2369.45
2016-09-29,前場,2371.44,2372.38,2365.72,2367.11
2016-09-28,後場,2357.54,2364.13,2356.24,2364.13
2016-09-28,前場,2354.07,2359.19,2351.72,2358.82
2016-09-27,後場,2354.48,2362.28,2354.38,2359.73
2016-09-27,前場,2344.45,2354.24,2339.90,2352.69
2016-09-26,後場,2353.57,2357.18,2353.09,2353.20
2016-09-26,前場,2352.15,2355.53,2348.54,2351.90
2016-09-23,後場,2345.33,2350.79,2343.87,2349.53
2016-09-23,前場,2337.26,2345.92,2335.36,2345.71
2016-09-21,後場,2318.36,2336.28,2317.37,2336.28
2016-09-21,前場,2317.89,2322.57,2316.71,2318.11
2016-09-20,後場,2314.92,2317.48,2311.10,2311.10
2016-09-20,前場,2301.75,2319.02,2301.75,2317.77
2016-09-16,後場,2299.51,2305.06,2297.36,2300.56
2016-09-16,前場,2303.07,2306.72,2300.64,2300.64
2016-09-15,後場,2308.92,2311.50,2306.28,2306.53
2016-09-15,前場,2307.94,2313.24,2306.50,2309.82
2016-09-14,後場,2324.79,2325.29,2316.59,2317.55
2016-09-14,前場,2320.55,2324.46,2318.32,2323.68
2016-09-13,後場,2335.46,2337.35,2330.59,2330.59
2016-09-13,前場,2338.92,2343.79,2333.82,2337.11
2016-09-12,後場,2331.94,2332.45,2326.86,2331.30
2016-09-12,前場,2338.39,2340.49,2333.12,2334.03
2016-09-09,後場,2350.61,2354.74,2350.12,2353.10
2016-09-09,前場,2354.34,2355.66,2347.13,2351.64
2016-09-08,後場,2347.73,2350.89,2344.87,2350.24
