日付,始値,高値,安値,終値
2014-12-30,2341.51,2345.96,2332.47,2344.60
2014-12-29,2331.24,2340.84,2327.90,2338.37
2014-12-26,2296.05,2326.06,2295.80,2324.52
2014-12-25,2305.41,2307.39,2293.54,2295.14
2014-12-24,2316.85,2318.63,2308.45,2309.30
2014-12-22,2309.23,2310.76,2301.15,2307.20
2014-12-19,2299.51,2307.02,2296.76,2305.39
2014-12-18,2286.35,2293.10,2283.76,2285.20
2014-12-17,2257.42,2274.12,2256.97,2266.94
2014-12-16,2291.52,2292.72,2268.08,2268.08
2014-12-15,2307.15,2315.90,2301.16,2302.84
2014-12-12,2312.21,2325.36,2311.78,2316.32
2014-12-11,2290.17,2309.16,2282.84,2308.09
2014-12-10,2305.08,2310.97,2301.29,2307.39
2014-12-09,2331.48,2335.63,2314.90,2316.29
2014-12-08,2349.32,2351.94,2340.71,2346.43
2014-12-05,2328.39,2339.07,2325.36,2338.33
2014-12-04,2322.31,2331.37,2322.02,2331.37
2014-12-03,2321.38,2326.21,2315.84,2316.11
2014-12-02,2310.72,2315.63,2308.93,2314.47
2014-12-01,2300.31,2309.23,2300.02,2309.23
2014-11-28,2292.41,2295.11,2288.10,2294.70
2014-11-27,2285.47,2289.87,2281.92,2284.02
2014-11-26,2260.66,2281.44,2260.66,2280.77
2014-11-25,2252.78,2257.97,2250.48,2257.27
2014-11-21,2239.08,2242.44,2231.59,2242.44
2014-11-20,2230.57,2240.53,2230.57,2239.90
2014-11-19,2220.10,2227.60,2220.10,2227.03
2014-11-18,2197.48,2217.64,2196.84,2216.84
2014-11-17,2202.98,2202.98,2189.68,2191.68
2014-11-14,2205.98,2207.37,2193.22,2196.43
2014-11-13,2199.30,2204.45,2194.59,2203.27
2014-11-12,2216.64,2217.77,2201.36,2202.84
2014-11-11,2214.68,2218.47,2208.72,2211.02
2014-11-10,2196.76,2209.27,2195.14,2208.90
2014-11-07,2201.55,2203.66,2195.27,2196.59
2014-11-06,2207.99,2214.37,2197.07,2199.32
2014-11-05,2195.78,2207.90,2195.00,2207.47
2014-11-04,2196.75,2211.15,2193.58,2197.33
2014-10-31,2150.34,2171.97,2145.72,2171.85
2014-10-30,2145.90,2148.45,2142.66,2143.78
2014-10-29,2137.64,2148.53,2137.64,2145.80
2014-10-28,2129.12,2135.01,2128.02,2131.71
2014-10-27,2136.19,2136.21,2128.90,2129.05
2014-10-24,2140.23,2143.43,2127.16,2128.58
2014-10-23,2122.27,2128.10,2120.44,2124.02
2014-10-22,2110.38,2125.79,2110.38,2125.34
2014-10-21,2116.73,2117.96,2097.28,2098.36
2014-10-20,2091.40,2117.58,2091.14,2117.58
2014-10-17,2083.08,2089.41,2065.63,2066.60
2014-10-16,2089.38,2091.68,2076.86,2078.33
2014-10-15,2104.78,2113.38,2101.28,2111.98
2014-10-14,2102.92,2104.00,2088.99,2095.53
2014-10-10,2132.92,2133.37,2113.51,2127.31
2014-10-09,2189.25,2189.88,2156.44,2156.44
2014-10-08,2172.10,2182.20,2167.09,2181.57
2014-10-07,2209.81,2211.09,2193.53,2194.08
2014-10-06,2199.58,2212.32,2197.62,2212.32
2014-10-03,2165.17,2185.76,2164.91,2185.46
2014-10-02,2185.31,2185.98,2164.40,2166.06
2014-10-01,2234.02,2234.19,2206.49,2207.44
2014-09-30,2242.92,2243.32,2225.23,2236.02
2014-09-29,2246.79,2246.79,2240.97,2245.12
2014-09-26,2219.56,2236.98,2217.70,2236.62
2014-09-25,2240.04,2241.76,2237.36,2240.02
2014-09-24,2227.70,2234.82,2225.08,2234.28
2014-09-22,2229.91,2235.69,2226.66,2234.62
2014-09-19,2225.27,2228.74,2221.60,2227.88
2014-09-18,2227.38,2229.07,2219.40,2221.49
2014-09-17,2227.64,2229.50,2225.58,2226.00
2014-09-16,2216.06,2228.77,2216.06,2227.26
2014-09-12,2211.78,2213.02,2204.18,2210.62
2014-09-11,2212.25,2216.29,2208.60,2210.43
2014-09-10,2208.59,2210.50,2200.57,2207.06
2014-09-09,2213.29,2217.22,2210.71,2215.19
2014-09-08,2211.70,2217.26,2209.28,2212.32
2014-09-05,2213.24,2218.18,2203.82,2209.32
2014-09-04,2220.70,2221.73,2207.92,2208.12
2014-09-03,2226.97,2227.55,2219.04,2222.42
2014-09-02,2226.82,2229.10,2222.80,2225.34
2014-09-01,2198.77,2224.77,2198.77,2224.28
2014-08-29,2176.51,2191.19,2174.22,2191.19
2014-08-28,2169.20,2189.95,2168.10,2174.89
2014-08-27,2155.65,2167.95,2154.69,2167.95
2014-08-26,2156.74,2157.50,2149.64,2152.87
2014-08-25,2127.45,2152.68,2127.00,2152.68
2014-08-22,2125.91,2127.21,2118.01,2123.14
2014-08-21,2109.19,2122.80,2108.09,2122.29
2014-08-20,2101.00,2109.47,2101.00,2107.46
2014-08-19,2099.25,2101.77,2096.54,2098.07
2014-08-18,2084.90,2095.95,2084.36,2092.35
2014-08-15,2070.40,2076.88,2068.20,2076.83
2014-08-14,2062.21,2067.36,2058.80,2067.36
2014-08-13,2052.85,2060.85,2049.20,2060.12
2014-08-12,2061.50,2064.86,2054.17,2055.56
