日付,時刻,始値,高値,安値,終値
2007-12-28,後場,3276.82,3276.82,3276.82,3276.82
2007-12-28,前場,3269.87,3277.45,3266.40,3276.82
2007-12-27,後場,3270.92,3277.69,3270.92,3276.88
2007-12-27,前場,3268.07,3274.74,3267.36,3274.29
2007-12-26,後場,3243.06,3263.65,3242.99,3263.59
2007-12-26,前場,3232.34,3245.37,3232.34,3243.39
2007-12-25,後場,3227.32,3228.04,3216.21,3224.80
2007-12-25,前場,3237.07,3252.01,3228.85,3228.85
2007-12-21,後場,3211.22,3220.17,3204.40,3220.17
2007-12-21,前場,3226.59,3227.90,3204.52,3209.45
2007-12-20,後場,3246.96,3248.92,3225.17,3230.70
2007-12-20,前場,3273.04,3274.88,3248.80,3249.55
2007-12-19,後場,3290.97,3293.12,3274.95,3275.22
2007-12-19,前場,3293.92,3299.48,3291.86,3291.86
2007-12-18,後場,3286.65,3294.82,3279.81,3292.32
2007-12-18,前場,3290.91,3290.91,3272.18,3286.54
2007-12-17,後場,3332.46,3333.61,3304.14,3306.52
2007-12-17,前場,3359.47,3359.79,3333.91,3336.24
2007-12-14,後場,3374.75,3374.95,3361.12,3366.10
2007-12-14,前場,3386.31,3395.61,3374.44,3375.48
2007-12-13,後場,3386.39,3388.00,3377.35,3379.59
2007-12-13,前場,3399.25,3400.84,3385.76,3387.03
2007-12-12,後場,3383.68,3397.40,3383.50,3397.40
2007-12-12,前場,3376.95,3382.99,3369.50,3382.66
2007-12-11,後場,3389.23,3393.75,3386.93,3393.75
2007-12-11,前場,3394.32,3396.41,3388.95,3391.32
2007-12-10,後場,3382.04,3388.69,3381.77,3387.37
2007-12-10,前場,3384.05,3391.76,3380.16,3382.68
2007-12-07,後場,3377.31,3383.19,3373.04,3373.51
2007-12-07,前場,3373.60,3381.18,3372.07,3378.33
2007-12-06,後場,3359.62,3360.55,3353.80,3359.39
2007-12-06,前場,3365.39,3371.48,3361.18,3362.23
2007-12-05,後場,3332.95,3352.48,3332.55,3352.48
2007-12-05,前場,3360.23,3361.74,3330.58,3335.15
2007-12-04,後場,3379.60,3379.94,3363.07,3366.88
2007-12-04,前場,3390.37,3396.31,3381.83,3382.69
2007-12-03,後場,3379.89,3385.22,3376.00,3383.22
2007-12-03,前場,3393.37,3400.10,3380.78,3380.78
2007-11-30,後場,3375.27,3381.90,3375.02,3378.90
2007-11-30,前場,3356.17,3377.91,3354.39,3375.38
2007-11-29,後場,3354.31,3356.56,3346.53,3349.40
2007-11-29,前場,3342.47,3359.39,3342.47,3356.82
2007-11-28,後場,3317.47,3323.38,3310.17,3322.71
2007-11-28,前場,3314.13,3326.09,3313.99,3318.08
2007-11-27,後場,3281.66,3303.81,3281.66,3303.81
2007-11-27,前場,3285.07,3286.16,3272.41,3280.41
2007-11-26,後場,3292.56,3308.39,3292.32,3304.28
2007-11-26,前場,3287.15,3298.61,3287.15,3294.53
2007-11-22,後場,3257.64,3281.62,3257.64,3279.49
2007-11-22,前場,3280.37,3280.86,3251.97,3255.12
2007-11-21,後場,3311.29,3312.00,3291.83,3299.34
2007-11-21,前場,3323.41,3324.66,3315.54,3319.36
2007-11-20,後場,3261.54,3325.07,3260.18,3323.57
2007-11-20,前場,3321.70,3321.75,3264.47,3264.97
2007-11-19,後場,3376.81,3376.89,3347.83,3352.11
