日付,始値,高値,安値,終値
2015-12-30,4687.53,4731.85,4686.34,4729.85
2015-12-29,4652.21,4689.28,4649.84,4686.18
2015-12-28,4604.44,4652.51,4597.82,4648.85
2015-12-25,4591.09,4605.09,4585.94,4592.40
2015-12-24,4661.45,4663.24,4587.41,4589.78
2015-12-22,4669.91,4676.24,4653.98,4653.98
2015-12-21,4685.96,4688.35,4639.00,4659.25
2015-12-18,4714.50,4741.07,4703.40,4708.52
2015-12-17,4689.14,4715.02,4689.14,4710.42
2015-12-16,4679.46,4683.80,4653.69,4658.62
2015-12-15,4706.27,4718.45,4642.02,4643.29
2015-12-14,4688.81,4710.82,4673.34,4709.52
2015-12-11,4734.41,4741.49,4732.28,4736.12
2015-12-10,4739.99,4741.10,4716.78,4719.27
2015-12-09,4800.02,4804.90,4765.74,4772.13
2015-12-08,4832.73,4834.71,4800.92,4817.71
2015-12-07,4831.43,4837.44,4822.67,4829.72
2015-12-04,4806.43,4813.90,4795.49,4803.31
2015-12-03,4835.66,4849.04,4830.25,4847.39
2015-12-02,4806.34,4831.40,4805.76,4830.78
2015-12-01,4793.92,4801.01,4788.78,4801.01
2015-11-30,4797.59,4800.10,4786.43,4786.43
2015-11-27,4797.78,4803.21,4784.07,4789.37
2015-11-26,4777.09,4799.21,4777.01,4796.19
2015-11-25,4783.44,4784.80,4761.09,4768.79
2015-11-24,4741.69,4770.11,4741.69,4768.40
2015-11-20,4712.92,4733.69,4712.92,4733.69
2015-11-19,4720.70,4735.19,4714.00,4722.34
2015-11-18,4720.75,4723.10,4700.25,4701.99
2015-11-17,4725.44,4733.36,4710.41,4717.98
2015-11-16,4695.29,4722.56,4691.64,4700.82
2015-11-13,4712.92,4713.00,4693.33,4712.20
2015-11-12,4735.23,4743.59,4730.35,4731.72
2015-11-11,4739.07,4745.85,4733.43,4743.85
2015-11-10,4713.81,4743.52,4710.91,4741.81
2015-11-09,4704.44,4725.73,4703.75,4725.49
2015-11-06,4653.96,4682.05,4653.96,4681.00
2015-11-05,4648.95,4660.06,4642.49,4656.03
2015-11-04,4689.71,4692.11,4653.01,4653.01
2015-11-02,4688.30,4688.67,4672.98,4673.71
2015-10-30,4686.34,4702.49,4668.81,4694.69
2015-10-29,4680.85,4688.94,4668.85,4680.74
2015-10-28,4678.89,4689.17,4676.46,4678.80
2015-10-27,4697.92,4702.04,4686.20,4686.20
2015-10-26,4684.67,4701.29,4684.31,4695.00
2015-10-23,4650.48,4661.48,4650.03,4656.83
2015-10-22,4622.38,4626.82,4612.85,4619.24
2015-10-21,4616.18,4626.61,4611.28,4622.51
2015-10-20,4621.50,4629.96,4608.92,4622.19
2015-10-19,4625.59,4625.59,4609.37,4614.61
2015-10-16,4624.77,4638.00,4620.85,4621.22
2015-10-15,4576.84,4622.55,4576.28,4620.15
2015-10-14,4627.57,4629.12,4589.63,4598.45
2015-10-13,4623.77,4643.92,4622.47,4638.63
2015-10-09,4596.90,4623.47,4587.08,4621.14
2015-10-08,4620.94,4624.57,4593.11,4596.07
2015-10-07,4616.45,4618.71,4590.75,4613.82
2015-10-06,4625.80,4646.93,4618.78,4618.78
2015-10-05,4582.15,4607.74,4581.32,4605.09
2015-10-02,4538.00,4568.08,4534.69,4564.81
2015-10-01,4512.26,4548.11,4503.22,4547.59
2015-09-30,4465.80,4500.10,4465.77,4493.15
2015-09-29,4515.66,4516.11,4437.77,4442.80
2015-09-28,4532.57,4554.19,4525.22,4545.23
2015-09-25,4527.60,4538.28,4490.25,4538.28
2015-09-24,4526.67,4527.26,4512.05,4515.47
2015-09-18,4583.10,4584.19,4553.25,4563.14
2015-09-17,4566.28,4594.52,4562.78,4594.31
2015-09-16,4556.64,4560.82,4529.78,4541.75
2015-09-15,4565.79,4574.05,4537.10,4545.81
2015-09-14,4575.85,4595.59,4548.30,4563.63
2015-09-11,4529.98,4567.02,4523.76,4567.02
2015-09-10,4498.68,4535.64,4468.02,4535.64
2015-09-09,4444.29,4528.02,4443.75,4528.02
2015-09-08,4433.52,4450.28,4378.24,4381.00
2015-09-07,4464.88,4471.49,4399.48,4429.63
2015-09-04,4626.73,4628.92,4496.89,4513.90
2015-09-03,4641.71,4674.79,4625.00,4625.53
2015-09-02,4581.14,4643.68,4550.34,4604.78
2015-09-01,4738.16,4740.21,4637.63,4637.63
2015-08-31,4750.36,4762.96,4732.84,4759.07
2015-08-28,4702.49,4757.28,4702.49,4745.40
2015-08-27,4624.51,4693.88,4620.50,4657.11
2015-08-26,4436.56,4563.16,4436.56,4563.00
2015-08-25,4429.19,4549.42,4229.89,4396.36
2015-08-24,4735.35,4736.03,4508.44,4514.22
2015-08-21,4855.93,4856.19,4818.79,4818.79
2015-08-20,4963.97,4969.16,4910.18,4910.18
2015-08-19,5013.21,5017.87,4971.85,4983.44
2015-08-18,5029.78,5030.42,5018.38,5021.93
2015-08-17,5008.12,5020.84,5005.42,5020.84
2015-08-14,4970.58,4993.60,4968.38,4993.60
2015-08-13,4927.31,4965.52,4893.68,4965.52
2015-08-12,4984.30,4994.17,4925.80,4928.11
2015-08-11,5016.43,5017.91,4983.70,4997.88
2015-08-10,5037.14,5043.98,5007.04,5008.69
2015-08-07,5087.83,5089.39,5048.22,5048.22
2015-08-06,5100.84,5110.86,5093.45,5094.26
2015-08-05,5071.21,5090.28,5063.66,5087.31
2015-08-04,5056.35,5075.84,5053.75,5066.96
2015-08-03,5076.37,5076.85,5055.98,5059.19
2015-07-31,5080.28,5080.35,5061.89,5076.80
2015-07-30,5085.71,5088.49,5066.01,5070.67
2015-07-29,5100.39,5104.43,5075.75,5080.82
2015-07-28,5063.34,5091.16,5045.27,5084.07
2015-07-27,5138.13,5143.52,5097.77,5104.62
2015-07-24,5145.83,5150.98,5129.78,5139.82
2015-07-23,5127.63,5141.33,5122.67,5139.23
2015-07-22,5126.49,5126.73,5109.80,5117.53
2015-07-21,5133.76,5144.11,5128.35,5142.32
2015-07-17,5098.89,5114.94,5096.99,5114.94
2015-07-16,5065.41,5090.85,5059.99,5090.85
2015-07-15,5033.68,5066.38,5033.68,5066.38
2015-07-14,4956.83,5022.79,4956.83,5022.79
2015-07-13,4878.83,4916.40,4878.82,4913.72
2015-07-10,4860.02,4877.83,4842.61,4849.39
2015-07-09,4821.66,4857.12,4661.75,4854.62
2015-07-08,5044.13,5046.41,4896.16,4896.16
2015-07-07,5017.58,5047.42,5017.58,5038.26
2015-07-06,5012.94,5035.82,4980.84,4992.93
2015-07-03,5074.73,5074.73,5035.15,5042.56
2015-07-02,5094.97,5102.22,5078.80,5083.39
2015-07-01,5008.96,5076.51,5008.96,5076.51
2015-06-30,4941.28,4988.70,4941.28,4986.82
2015-06-29,4994.79,4994.79,4942.19,4961.88
