日付,時刻,始値,高値,安値,終値
2011-12-30,後場,815.66,824.89,815.30,824.51
2011-12-30,前場,816.47,816.47,812.99,815.49
2011-12-29,後場,819.75,820.14,811.01,816.49
2011-12-29,前場,826.95,826.95,818.54,819.96
2011-12-28,後場,828.42,832.18,827.31,827.31
2011-12-28,前場,830.12,831.74,826.34,827.79
2011-12-27,後場,832.99,838.26,832.16,838.26
2011-12-27,前場,828.47,835.42,827.76,834.16
2011-12-26,後場,831.05,831.51,826.54,826.54
2011-12-26,前場,831.02,832.94,828.30,831.45
2011-12-22,後場,834.77,836.13,825.89,826.88
2011-12-22,前場,836.32,836.86,833.41,834.91
2011-12-21,後場,839.36,839.72,836.84,839.00
2011-12-21,前場,839.35,840.48,837.64,839.42
2011-12-20,後場,836.38,838.83,835.39,838.68
2011-12-20,前場,837.78,837.83,834.37,836.30
2011-12-19,後場,836.27,839.71,834.85,838.94
2011-12-19,前場,835.46,837.75,834.85,835.95
2011-12-16,後場,839.61,840.63,834.48,835.89
2011-12-16,前場,841.50,841.69,837.92,839.55
2011-12-15,後場,842.69,844.94,837.93,837.93
2011-12-15,前場,843.48,843.83,840.83,841.20
2011-12-14,後場,845.03,845.03,840.61,844.15
2011-12-14,前場,842.20,846.14,841.03,845.36
2011-12-13,後場,842.41,844.56,841.73,843.44
2011-12-13,前場,838.96,843.78,838.96,843.42
2011-12-12,後場,845.83,846.08,842.45,844.09
2011-12-12,前場,849.79,850.46,845.58,845.73
2011-12-09,後場,850.60,851.35,847.26,847.26
2011-12-09,前場,851.65,852.87,849.99,850.53
2011-12-08,後場,857.62,861.31,857.26,859.84
2011-12-08,前場,860.06,860.19,855.87,856.12
2011-12-07,後場,853.44,870.77,852.63,864.90
2011-12-07,前場,859.02,859.23,846.21,852.06
2011-12-06,後場,869.20,869.33,857.92,860.79
2011-12-06,前場,868.12,871.60,866.69,870.21
2011-12-05,後場,860.90,868.07,860.90,865.54
2011-12-05,前場,863.88,863.89,859.64,861.27
2011-12-02,後場,851.04,861.46,850.38,858.82
2011-12-02,前場,853.47,853.47,848.53,849.98
2011-12-01,後場,857.46,857.46,850.80,853.22
2011-12-01,前場,870.38,873.26,854.28,858.20
2011-11-30,後場,851.59,858.61,851.49,857.40
2011-11-30,前場,841.16,849.86,839.51,849.65
2011-11-29,後場,828.82,841.43,828.82,840.81
2011-11-29,前場,828.79,833.85,827.65,827.83
2011-11-28,後場,824.03,824.14,816.13,817.33
2011-11-28,前場,828.05,828.51,823.46,825.67
2011-11-25,後場,832.18,832.77,828.07,828.07
2011-11-25,前場,832.34,836.89,831.14,832.70
2011-11-24,後場,841.28,841.30,833.07,834.49
2011-11-24,前場,842.04,842.40,838.62,841.50
2011-11-22,後場,839.24,842.26,839.03,840.70
2011-11-22,前場,828.34,841.53,825.88,838.62
2011-11-21,後場,838.44,838.93,830.64,832.89
2011-11-21,前場,842.14,843.34,837.57,838.95
