日付,始値,高値,安値,終値
2012-12-28,1122.33,1132.87,1118.20,1130.31
2012-12-27,1128.66,1129.81,1116.11,1118.78
2012-12-26,1127.96,1128.36,1122.37,1122.88
2012-12-25,1122.92,1133.64,1122.43,1130.20
2012-12-21,1108.58,1120.15,1107.73,1117.53
2012-12-20,1097.30,1107.49,1095.77,1106.67
2012-12-19,1093.20,1099.62,1088.26,1097.97
2012-12-18,1085.18,1089.87,1085.17,1089.87
2012-12-17,1079.65,1084.52,1075.66,1084.52
2012-12-14,1064.45,1076.32,1063.69,1076.32
2012-12-13,1059.49,1064.50,1056.29,1062.78
2012-12-12,1064.71,1065.08,1057.61,1061.02
2012-12-11,1068.90,1069.30,1061.17,1062.98
2012-12-10,1076.33,1076.35,1067.44,1070.70
2012-12-07,1079.81,1079.86,1072.49,1079.86
2012-12-06,1078.14,1078.46,1071.67,1076.91
2012-12-05,1077.90,1077.93,1071.07,1077.79
2012-12-04,1085.29,1085.29,1073.86,1077.04
2012-12-03,1082.98,1085.34,1080.98,1083.24
2012-11-30,1068.59,1079.49,1064.45,1079.49
2012-11-29,1066.92,1067.58,1060.21,1067.58
2012-11-28,1070.80,1071.47,1063.03,1067.18
2012-11-27,1078.42,1081.65,1076.99,1078.51
2012-11-26,1086.16,1086.16,1074.54,1080.31
2012-11-22,1079.32,1082.57,1076.36,1082.57
2012-11-21,1074.88,1080.11,1074.45,1079.18
2012-11-20,1075.45,1076.10,1071.40,1074.17
2012-11-19,1072.62,1081.17,1072.22,1073.93
2012-11-16,1071.66,1076.03,1064.16,1069.43
2012-11-15,1052.72,1069.53,1052.72,1069.53
2012-11-14,1043.13,1055.48,1043.02,1055.48
2012-11-13,1042.85,1045.61,1038.78,1039.70
2012-11-12,1054.02,1054.12,1041.92,1041.92
2012-11-09,1057.95,1058.45,1051.47,1055.77
2012-11-08,1068.55,1069.03,1057.47,1064.70
2012-11-07,1069.45,1071.03,1065.51,1071.03
2012-11-06,1069.19,1072.45,1064.50,1066.56
2012-11-05,1078.67,1080.67,1067.21,1068.87
2012-11-02,1075.27,1081.53,1074.44,1080.14
2012-11-01,1070.92,1073.32,1067.31,1071.78
2012-10-31,1061.25,1070.55,1054.48,1069.61
2012-10-30,1070.75,1078.70,1060.58,1065.75
2012-10-29,1066.43,1077.25,1066.03,1076.59
2012-10-26,1071.75,1072.44,1066.76,1072.44
2012-10-25,1064.18,1071.35,1062.11,1071.35
2012-10-24,1070.53,1071.20,1065.83,1068.62
2012-10-23,1060.42,1062.78,1057.03,1062.78
2012-10-22,1046.72,1057.34,1046.72,1057.34
2012-10-19,1048.04,1053.15,1048.04,1051.43
2012-10-18,1055.76,1058.98,1050.36,1053.72
2012-10-17,1046.78,1054.48,1046.21,1052.97
2012-10-16,1042.06,1047.79,1041.30,1044.88
2012-10-15,1038.48,1041.47,1036.34,1041.47
2012-10-12,1039.42,1043.89,1039.11,1042.90
2012-10-11,1034.51,1039.49,1032.64,1039.15
2012-10-10,1031.99,1037.47,1031.89,1037.18
2012-10-09,1037.27,1043.99,1030.96,1030.96
2012-10-05,1035.09,1038.61,1033.57,1036.57
2012-10-04,1031.96,1039.34,1030.38,1037.54
2012-10-03,1035.04,1035.42,1026.61,1032.26
2012-10-02,1049.33,1052.82,1037.41,1037.41
2012-10-01,1046.43,1052.04,1038.60,1046.04
2012-09-28,1044.64,1049.34,1041.16,1047.41
2012-09-27,1028.31,1042.41,1027.07,1042.41
2012-09-26,1017.10,1034.27,1016.60,1027.32
2012-09-25,1018.46,1027.35,1018.08,1027.35
2012-09-24,1015.09,1018.41,1014.79,1018.34
2012-09-21,1021.10,1021.10,1013.07,1014.46
2012-09-20,1010.23,1023.08,1006.48,1023.08
2012-09-19,1017.24,1020.72,1012.37,1015.33
2012-09-18,1010.10,1011.13,1004.88,1011.13
2012-09-14,1004.86,1009.64,1003.58,1008.32
2012-09-13,990.76,1003.29,988.78,1003.29
2012-09-12,997.52,999.16,992.66,992.66
2012-09-11,997.73,997.88,993.33,997.01
2012-09-10,999.23,1002.39,994.83,999.96
2012-09-07,999.55,1004.30,995.25,1004.30
2012-09-06,995.37,998.35,991.69,994.86
2012-09-05,989.96,997.31,986.47,991.10
2012-09-04,992.70,993.48,984.48,987.72
2012-09-03,997.74,997.74,992.09,992.86
2012-08-31,986.90,994.06,986.21,992.05
2012-08-30,997.15,997.74,986.61,992.54
2012-08-29,997.82,1001.16,995.50,997.78
2012-08-28,999.61,1000.34,991.45,999.75
2012-08-27,997.95,1007.31,996.36,999.39
2012-08-24,981.97,994.92,980.57,994.92
2012-08-23,982.81,989.26,982.22,983.16
2012-08-22,973.76,982.17,971.87,982.17
2012-08-21,968.91,973.04,968.34,973.04
2012-08-20,972.45,973.70,966.31,966.31
2012-08-17,965.87,971.05,965.19,971.00
2012-08-16,969.32,971.45,961.08,961.67
2012-08-15,966.94,972.74,964.86,967.15
2012-08-14,962.58,968.98,962.20,966.22
2012-08-13,963.95,965.87,957.98,959.28
2012-08-10,966.95,967.35,958.05,962.80
2012-08-09,970.21,971.78,964.76,966.76
2012-08-08,980.33,981.28,971.81,972.85
2012-08-07,971.00,977.38,970.13,977.38
2012-08-06,971.65,975.92,969.91,972.16
2012-08-03,962.71,966.66,959.61,966.07
2012-08-02,961.02,962.79,959.07,962.50
2012-08-01,960.24,962.97,957.04,958.41
2012-07-31,955.83,959.70,952.92,959.20
2012-07-30,968.44,970.08,958.51,959.09
2012-07-27,953.66,963.31,953.66,962.53
2012-07-26,949.00,955.85,947.59,952.11
2012-07-25,943.10,949.19,941.02,944.87
2012-07-24,946.33,948.79,938.34,947.89
2012-07-23,952.93,960.40,948.21,948.21
2012-07-20,955.55,957.75,949.96,954.66
2012-07-19,968.93,969.46,959.09,959.63
2012-07-18,972.05,976.30,964.77,965.14
2012-07-17,961.53,969.14,958.11,966.26
2012-07-13,947.62,963.30,946.25,959.39
2012-07-12,949.66,952.30,945.69,946.18
2012-07-11,950.59,951.50,945.72,947.38
2012-07-10,958.25,961.59,950.68,951.29
2012-07-09,975.99,976.61,960.98,960.98
2012-07-06,980.30,980.30,972.09,979.26
2012-07-05,986.56,986.64,980.82,983.51
2012-07-04,995.16,995.50,982.70,986.54
2012-07-03,997.33,999.71,988.08,990.29
2012-07-02,997.35,1001.38,992.55,997.76
2012-06-29,982.54,994.40,979.72,983.85
2012-06-28,968.39,979.47,967.89,974.94
2012-06-27,956.54,966.65,955.22,965.61
2012-06-26,965.59,972.95,964.75,965.62
2012-06-25,975.63,976.29,968.51,971.93
2012-06-22,963.72,974.07,961.92,974.07
2012-06-21,964.32,972.39,964.32,970.19
2012-06-20,955.54,965.34,955.54,964.14
2012-06-19,936.62,951.48,936.62,946.71
2012-06-18,929.60,941.54,928.53,936.02
2012-06-15,919.29,923.78,912.98,923.78
2012-06-14,923.87,924.77,917.43,917.43
