日付,時刻,始値,高値,安値,終値
2011-12-30,後場,1137.52,1145.26,1136.99,1141.56
2011-12-30,前場,1137.37,1139.27,1133.30,1138.17
2011-12-29,後場,1139.08,1143.36,1128.05,1134.67
2011-12-29,前場,1134.86,1140.96,1134.86,1139.83
2011-12-28,後場,1133.51,1139.88,1132.50,1138.06
2011-12-28,前場,1123.59,1130.84,1121.81,1130.84
2011-12-27,後場,1120.04,1127.59,1117.53,1127.59
2011-12-27,前場,1122.29,1122.57,1119.32,1120.72
2011-12-26,後場,1119.45,1120.23,1112.78,1113.54
2011-12-26,前場,1117.43,1122.34,1117.43,1120.12
2011-12-22,後場,1129.19,1132.00,1114.28,1116.92
2011-12-22,前場,1123.27,1130.42,1118.48,1129.62
2011-12-21,後場,1125.95,1126.39,1114.53,1126.39
2011-12-21,前場,1129.05,1129.14,1122.26,1127.45
2011-12-20,後場,1128.38,1128.53,1119.82,1123.49
2011-12-20,前場,1136.70,1136.70,1127.87,1128.04
2011-12-19,後場,1131.39,1135.24,1124.64,1135.24
2011-12-19,前場,1125.72,1131.53,1122.78,1130.67
2011-12-16,後場,1119.77,1119.94,1117.22,1119.94
2011-12-16,前場,1115.95,1122.37,1114.32,1119.41
2011-12-15,後場,1113.58,1119.52,1110.70,1110.70
2011-12-15,前場,1113.36,1114.84,1109.82,1109.82
2011-12-14,後場,1120.00,1120.82,1113.74,1116.87
2011-12-14,前場,1116.85,1122.91,1114.92,1121.39
2011-12-13,後場,1119.18,1123.71,1116.61,1116.61
2011-12-13,前場,1108.68,1120.47,1108.68,1117.70
2011-12-12,後場,1122.34,1123.97,1110.32,1110.32
2011-12-12,前場,1119.52,1127.39,1116.48,1122.58
2011-12-09,後場,1112.82,1117.06,1110.06,1111.28
2011-12-09,前場,1112.34,1115.22,1109.63,1114.37
2011-12-08,後場,1114.59,1118.15,1110.46,1118.15
2011-12-08,前場,1116.67,1120.10,1115.12,1115.53
2011-12-07,後場,1097.65,1124.53,1097.65,1122.03
2011-12-07,前場,1103.75,1108.03,1095.62,1096.59
2011-12-06,後場,1120.82,1120.95,1107.93,1116.13
2011-12-06,前場,1127.46,1129.43,1123.67,1127.68
2011-12-05,後場,1111.10,1130.77,1110.12,1123.93
2011-12-05,前場,1111.44,1112.24,1106.04,1111.72
2011-12-02,後場,1094.11,1108.54,1091.77,1107.74
2011-12-02,前場,1097.96,1098.17,1089.71,1090.78
2011-12-01,後場,1096.50,1097.87,1091.97,1094.05
2011-12-01,前場,1108.98,1110.98,1094.60,1097.03
2011-11-30,後場,1086.69,1104.01,1086.69,1104.01
2011-11-30,前場,1082.49,1087.95,1079.13,1086.59
2011-11-29,後場,1066.94,1090.35,1066.66,1084.50
2011-11-29,前場,1055.67,1068.40,1055.67,1064.39
2011-11-28,後場,1059.34,1060.20,1045.52,1048.40
2011-11-28,前場,1058.56,1061.10,1054.07,1061.10
2011-11-25,後場,1061.45,1064.28,1057.26,1060.14
2011-11-25,前場,1064.63,1066.27,1060.30,1061.14
2011-11-24,後場,1073.72,1073.72,1060.43,1064.15
2011-11-24,前場,1071.16,1079.26,1070.64,1073.89
2011-11-22,後場,1066.82,1077.10,1066.19,1077.10
2011-11-22,前場,1057.07,1065.68,1053.60,1065.33
2011-11-21,後場,1069.88,1070.12,1059.85,1060.84
2011-11-21,前場,1077.66,1077.66,1070.31,1072.74
