日付,始値,高値,安値,終値
2017-12-22,2453.39,2454.04,2439.46,2444.67
2017-12-21,2454.78,2461.83,2444.89,2456.64
2017-12-20,2452.65,2461.71,2448.13,2458.81
2017-12-19,2464.45,2465.44,2453.73,2464.06
2017-12-18,2468.71,2474.00,2454.45,2466.48
2017-12-15,2467.21,2475.64,2454.98,2466.91
2017-12-14,2461.02,2478.42,2459.15,2469.87
2017-12-13,2437.03,2467.80,2437.03,2462.58
2017-12-12,2434.22,2444.97,2434.22,2438.04
2017-12-11,2433.34,2448.70,2432.00,2443.29
2017-12-08,2424.66,2442.77,2424.66,2434.25
2017-12-07,2427.44,2429.79,2421.51,2429.44
2017-12-06,2438.36,2442.05,2418.23,2433.45
2017-12-05,2437.74,2442.15,2429.84,2439.28
2017-12-04,2454.19,2460.37,2441.98,2442.06
2017-12-01,2466.76,2468.95,2448.69,2459.49
2017-11-30,2463.77,2466.84,2444.37,2458.99
2017-11-29,2471.48,2482.37,2452.06,2455.25
2017-11-28,2452.02,2476.63,2450.99,2474.92
2017-11-27,2473.75,2479.80,2450.81,2461.11
2017-11-24,2462.07,2481.79,2462.07,2480.43
2017-11-22,2476.83,2490.28,2465.15,2469.39
2017-11-21,2459.18,2491.59,2455.80,2474.99
2017-11-20,2418.03,2466.03,2415.56,2459.20
2017-11-17,2382.86,2421.79,2377.43,2414.03
2017-11-16,2354.23,2377.84,2353.74,2376.71
2017-11-15,2375.02,2377.65,2349.63,2362.32
2017-11-14,2355.39,2375.93,2349.36,2373.32
2017-11-13,2362.10,2375.40,2350.98,2350.98
2017-11-10,2362.93,2366.95,2346.68,2348.43
2017-11-09,2364.42,2377.55,2362.90,2368.80
2017-11-08,2375.62,2380.65,2368.33,2368.33
2017-11-07,2377.47,2378.63,2369.88,2378.63
2017-11-06,2392.37,2394.68,2373.71,2376.18
2017-11-02,2377.40,2392.53,2375.58,2391.54
2017-11-01,2379.03,2389.88,2376.62,2376.62
2017-10-31,2378.41,2387.80,2374.44,2381.63
2017-10-30,2374.90,2375.35,2361.89,2370.85
2017-10-27,2379.16,2379.93,2365.64,2371.85
2017-10-26,2370.85,2385.20,2364.03,2382.14
2017-10-25,2371.80,2377.72,2363.48,2367.34
2017-10-24,2365.93,2377.26,2357.00,2373.68
2017-10-23,2381.41,2381.41,2358.68,2365.88
2017-10-20,2370.93,2385.61,2360.23,2379.40
2017-10-19,2362.11,2383.11,2360.56,2371.10
2017-10-18,2358.85,2363.18,2342.89,2359.72
2017-10-17,2370.24,2370.24,2353.05,2368.66
2017-10-16,2372.44,2375.41,2361.60,2373.79
2017-10-13,2375.86,2379.81,2360.51,2368.63
2017-10-12,2386.75,2393.77,2377.37,2377.65
2017-10-11,2387.67,2395.62,2386.00,2389.81
2017-10-10,2394.46,2402.12,2385.00,2386.97
2017-10-06,2406.19,2412.75,2394.96,2397.05
2017-10-05,2404.51,2414.38,2404.06,2406.21
2017-10-04,2423.19,2424.85,2402.12,2405.10
2017-10-03,2412.98,2424.23,2411.00,2422.34
2017-10-02,2408.66,2416.61,2396.89,2413.17
2017-09-29,2415.35,2416.05,2404.70,2409.81
2017-09-28,2393.40,2412.56,2385.28,2412.56
2017-09-27,2399.35,2404.21,2387.94,2400.86
2017-09-26,2400.81,2414.26,2399.93,2414.26
2017-09-25,2408.16,2416.46,2405.22,2412.66
2017-09-22,2427.02,2429.00,2407.70,2410.24
2017-09-21,2439.38,2444.47,2423.21,2423.21
2017-09-20,2440.35,2448.15,2436.10,2443.31
2017-09-19,2445.16,2447.49,2431.34,2447.49
2017-09-15,2440.03,2447.57,2432.65,2438.90
2017-09-14,2437.54,2440.54,2424.49,2436.79
2017-09-13,2422.99,2437.01,2410.17,2437.01
2017-09-12,2419.23,2427.10,2413.70,2421.38
2017-09-11,2429.69,2430.71,2412.32,2415.18
2017-09-08,2431.55,2444.83,2424.51,2425.76
2017-09-07,2424.04,2443.33,2419.87,2443.33
2017-09-06,2413.54,2424.72,2404.97,2423.84
2017-09-05,2433.22,2433.22,2408.78,2416.57
2017-09-04,2429.11,2430.79,2415.45,2430.79
2017-09-01,2435.12,2441.13,2422.98,2426.03
2017-08-31,2436.47,2445.05,2431.30,2435.75
2017-08-30,2440.93,2442.80,2427.18,2434.99
2017-08-29,2431.60,2447.43,2423.76,2443.62
2017-08-28,2447.22,2455.95,2430.94,2455.09
2017-08-25,2469.51,2469.51,2441.81,2445.42
2017-08-24,2478.89,2483.65,2470.30,2471.38
2017-08-23,2477.97,2482.33,2470.33,2474.49
2017-08-22,2456.34,2478.52,2455.72,2476.00
2017-08-21,2452.75,2464.99,2450.31,2461.98
2017-08-18,2441.98,2465.55,2440.65,2462.33
