日付,時刻,始値,高値,安値,終値
2017-12-22,後場,2101.01,2104.22,2098.56,2100.86
2017-12-22,前場,2107.89,2107.89,2099.85,2100.15
2017-12-21,後場,2108.31,2112.44,2106.14,2107.60
2017-12-21,前場,2111.24,2113.53,2105.19,2107.80
2017-12-20,後場,2108.31,2114.61,2108.31,2112.09
2017-12-20,前場,2110.92,2112.31,2105.62,2110.53
2017-12-19,後場,2110.98,2114.88,2109.65,2114.21
2017-12-19,前場,2114.72,2115.13,2106.02,2109.05
2017-12-18,後場,2114.38,2121.38,2113.78,2121.38
2017-12-18,前場,2124.21,2125.46,2112.25,2112.64
2017-12-15,後場,2124.98,2124.98,2114.08,2122.71
2017-12-15,前場,2126.74,2129.70,2121.06,2124.03
2017-12-14,後場,2127.79,2130.19,2122.80,2130.19
2017-12-14,前場,2120.57,2134.21,2120.57,2130.20
2017-12-13,後場,2115.82,2124.12,2115.82,2122.21
2017-12-13,前場,2109.22,2120.65,2108.36,2117.66
2017-12-12,後場,2103.60,2107.20,2100.77,2106.85
2017-12-12,前場,2103.32,2106.49,2100.56,2103.13
2017-12-11,後場,2099.33,2110.20,2099.33,2106.47
2017-12-11,前場,2097.09,2103.57,2094.19,2098.05
2017-12-08,後場,2104.71,2108.56,2098.57,2098.57
2017-12-08,前場,2104.48,2107.32,2098.49,2106.29
2017-12-07,後場,2104.00,2105.15,2099.54,2101.58
2017-12-07,前場,2105.23,2106.22,2100.13,2105.23
2017-12-06,後場,2096.93,2108.48,2094.08,2108.48
2017-12-06,前場,2096.83,2101.48,2094.40,2099.51
2017-12-05,後場,2098.39,2101.87,2097.25,2098.45
2017-12-05,前場,2100.98,2106.60,2097.44,2097.68
2017-12-04,後場,2106.81,2112.48,2104.56,2104.56
2017-12-04,前場,2105.70,2111.73,2098.33,2105.60
2017-12-01,後場,2103.92,2111.31,2096.20,2107.32
2017-12-01,前場,2104.21,2107.35,2101.49,2105.06
2017-11-30,後場,2088.27,2100.88,2085.33,2096.89
2017-11-30,前場,2100.32,2100.71,2084.47,2091.24
2017-11-29,後場,2102.09,2102.69,2096.51,2100.78
2017-11-29,前場,2106.06,2112.08,2099.02,2103.38
2017-11-28,後場,2105.59,2108.14,2098.38,2108.14
2017-11-28,前場,2093.15,2109.83,2092.52,2109.83
2017-11-27,後場,2113.09,2115.22,2102.53,2113.30
2017-11-27,前場,2119.83,2126.64,2113.88,2114.28
2017-11-24,後場,2118.92,2123.25,2117.33,2120.61
2017-11-24,前場,2115.64,2120.23,2114.57,2119.36
2017-11-22,後場,2124.44,2125.58,2119.32,2120.46
2017-11-22,前場,2131.12,2137.23,2124.06,2124.62
2017-11-21,後場,2132.77,2137.47,2122.36,2124.69
2017-11-21,前場,2110.87,2135.35,2107.15,2133.13
2017-11-20,後場,2108.61,2110.50,2101.69,2103.83
2017-11-20,前場,2087.24,2109.34,2081.91,2109.34
2017-11-17,後場,2072.25,2084.27,2072.25,2082.60
2017-11-17,前場,2052.62,2077.99,2051.69,2071.12
2017-11-16,後場,2041.52,2052.66,2041.08,2052.56
2017-11-16,前場,2035.98,2041.25,2034.57,2040.81
2017-11-15,後場,2034.25,2037.33,2028.99,2037.33
2017-11-15,前場,2044.48,2044.48,2031.54,2033.44
2017-11-14,後場,2036.66,2046.10,2036.07,2046.10
2017-11-14,前場,2035.86,2036.27,2029.46,2035.09
2017-11-13,後場,2036.41,2037.04,2030.28,2031.54
2017-11-13,前場,2037.77,2040.82,2033.56,2037.37
2017-11-10,後場,2038.32,2039.08,2031.73,2031.73
2017-11-10,前場,2037.60,2044.49,2037.60,2038.60
2017-11-09,後場,2046.76,2047.49,2039.92,2041.45
2017-11-09,前場,2044.77,2048.89,2040.02,2047.66
2017-11-08,後場,2047.13,2048.56,2043.85,2047.66
2017-11-08,前場,2051.56,2052.76,2046.33,2047.50
2017-11-07,後場,2043.03,2049.48,2041.84,2048.76
2017-11-07,前場,2047.88,2047.88,2041.44,2044.37
2017-11-06,後場,2050.14,2050.25,2040.54,2046.59
2017-11-06,前場,2055.32,2058.30,2049.19,2050.71
2017-11-02,後場,2053.19,2058.35,2052.61,2058.03
2017-11-02,前場,2050.30,2056.41,2047.06,2054.31
2017-11-01,後場,2052.40,2054.52,2046.18,2046.18
2017-11-01,前場,2050.31,2057.66,2048.07,2053.69
2017-10-31,後場,2056.61,2058.07,2052.43,2052.43
2017-10-31,前場,2063.71,2063.85,2054.64,2054.64
2017-10-30,後場,2055.62,2060.51,2055.58,2055.58
2017-10-30,前場,2065.40,2065.40,2053.48,2053.48
2017-10-27,後場,2063.41,2066.00,2059.70,2064.21
2017-10-27,前場,2066.34,2066.96,2060.55,2063.10
2017-10-26,後場,2066.37,2070.93,2064.60,2069.13
2017-10-26,前場,2065.56,2070.68,2060.20,2066.72
2017-10-25,後場,2065.00,2067.38,2061.06,2063.43
2017-10-25,前場,2066.13,2070.43,2063.48,2064.50
2017-10-24,後場,2064.40,2082.12,2062.62,2078.47
2017-10-24,前場,2065.49,2066.60,2062.45,2063.99
2017-10-23,後場,2067.24,2072.50,2063.66,2071.62
2017-10-23,前場,2077.14,2077.14,2066.63,2067.36
2017-10-20,後場,2071.59,2080.53,2071.22,2074.63
2017-10-20,前場,2077.01,2077.16,2065.26,2070.54
2017-10-19,後場,2081.22,2085.41,2073.74,2080.08
2017-10-19,前場,2067.63,2082.87,2063.50,2082.87
2017-10-18,後場,2056.73,2067.14,2051.38,2067.14
