日付,始値,高値,安値,終値
2011-12-30,1054.84,1069.95,1054.84,1066.50
2011-12-29,1056.53,1058.42,1049.40,1056.02
2011-12-28,1053.77,1069.45,1050.57,1064.47
2011-12-27,1037.58,1065.19,1037.58,1064.17
2011-12-26,1041.58,1044.34,1036.35,1038.16
2011-12-22,1049.16,1052.12,1039.70,1042.89
2011-12-21,1052.59,1053.98,1048.39,1052.27
2011-12-20,1057.83,1060.87,1048.77,1052.54
2011-12-19,1050.59,1059.90,1049.63,1057.14
2011-12-16,1051.46,1053.56,1046.42,1047.98
2011-12-15,1056.28,1060.28,1047.60,1047.60
2011-12-14,1050.82,1059.93,1049.20,1055.12
2011-12-13,1047.82,1057.84,1047.21,1050.00
2011-12-12,1057.87,1060.45,1048.57,1054.20
2011-12-09,1058.09,1063.56,1053.36,1057.16
2011-12-08,1061.76,1065.00,1052.16,1054.70
2011-12-07,1062.40,1074.46,1049.37,1066.14
2011-12-06,1077.33,1082.42,1063.19,1070.33
2011-12-05,1069.00,1082.07,1062.14,1082.07
2011-12-02,1048.08,1065.69,1042.94,1062.97
2011-12-01,1071.23,1072.97,1043.75,1043.75
2011-11-30,1042.34,1059.02,1039.31,1059.02
2011-11-29,1020.68,1048.10,1020.13,1048.10
2011-11-28,1015.11,1016.12,1002.78,1002.88
2011-11-25,1038.35,1040.76,1024.46,1026.96
2011-11-24,1047.12,1047.20,1033.67,1034.29
2011-11-22,1033.90,1046.56,1030.87,1046.38
2011-11-21,1047.02,1047.14,1033.72,1037.17
