日付,時刻,始値,高値,安値,終値
2016-12-30,後場,1861.94,1868.48,1851.70,1855.83
2016-12-30,前場,1843.09,1857.83,1839.97,1857.30
2016-12-29,後場,1836.13,1841.81,1834.72,1838.06
2016-12-29,前場,1834.73,1837.47,1832.38,1836.08
2016-12-28,後場,1822.52,1841.18,1822.00,1834.18
2016-12-28,前場,1817.57,1826.06,1817.32,1821.99
2016-12-27,後場,1823.00,1828.75,1819.09,1828.75
2016-12-27,前場,1817.49,1823.19,1810.14,1822.14
2016-12-26,後場,1814.80,1827.40,1814.61,1823.11
2016-12-26,前場,1806.29,1813.11,1801.77,1812.97
2016-12-22,後場,1803.10,1810.54,1802.08,1808.90
2016-12-22,前場,1802.96,1806.50,1802.31,1803.08
2016-12-21,後場,1805.44,1809.31,1803.12,1804.95
2016-12-21,前場,1813.53,1814.00,1802.75,1805.68
2016-12-20,後場,1801.68,1817.77,1801.42,1814.28
2016-12-20,前場,1795.35,1804.55,1793.98,1802.02
2016-12-19,後場,1797.38,1802.22,1793.30,1793.30
2016-12-19,前場,1793.84,1798.77,1792.81,1795.85
2016-12-16,後場,1787.00,1793.21,1782.73,1793.10
2016-12-16,前場,1789.15,1793.60,1787.56,1787.56
2016-12-15,後場,1788.16,1792.02,1787.04,1787.51
2016-12-15,前場,1790.41,1794.18,1784.83,1786.04
2016-12-14,後場,1791.72,1793.06,1785.53,1793.06
2016-12-14,前場,1792.81,1797.25,1790.97,1792.89
2016-12-13,後場,1792.28,1792.99,1786.90,1788.89
2016-12-13,前場,1787.53,1794.28,1785.61,1793.80
2016-12-12,後場,1803.09,1804.53,1788.29,1790.14
2016-12-12,前場,1793.81,1804.32,1792.89,1801.00
2016-12-09,後場,1796.68,1797.51,1788.15,1790.15
2016-12-09,前場,1793.90,1800.34,1783.62,1798.04
2016-12-08,後場,1800.61,1803.32,1797.21,1803.32
2016-12-08,前場,1788.20,1800.18,1786.29,1799.53
2016-12-07,後場,1781.11,1789.95,1778.67,1789.86
2016-12-07,前場,1786.76,1787.60,1778.98,1779.91
2016-12-06,後場,1780.20,1783.69,1779.32,1783.69
2016-12-06,前場,1775.84,1784.35,1775.84,1779.34
2016-12-05,後場,1787.33,1787.33,1781.06,1781.49
2016-12-05,前場,1784.51,1792.30,1783.52,1784.42
