日付,始値,高値,安値,終値
2008-12-30,896.88,901.68,892.30,900.36
2008-12-29,900.67,908.67,888.46,889.34
2008-12-26,892.20,906.32,892.20,899.14
2008-12-25,889.12,896.02,881.36,888.75
2008-12-24,924.44,928.18,892.57,899.06
2008-12-22,937.91,944.90,922.18,925.23
2008-12-19,912.34,942.10,912.34,932.27
2008-12-18,914.81,931.40,904.70,904.70
2008-12-17,911.79,937.82,890.75,909.84
2008-12-16,911.21,924.68,900.79,901.18
2008-12-15,888.69,919.31,883.02,919.31
2008-12-12,899.95,902.26,878.83,897.14
2008-12-11,903.13,943.42,893.06,905.70
2008-12-10,817.20,909.85,817.20,905.18
2008-12-09,766.34,822.63,765.89,813.84
2008-12-08,745.89,758.23,734.65,758.23
2008-12-05,774.84,775.67,748.83,748.83
2008-12-04,793.98,798.34,774.11,781.98
2008-12-03,801.78,815.59,780.26,791.36
2008-12-02,796.51,801.40,773.12,793.92
2008-12-01,850.73,851.24,806.68,806.68
2008-11-28,814.62,857.82,814.46,857.60
2008-11-27,787.21,816.28,785.29,808.30
2008-11-26,770.39,795.45,767.59,792.05
2008-11-25,751.98,785.81,751.98,771.48
2008-11-21,724.55,773.47,717.54,748.89
2008-11-20,732.56,732.56,683.38,726.97
2008-11-19,771.70,773.84,737.29,742.65
2008-11-18,787.32,787.32,766.86,767.60
2008-11-17,782.79,794.70,758.55,794.70
2008-11-14,801.66,809.70,784.44,789.59
2008-11-13,810.66,811.13,783.96,792.59
2008-11-12,822.69,823.70,814.55,820.40
2008-11-11,825.72,832.58,815.35,822.93
2008-11-10,850.76,858.49,823.60,828.85
2008-11-07,832.56,847.41,804.27,841.80
2008-11-06,882.20,882.20,839.14,844.80
2008-11-05,928.75,950.23,888.10,892.54
2008-11-04,855.18,923.45,854.59,918.31
2008-10-31,831.22,881.51,822.93,863.21
2008-10-30,782.28,842.40,782.09,832.88
2008-10-29,714.59,789.08,714.59,776.50
2008-10-28,731.86,742.57,685.27,704.46
2008-10-27,797.68,806.82,733.56,740.30
2008-10-24,859.30,860.26,798.60,802.33
2008-10-23,813.95,861.31,788.52,856.40
2008-10-22,897.26,897.48,807.95,825.41
2008-10-21,839.69,912.27,839.69,904.61
2008-10-20,787.51,829.84,787.51,828.24
