日付,時刻,始値,高値,安値,終値
2011-12-30,後場,1179.55,1189.43,1177.72,1189.43
2011-12-30,前場,1176.31,1184.19,1174.80,1179.94
2011-12-29,後場,1171.61,1173.58,1169.10,1173.01
2011-12-29,前場,1169.05,1173.41,1163.84,1169.74
2011-12-28,後場,1165.57,1176.61,1165.17,1173.11
2011-12-28,前場,1163.28,1166.83,1161.25,1164.92
2011-12-27,後場,1168.36,1170.21,1165.70,1165.85
2011-12-27,前場,1171.23,1171.73,1165.52,1168.26
2011-12-26,後場,1173.14,1175.72,1171.34,1172.75
2011-12-26,前場,1184.22,1186.54,1171.91,1171.91
2011-12-22,後場,1176.80,1182.02,1176.69,1180.76
2011-12-22,前場,1187.95,1189.09,1177.64,1177.64
2011-12-21,後場,1193.70,1194.01,1186.33,1193.09
2011-12-21,前場,1199.96,1203.93,1191.52,1194.36
2011-12-20,後場,1188.96,1191.12,1187.57,1191.06
2011-12-20,前場,1172.92,1189.93,1171.54,1189.64
2011-12-19,後場,1173.58,1178.76,1164.18,1175.50
2011-12-19,前場,1189.55,1192.33,1175.93,1176.68
2011-12-16,後場,1186.62,1189.14,1182.96,1186.11
2011-12-16,前場,1179.78,1190.02,1179.78,1184.46
2011-12-15,後場,1176.02,1178.52,1169.73,1169.73
2011-12-15,前場,1189.05,1190.03,1175.60,1175.60
2011-12-14,後場,1206.05,1206.07,1198.99,1200.53
2011-12-14,前場,1212.77,1212.77,1201.67,1206.76
2011-12-13,後場,1212.29,1218.66,1212.29,1215.21
2011-12-13,前場,1215.57,1222.82,1213.71,1213.84
2011-12-12,後場,1224.86,1228.49,1220.63,1226.47
2011-12-12,前場,1219.68,1229.28,1219.68,1224.38
2011-12-09,後場,1203.93,1206.89,1202.02,1206.66
2011-12-09,前場,1196.23,1208.93,1194.53,1204.41
2011-12-08,後場,1195.06,1207.21,1195.02,1207.19
2011-12-08,前場,1197.32,1200.78,1192.82,1197.20
2011-12-07,後場,1200.01,1203.94,1195.61,1203.94
2011-12-07,前場,1184.15,1200.75,1181.82,1200.18
2011-12-06,後場,1200.67,1201.13,1185.44,1185.99
2011-12-06,前場,1212.10,1213.40,1201.34,1202.71
2011-12-05,後場,1202.93,1214.33,1202.93,1214.33
2011-12-05,前場,1192.10,1202.29,1188.27,1201.35
