日付,始値,高値,安値,終値
2010-12-30,1303.43,1304.36,1288.01,1304.29
2010-12-29,1309.12,1313.77,1304.27,1306.60
2010-12-28,1303.60,1311.19,1302.68,1308.04
2010-12-27,1308.07,1316.87,1302.31,1303.89
2010-12-24,1286.27,1305.21,1286.27,1305.13
2010-12-22,1303.58,1310.30,1287.41,1291.07
2010-12-21,1298.05,1302.63,1293.37,1302.63
2010-12-20,1286.82,1304.79,1285.75,1293.70
2010-12-17,1274.74,1283.53,1272.79,1281.24
2010-12-16,1267.67,1277.60,1265.32,1275.01
2010-12-15,1269.02,1276.23,1260.15,1269.69
2010-12-14,1236.41,1259.96,1233.05,1259.75
2010-12-13,1212.90,1232.28,1212.00,1231.22
2010-12-10,1196.08,1209.58,1192.35,1207.75
2010-12-09,1204.23,1204.45,1192.21,1195.94
2010-12-08,1205.32,1220.82,1194.69,1200.45
2010-12-07,1207.10,1209.08,1197.69,1201.97
2010-12-06,1187.12,1205.22,1185.68,1205.22
2010-12-03,1179.22,1180.96,1174.82,1180.42
2010-12-02,1176.73,1183.20,1173.56,1175.87
2010-12-01,1159.36,1165.76,1156.86,1164.94
2010-11-30,1164.43,1168.71,1150.32,1157.96
2010-11-29,1160.17,1167.76,1157.71,1161.60
2010-11-26,1175.01,1175.01,1153.38,1155.51
2010-11-25,1167.14,1174.50,1162.29,1172.56
2010-11-24,1133.16,1158.06,1126.55,1155.75
2010-11-22,1130.73,1151.76,1127.57,1151.55
2010-11-19,1128.53,1131.88,1120.59,1125.60
2010-11-18,1111.50,1125.14,1111.43,1120.25
2010-11-17,1092.77,1109.25,1092.77,1108.65
2010-11-16,1110.66,1112.28,1098.26,1099.55
2010-11-15,1111.51,1114.87,1106.43,1109.18
2010-11-12,1110.95,1114.55,1106.23,1110.65
2010-11-11,1107.72,1115.10,1107.47,1113.87
2010-11-10,1096.79,1107.99,1096.63,1104.71
2010-11-09,1094.73,1096.54,1088.00,1093.63
2010-11-08,1076.04,1097.16,1075.35,1096.35
2010-11-05,1057.70,1073.19,1057.70,1069.41
2010-11-04,1042.68,1052.11,1042.19,1051.10
2010-11-02,1051.26,1056.91,1041.92,1042.24
2010-11-01,1047.17,1057.40,1042.71,1051.62
2010-10-29,1044.27,1049.76,1038.77,1047.54
2010-10-28,1056.73,1058.11,1044.30,1044.30
2010-10-27,1056.10,1062.79,1053.25,1056.22
2010-10-26,1068.08,1074.36,1058.21,1058.21
2010-10-25,1058.18,1071.08,1057.24,1065.83
2010-10-22,1036.25,1054.03,1035.36,1054.00
2010-10-21,1042.34,1048.95,1037.88,1038.13
2010-10-20,1034.56,1040.43,1031.04,1039.27
2010-10-19,1033.72,1041.15,1033.41,1041.15
2010-10-18,1034.73,1045.76,1034.60,1036.87
2010-10-15,1057.13,1057.53,1037.25,1041.58
2010-10-14,1068.33,1070.81,1059.69,1063.00
2010-10-13,1081.50,1085.28,1067.53,1067.89
2010-10-12,1104.85,1108.58,1083.60,1083.60
