日付,時刻,始値,高値,安値,終値
2014-12-30,後場,3605.18,3646.87,3569.52,3631.97
2014-12-30,前場,3619.40,3653.47,3591.98,3600.57
2014-12-29,後場,3660.01,3663.88,3612.86,3636.92
2014-12-29,前場,3688.34,3702.84,3643.06,3655.58
2014-12-26,後場,3702.27,3710.64,3669.68,3693.74
2014-12-26,前場,3604.38,3705.91,3597.61,3704.78
2014-12-25,後場,3590.50,3631.12,3566.56,3582.88
2014-12-25,前場,3577.88,3663.99,3567.07,3591.24
2014-12-24,後場,3611.44,3630.72,3551.88,3557.00
2014-12-24,前場,3694.08,3694.99,3615.30,3615.76
2014-12-22,後場,3684.53,3743.11,3676.56,3714.96
2014-12-22,前場,3834.29,3838.84,3656.66,3683.33
2014-12-19,後場,3818.65,3895.95,3817.86,3839.98
2014-12-19,前場,3806.82,3816.43,3785.15,3798.17
2014-12-18,後場,3775.08,3789.24,3757.56,3779.52
2014-12-18,前場,3783.10,3803.29,3756.60,3778.10
2014-12-17,後場,3776.67,3786.00,3737.77,3739.76
2014-12-17,前場,3743.97,3800.85,3732.71,3788.90
2014-12-16,後場,3832.30,3842.43,3771.90,3776.79
2014-12-16,前場,3853.46,3893.73,3788.85,3836.34
2014-12-15,後場,3977.80,3995.38,3875.36,3909.60
2014-12-15,前場,3892.20,4017.05,3889.41,3982.75
2014-12-12,後場,3882.93,3908.47,3866.43,3890.09
2014-12-12,前場,3908.75,3908.75,3879.68,3879.68
2014-12-11,後場,3877.01,3902.49,3866.89,3885.94
2014-12-11,前場,3815.92,3885.43,3815.92,3878.21
2014-12-10,後場,3830.08,3875.02,3812.79,3873.03
2014-12-10,前場,3785.60,3855.74,3764.62,3824.74
2014-12-09,後場,3889.47,3889.47,3818.14,3834.46
2014-12-09,前場,3880.99,3906.59,3870.47,3893.11
2014-12-08,後場,3947.66,3956.19,3900.50,3902.61
2014-12-08,前場,4011.13,4018.42,3940.66,3943.28
2014-12-05,後場,3954.25,3987.13,3938.44,3976.95
2014-12-05,前場,3943.85,3961.02,3927.69,3946.75
2014-12-04,後場,3943.96,3958.52,3916.49,3931.10
2014-12-04,前場,3964.49,3969.33,3933.04,3944.24
2014-12-03,後場,3989.46,4008.92,3956.36,3965.97
