日付,始値,高値,安値,終値
2014-12-30,3619.40,3653.47,3569.52,3631.97
2014-12-29,3688.34,3702.84,3612.86,3636.92
2014-12-26,3604.38,3710.64,3597.61,3693.74
2014-12-25,3577.88,3663.99,3566.56,3582.88
2014-12-24,3694.08,3694.99,3551.88,3557.00
2014-12-22,3834.29,3838.84,3656.66,3714.96
2014-12-19,3806.82,3895.95,3785.15,3839.98
2014-12-18,3783.10,3803.29,3756.60,3779.52
2014-12-17,3743.97,3800.85,3732.71,3739.76
2014-12-16,3853.46,3893.73,3771.90,3776.79
2014-12-15,3892.20,4017.05,3875.36,3909.60
2014-12-12,3908.75,3908.75,3866.43,3890.09
2014-12-11,3815.92,3902.49,3815.92,3885.94
2014-12-10,3785.60,3875.02,3764.62,3873.03
2014-12-09,3880.99,3906.59,3818.14,3834.46
2014-12-08,4011.13,4018.42,3900.50,3902.61
2014-12-05,3943.85,3987.13,3927.69,3976.95
2014-12-04,3964.49,3969.33,3916.49,3931.10
2014-12-03,4022.17,4049.42,3956.36,3965.97
2014-12-02,3958.63,4049.02,3932.24,4032.75
2014-12-01,3931.33,3981.73,3924.16,3967.62
2014-11-28,3887.19,3960.34,3887.19,3950.04
2014-11-27,3967.85,3967.85,3881.50,3890.09
2014-11-26,3938.27,3990.77,3933.89,3974.39
2014-11-25,3881.62,3952.89,3857.05,3952.89
2014-11-21,3763.25,3869.84,3752.90,3859.55
2014-11-20,3874.11,3903.35,3801.87,3817.34
2014-11-19,3907.16,3911.14,3854.94,3863.59
2014-11-18,3749.09,3896.46,3747.10,3896.46
2014-11-17,3879.46,3907.10,3753.92,3764.79
2014-11-14,3918.76,3953.97,3781.85,3855.74
2014-11-13,4076.26,4091.85,3934.80,3943.79
2014-11-12,4164.37,4178.36,4094.41,4109.82
2014-11-11,4164.82,4176.54,4107.94,4120.23
2014-11-10,4185.59,4188.26,4085.36,4146.22
2014-11-07,4291.10,4325.40,4208.34,4218.69
2014-11-06,4179.90,4381.77,4165.11,4300.31
2014-11-05,4080.93,4140.54,4054.76,4130.81
2014-11-04,4033.66,4188.20,4031.73,4092.99
2014-10-31,3896.92,4005.96,3887.59,3965.80
2014-10-30,3901.37,3952.64,3840.37,3855.91
2014-10-29,4038.78,4074.69,3902.96,3933.30
2014-10-28,3969.22,4077.81,3952.33,4061.35
2014-10-27,3984.27,4011.19,3914.46,3956.12
2014-10-24,3990.14,4012.04,3946.03,3958.33
