日付,時刻,始値,高値,安値,終値
2017-12-12,後場,1182.63,1182.63,1177.04,1181.62
2017-12-12,前場,1181.54,1186.76,1178.92,1182.42
2017-12-11,後場,1179.59,1180.88,1178.57,1179.04
2017-12-11,前場,1175.33,1184.09,1172.55,1179.33
2017-12-08,後場,1164.46,1169.32,1162.86,1169.32
2017-12-08,前場,1166.25,1170.08,1161.54,1163.32
2017-12-07,後場,1152.44,1160.60,1151.69,1159.15
2017-12-07,前場,1144.68,1156.25,1144.68,1152.10
2017-12-06,後場,1148.04,1148.04,1131.55,1136.75
2017-12-06,前場,1143.73,1160.63,1143.53,1151.64
2017-12-05,後場,1141.82,1145.14,1141.24,1143.47
2017-12-05,前場,1152.71,1155.70,1134.96,1140.65
2017-12-04,後場,1170.63,1171.60,1155.34,1155.56
2017-12-04,前場,1174.04,1181.28,1166.95,1169.53
2017-12-01,後場,1170.55,1171.11,1167.09,1169.06
2017-12-01,前場,1170.33,1172.59,1164.14,1169.45
2017-11-30,後場,1157.27,1167.36,1157.27,1167.20
2017-11-30,前場,1163.92,1164.31,1148.47,1156.32
2017-11-29,後場,1166.99,1167.13,1160.43,1165.84
2017-11-29,前場,1166.85,1175.16,1165.85,1167.54
2017-11-28,後場,1168.89,1168.89,1163.26,1165.65
2017-11-28,前場,1176.98,1177.78,1155.63,1169.56
2017-11-27,後場,1172.21,1175.54,1170.57,1173.07
2017-11-27,前場,1168.73,1178.90,1168.73,1172.15
2017-11-24,後場,1161.64,1163.70,1159.08,1162.75
2017-11-24,前場,1152.48,1162.75,1152.23,1161.79
2017-11-22,後場,1153.38,1155.29,1149.80,1154.00
2017-11-22,前場,1155.77,1158.24,1149.95,1152.55
2017-11-21,後場,1149.81,1153.61,1147.48,1153.06
2017-11-21,前場,1146.84,1151.07,1142.57,1150.41
2017-11-20,後場,1142.84,1145.68,1139.99,1145.13
2017-11-20,前場,1131.36,1144.12,1131.26,1142.94
2017-11-17,後場,1124.91,1133.11,1121.47,1132.88
2017-11-17,前場,1131.26,1132.37,1122.50,1122.93
2017-11-16,後場,1117.54,1122.03,1114.16,1121.12
2017-11-16,前場,1097.05,1117.60,1096.73,1116.91
2017-11-15,後場,1108.29,1108.52,1086.54,1097.07
2017-11-15,前場,1121.34,1123.72,1106.62,1108.22
2017-11-14,後場,1136.00,1136.34,1122.00,1123.17
2017-11-14,前場,1134.27,1138.82,1129.27,1134.67
2017-11-13,後場,1137.27,1139.32,1131.61,1131.61
2017-11-13,前場,1144.37,1144.37,1130.82,1135.66
2017-11-10,後場,1138.40,1144.75,1136.55,1143.67
2017-11-10,前場,1121.77,1139.73,1119.68,1137.82
2017-11-09,後場,1146.05,1146.69,1117.78,1132.71
2017-11-09,前場,1135.58,1152.67,1135.58,1147.52
2017-11-08,後場,1124.93,1130.14,1123.96,1129.95
2017-11-08,前場,1125.98,1129.72,1123.32,1124.42
2017-11-07,後場,1125.46,1127.70,1123.07,1126.75
2017-11-07,前場,1120.26,1126.24,1119.97,1124.02
2017-11-06,後場,1123.49,1123.70,1117.41,1119.13
2017-11-06,前場,1130.85,1131.96,1122.60,1123.41
2017-11-02,後場,1133.64,1133.64,1127.51,1132.00
2017-11-02,前場,1142.86,1143.07,1130.18,1133.02
2017-11-01,後場,1136.88,1142.73,1136.12,1141.02
2017-11-01,前場,1138.39,1141.86,1135.55,1136.55
2017-10-31,後場,1129.27,1135.10,1128.65,1134.03
2017-10-31,前場,1125.60,1128.71,1119.13,1128.47
2017-10-30,後場,1125.21,1129.14,1123.34,1129.14
2017-10-30,前場,1121.56,1130.54,1119.77,1124.82
2017-10-27,後場,1112.80,1114.57,1109.92,1113.71
2017-10-27,前場,1104.22,1113.22,1103.95,1113.22
2017-10-26,後場,1095.51,1102.22,1094.73,1101.57
2017-10-26,前場,1093.30,1098.17,1091.54,1094.85
2017-10-25,後場,1103.42,1104.49,1092.45,1093.99
2017-10-25,前場,1101.83,1107.27,1099.05,1102.08
2017-10-24,後場,1094.57,1099.10,1094.21,1097.97
2017-10-24,前場,1096.26,1096.26,1088.41,1093.90
2017-10-23,後場,1091.68,1099.55,1090.92,1098.55
2017-10-23,前場,1091.70,1092.79,1086.34,1091.53
2017-10-20,後場,1084.11,1086.16,1080.04,1084.87
2017-10-20,前場,1086.12,1087.38,1078.94,1083.85
2017-10-19,後場,1086.75,1087.85,1082.93,1087.17
2017-10-19,前場,1082.08,1087.31,1079.57,1087.14
2017-10-18,後場,1087.17,1087.17,1079.58,1081.15
2017-10-18,前場,1086.51,1089.25,1083.11,1086.66
2017-10-17,後場,1082.26,1086.88,1082.26,1085.66
2017-10-17,前場,1088.73,1091.94,1081.24,1081.89
2017-10-16,後場,1088.26,1089.78,1086.22,1087.43
