日付,始値,高値,安値,終値
2016-12-30,925.72,946.92,925.72,942.68
2016-12-29,934.39,935.60,921.11,931.44
2016-12-28,929.77,939.61,929.19,938.52
2016-12-27,922.16,930.29,922.16,927.18
2016-12-26,904.77,921.39,904.52,920.54
2016-12-22,917.83,917.83,902.43,905.31
2016-12-21,930.86,931.16,918.51,918.51
2016-12-20,919.60,929.27,919.27,928.27
2016-12-19,925.57,926.19,918.51,920.01
2016-12-16,932.55,935.97,925.33,927.02
2016-12-15,936.84,938.35,925.44,931.11
2016-12-14,946.95,951.21,932.46,932.68
2016-12-13,919.66,941.45,919.55,941.27
2016-12-12,912.93,927.71,911.34,922.04
2016-12-09,886.79,905.64,885.88,904.95
2016-12-08,897.12,902.45,888.55,888.55
2016-12-07,899.76,902.14,894.89,897.92
2016-12-06,907.91,912.37,898.94,898.94
2016-12-05,904.02,909.30,901.91,902.76
2016-12-02,918.91,919.93,901.05,907.02
2016-12-01,924.69,928.70,916.98,919.98
2016-11-30,922.55,927.99,920.24,922.48
2016-11-29,918.87,926.69,916.57,921.47
2016-11-28,911.59,921.71,908.50,921.17
2016-11-25,922.35,923.91,905.75,911.65
2016-11-24,933.42,933.91,923.56,924.11
2016-11-22,925.07,930.80,920.98,929.41
2016-11-21,923.46,927.82,919.03,924.32
2016-11-18,924.61,927.00,915.35,918.46
2016-11-17,903.76,920.72,903.02,920.45
2016-11-16,888.94,908.25,887.86,907.15
2016-11-15,871.40,887.38,858.51,886.21
2016-11-14,858.87,873.18,857.88,870.29
2016-11-11,878.22,879.22,857.85,860.64
2016-11-10,844.31,876.06,843.59,873.02
2016-11-09,878.23,881.64,798.86,829.40
2016-11-08,885.34,888.75,875.66,875.99
2016-11-07,879.29,884.67,866.91,880.29
2016-11-04,883.43,883.81,867.71,872.29
2016-11-02,913.64,915.01,886.02,892.65
2016-11-01,936.11,936.74,923.75,923.75
2016-10-31,935.52,941.67,934.10,936.23
2016-10-28,936.94,938.35,928.41,935.68
2016-10-27,939.32,939.67,932.87,936.27
2016-10-26,935.11,945.59,935.11,939.01
2016-10-25,949.68,949.96,933.75,936.43
2016-10-24,956.50,959.25,948.76,949.65
2016-10-21,959.67,967.15,953.33,953.33
2016-10-20,960.59,963.49,954.90,955.81
2016-10-19,950.65,960.34,950.34,959.83
2016-10-18,942.24,949.56,941.87,949.10
2016-10-17,937.73,942.04,930.54,941.79
2016-10-14,937.82,942.43,934.32,937.60
2016-10-13,940.41,942.70,934.46,938.22
2016-10-12,943.69,947.84,938.66,939.44
2016-10-11,954.42,956.95,948.19,948.76
2016-10-07,957.52,957.95,949.94,951.47
2016-10-06,964.40,965.67,957.89,961.25
2016-10-05,957.82,961.23,954.86,960.44
2016-10-04,956.07,958.78,950.95,956.02
2016-10-03,952.23,956.54,948.07,951.63
2016-09-30,948.90,953.14,945.12,948.17
2016-09-29,960.62,960.94,950.54,958.15
2016-09-28,948.79,957.18,947.53,956.62
2016-09-27,932.72,945.14,925.06,945.14
2016-09-26,949.80,952.82,939.06,939.73
2016-09-23,923.95,944.81,923.69,944.81
2016-09-21,905.75,918.51,903.44,918.51
2016-09-20,907.17,911.97,904.59,905.13
2016-09-16,911.99,915.71,907.23,911.73
2016-09-15,915.62,922.61,904.23,908.02
2016-09-14,937.28,938.65,915.61,919.20
2016-09-13,945.56,949.95,941.06,943.75
2016-09-12,954.65,963.41,937.23,938.61
2016-09-09,955.66,969.20,950.33,968.72
2016-09-08,956.79,958.90,944.64,952.86
2016-09-07,933.87,957.44,932.98,956.93
2016-09-06,932.26,939.95,931.52,939.58
2016-09-05,917.28,931.24,916.36,930.19
2016-09-02,908.34,918.31,907.57,911.04
2016-09-01,905.89,910.97,902.11,910.50
2016-08-31,902.31,905.56,895.28,903.91
2016-08-30,898.71,903.66,894.29,899.56
2016-08-29,901.22,902.45,894.76,896.89
2016-08-26,909.36,909.94,894.14,894.14
2016-08-25,917.43,917.92,909.14,909.75
2016-08-24,912.04,915.09,906.79,914.73
2016-08-23,901.51,917.02,898.19,910.10
