日付,時刻,始値,高値,安値,終値
2010-12-30,後場,958.86,963.76,958.86,959.02
2010-12-30,前場,966.76,967.25,957.99,958.44
2010-12-29,後場,966.85,969.44,966.52,969.44
2010-12-29,前場,961.63,965.44,961.62,965.19
2010-12-28,後場,962.95,963.74,962.19,962.42
2010-12-28,前場,963.00,964.23,962.62,963.91
2010-12-27,後場,964.55,965.82,963.03,964.02
2010-12-27,前場,960.05,964.27,959.99,963.75
2010-12-24,後場,960.16,960.27,958.73,960.27
2010-12-24,前場,961.89,963.02,960.11,960.48
2010-12-22,後場,968.27,969.01,964.08,966.09
2010-12-22,前場,967.28,970.14,967.17,968.14
2010-12-21,後場,968.91,971.23,968.37,969.44
2010-12-21,前場,964.65,966.36,963.97,966.36
2010-12-20,後場,963.37,963.51,959.08,962.06
2010-12-20,前場,967.43,969.21,966.45,966.83
2010-12-17,後場,967.34,967.79,965.86,966.86
2010-12-17,前場,966.79,969.20,966.13,967.63
2010-12-16,後場,968.20,970.75,966.77,967.57
2010-12-16,前場,965.54,968.98,964.56,968.86
2010-12-15,後場,965.18,967.96,963.27,966.73
2010-12-15,前場,968.27,968.62,965.06,965.60
2010-12-14,後場,962.17,966.29,961.11,966.29
2010-12-14,前場,959.87,964.31,959.87,962.49
2010-12-13,後場,952.79,959.71,952.79,959.71
2010-12-13,前場,949.03,952.47,947.05,952.47
2010-12-10,後場,949.85,951.49,947.71,947.85
2010-12-10,前場,955.00,955.00,946.53,949.96
2010-12-09,後場,948.65,951.64,948.14,951.55
2010-12-09,前場,951.59,953.47,948.92,949.39
2010-12-08,後場,945.56,950.12,945.44,950.12
2010-12-08,前場,944.45,950.09,943.75,945.82
2010-12-07,後場,938.45,941.89,938.09,940.62
2010-12-07,前場,940.26,940.34,936.22,937.69
2010-12-06,後場,939.50,941.93,939.34,941.73
2010-12-06,前場,938.85,941.65,938.85,939.74
2010-12-03,後場,937.78,938.82,936.61,938.23
2010-12-03,前場,942.32,943.92,937.76,937.79
2010-12-02,後場,938.09,938.09,935.12,936.12
2010-12-02,前場,936.46,938.70,934.96,936.83
2010-12-01,後場,917.61,923.94,917.53,923.94
2010-12-01,前場,918.67,920.97,916.84,918.63
2010-11-30,後場,928.90,928.90,919.87,919.87
2010-11-30,前場,932.90,935.29,931.42,932.90
2010-11-29,後場,932.64,937.28,932.64,935.17
2010-11-29,前場,929.44,937.12,929.11,931.58
2010-11-26,後場,930.97,931.69,927.70,927.70
2010-11-26,前場,930.97,935.72,929.07,930.95
2010-11-25,後場,931.32,935.15,931.18,931.23
2010-11-25,前場,933.57,933.57,927.77,931.06
2010-11-24,後場,927.78,930.09,926.50,926.63
2010-11-24,前場,921.34,931.07,918.22,929.41
2010-11-22,後場,933.41,937.03,933.38,934.80
