日付,始値,高値,安値,終値
2010-12-30,966.76,967.25,957.99,959.02
2010-12-29,961.63,969.44,961.62,969.44
2010-12-28,963.00,964.23,962.19,962.42
2010-12-27,960.05,965.82,959.99,964.02
2010-12-24,961.89,963.02,958.73,960.27
2010-12-22,967.28,970.14,964.08,966.09
2010-12-21,964.65,971.23,963.97,969.44
2010-12-20,967.43,969.21,959.08,962.06
2010-12-17,966.79,969.20,965.86,966.86
2010-12-16,965.54,970.75,964.56,967.57
2010-12-15,968.27,968.62,963.27,966.73
2010-12-14,959.87,966.29,959.87,966.29
2010-12-13,949.03,959.71,947.05,959.71
2010-12-10,955.00,955.00,946.53,947.85
2010-12-09,951.59,953.47,948.14,951.55
2010-12-08,944.45,950.12,943.75,950.12
2010-12-07,940.26,941.89,936.22,940.62
2010-12-06,938.85,941.93,938.85,941.73
2010-12-03,942.32,943.92,936.61,938.23
2010-12-02,936.46,938.70,934.96,936.12
2010-12-01,918.67,923.94,916.84,923.94
2010-11-30,932.90,935.29,919.87,919.87
2010-11-29,929.44,937.28,929.11,935.17
2010-11-26,930.97,935.72,927.70,927.70
2010-11-25,933.57,935.15,927.77,931.23
2010-11-24,921.34,931.07,918.22,926.63
2010-11-22,933.69,937.03,931.68,934.80
2010-11-19,933.51,933.51,924.98,926.58
2010-11-18,907.95,925.83,907.14,925.83
2010-11-17,896.81,907.05,896.37,906.45
2010-11-16,913.65,914.92,902.43,904.33
2010-11-15,910.04,910.74,905.90,910.39
2010-11-12,909.92,915.21,906.09,906.09
2010-11-11,912.81,916.28,910.97,914.13
2010-11-10,903.17,912.81,902.92,910.51
2010-11-09,899.15,903.73,897.56,900.55
2010-11-08,901.41,902.16,897.52,902.16
2010-11-05,889.24,900.29,888.98,895.91
2010-11-04,873.25,882.68,872.81,878.13
2010-11-02,862.93,864.88,860.34,863.57
2010-11-01,866.60,870.51,862.03,863.69
2010-10-29,869.18,871.63,859.84,870.30
2010-10-28,875.93,876.59,871.23,871.77
2010-10-27,880.68,883.23,872.75,877.95
2010-10-26,878.12,882.85,875.74,876.84
2010-10-25,884.68,886.31,879.41,880.05
2010-10-22,882.17,888.95,881.28,885.95
2010-10-21,885.09,886.51,875.38,880.93
2010-10-20,885.21,885.90,875.99,884.40
2010-10-19,891.76,900.09,891.15,894.84
2010-10-18,885.90,895.56,885.66,891.02
2010-10-15,893.63,893.63,883.28,884.68
2010-10-14,892.68,898.91,890.65,895.93
2010-10-13,890.75,893.56,883.44,883.82
2010-10-12,910.36,910.58,883.52,883.79
2010-10-08,912.95,914.68,905.00,905.00
2010-10-07,909.21,917.38,909.21,914.21
2010-10-06,905.32,911.94,902.84,911.71
2010-10-05,886.01,901.59,883.23,899.85
2010-10-04,898.95,902.11,888.20,889.39
2010-10-01,904.84,904.84,893.30,898.34
2010-09-30,918.60,919.82,899.96,900.30
2010-09-29,912.40,919.38,911.53,917.58
2010-09-28,911.51,913.56,908.41,910.60
2010-09-27,912.94,916.64,908.91,916.64
2010-09-24,907.12,916.17,904.07,906.44
2010-09-22,916.67,919.81,914.08,915.69
2010-09-21,928.40,928.61,917.79,918.59
2010-09-17,920.19,924.17,918.14,922.22
2010-09-16,927.20,927.20,912.51,914.54
2010-09-15,903.63,924.69,900.72,920.10
2010-09-14,909.72,910.91,904.00,906.01
2010-09-13,912.66,915.15,908.52,909.02
2010-09-10,903.33,913.18,903.07,906.15
2010-09-09,899.92,900.53,895.57,900.03
2010-09-08,897.55,897.71,888.83,892.89
2010-09-07,907.19,913.41,904.97,907.77
2010-09-06,902.93,913.34,900.23,913.34
2010-09-03,894.37,899.25,892.11,896.74
2010-09-02,892.63,892.98,883.79,892.16
2010-09-01,873.11,881.64,868.83,881.64
2010-08-31,888.83,889.08,872.04,872.68
2010-08-30,901.06,911.56,898.38,900.47
2010-08-27,871.81,891.86,871.69,889.60
2010-08-26,878.94,878.94,871.37,878.76
2010-08-25,875.66,881.19,871.21,874.72
2010-08-24,882.36,886.57,878.93,882.83
2010-08-23,892.63,893.81,888.03,889.83
2010-08-20,901.40,904.04,894.07,894.70
2010-08-19,905.27,912.23,905.23,912.16
2010-08-18,905.76,908.17,895.95,905.49
2010-08-17,891.96,899.47,890.79,898.38
2010-08-16,893.63,900.53,890.85,899.99
2010-08-13,896.90,903.87,891.23,902.17
2010-08-12,889.98,897.26,887.02,897.26
2010-08-11,915.93,916.06,903.43,903.80
2010-08-10,933.07,935.06,921.92,925.13
2010-08-09,924.66,930.68,924.66,930.68
2010-08-06,922.62,932.31,921.41,932.25
2010-08-05,927.82,931.74,923.25,929.05
2010-08-04,925.97,926.33,914.83,916.73
2010-08-03,933.84,936.02,927.35,931.47
2010-08-02,926.67,934.22,920.66,922.54
2010-07-30,938.03,938.03,922.01,924.17
2010-07-29,937.64,944.04,937.54,940.75
2010-07-28,936.33,945.40,935.78,945.05
2010-07-27,928.42,931.46,926.40,927.29
2010-07-26,931.40,934.25,928.36,928.76
2010-07-23,921.39,927.68,919.20,923.86
2010-07-22,908.14,912.47,906.23,908.15
2010-07-21,924.62,924.71,911.88,913.53
2010-07-20,911.49,922.86,910.41,917.39
2010-07-16,933.09,934.74,919.78,921.24
2010-07-15,943.94,944.26,938.55,939.08
2010-07-14,947.36,954.51,945.58,950.67
2010-07-13,942.43,944.85,931.92,933.18
2010-07-12,942.08,948.70,938.46,938.79
2010-07-09,945.49,946.49,939.79,944.43
2010-07-08,939.94,946.11,939.43,943.92
2010-07-07,928.98,929.00,919.55,924.24
2010-07-06,914.79,930.57,909.03,930.57
2010-07-05,917.47,923.73,917.04,921.96
2010-07-02,914.72,917.82,909.08,915.46
