日付,時刻,始値,高値,安値,終値
2010-12-30,後場,902.40,906.64,902.12,902.30
2010-12-30,前場,909.48,910.25,901.46,901.85
2010-12-29,後場,910.04,911.78,909.71,911.78
2010-12-29,前場,907.49,909.51,905.86,908.71
2010-12-28,後場,908.67,909.47,907.77,907.77
2010-12-28,前場,909.84,911.26,908.66,909.38
2010-12-27,後場,910.56,912.24,909.84,910.16
2010-12-27,前場,907.52,910.39,907.15,909.65
2010-12-24,後場,906.24,907.10,905.47,907.10
2010-12-24,前場,906.56,909.02,905.52,906.17
2010-12-22,後場,913.23,913.84,908.12,910.39
2010-12-22,前場,909.00,913.91,908.60,912.86
2010-12-21,後場,909.15,911.17,908.82,908.94
2010-12-21,前場,904.00,906.14,903.50,906.07
2010-12-20,後場,900.38,901.80,896.49,900.18
2010-12-20,前場,905.66,906.47,903.25,903.54
2010-12-17,後場,904.81,905.11,903.23,904.68
2010-12-17,前場,906.03,908.73,904.15,904.57
2010-12-16,後場,906.50,909.97,905.47,905.75
2010-12-16,前場,902.91,906.85,902.31,906.61
2010-12-15,後場,903.81,906.14,902.26,903.96
2010-12-15,前場,907.65,907.65,902.92,903.97
2010-12-14,後場,900.99,903.93,899.73,903.93
2010-12-14,前場,898.92,903.49,898.81,901.28
2010-12-13,後場,893.29,900.65,893.26,900.65
2010-12-13,前場,891.32,893.62,890.41,893.00
2010-12-10,後場,893.78,895.39,892.10,892.76
2010-12-10,前場,899.61,899.61,891.12,893.61
2010-12-09,後場,891.93,896.91,891.63,896.39
2010-12-09,前場,893.84,895.75,891.84,892.92
2010-12-08,後場,885.81,890.35,885.80,890.35
2010-12-08,前場,885.15,889.32,884.44,886.24
2010-12-07,後場,881.06,884.53,880.41,882.53
2010-12-07,前場,884.96,884.98,879.91,880.33
2010-12-06,後場,884.79,886.79,884.69,886.23
2010-12-06,前場,886.01,886.86,883.81,885.08
2010-12-03,後場,884.92,886.24,883.55,885.58
2010-12-03,前場,889.94,891.59,885.12,885.12
2010-12-02,後場,885.42,885.71,883.17,883.73
2010-12-02,前場,885.54,888.04,883.10,884.38
2010-12-01,後場,865.47,872.67,865.47,872.67
2010-12-01,前場,867.17,868.72,864.62,866.10
2010-11-30,後場,874.94,874.94,866.58,866.58
2010-11-30,前場,877.09,880.38,876.87,879.15
2010-11-29,後場,878.43,882.12,878.43,880.32
2010-11-29,前場,874.45,881.75,874.29,876.92
2010-11-26,後場,876.41,876.59,872.02,872.02
2010-11-26,前場,875.37,879.69,875.03,876.24
2010-11-25,後場,876.44,880.05,874.99,874.99
2010-11-25,前場,880.22,880.22,873.44,876.02
2010-11-24,後場,872.90,876.29,872.05,872.78
2010-11-24,前場,868.97,875.70,865.31,874.30
2010-11-22,後場,883.58,887.03,882.97,882.97
2010-11-22,前場,885.85,886.29,881.71,883.96
2010-11-19,後場,880.50,882.23,877.91,878.24
2010-11-19,前場,885.96,886.69,881.48,881.86
2010-11-18,後場,867.67,877.40,867.67,877.40
2010-11-18,前場,860.37,868.87,858.48,865.60
2010-11-17,後場,852.88,859.01,852.24,858.35
2010-11-17,前場,847.80,854.28,847.80,852.82
2010-11-16,後場,855.85,860.01,852.80,855.60
2010-11-16,前場,864.48,865.39,854.18,854.76
2010-11-15,後場,855.43,859.42,854.57,858.65
2010-11-15,前場,859.01,859.67,854.25,856.47
2010-11-12,後場,855.72,858.91,853.59,853.68
2010-11-12,前場,860.50,864.76,858.13,858.21
2010-11-11,後場,865.66,866.87,861.45,864.49
2010-11-11,前場,865.54,866.89,863.31,865.23
2010-11-10,後場,858.44,860.97,855.21,860.97
2010-11-10,前場,850.54,861.62,850.21,858.39
2010-11-09,後場,845.54,847.05,843.68,845.54
2010-11-09,前場,843.23,849.74,842.32,846.65
2010-11-08,後場,847.12,847.74,842.92,847.74
2010-11-08,前場,846.98,848.91,843.73,847.79
2010-11-05,後場,840.45,845.87,839.77,840.66
2010-11-05,前場,832.51,842.39,832.39,841.07
2010-11-04,後場,821.08,822.60,818.39,820.90
2010-11-04,前場,818.36,825.28,818.02,822.66
2010-11-02,後場,805.46,808.30,804.16,807.73
2010-11-02,前場,806.34,807.47,803.06,805.72
2010-11-01,後場,810.24,812.71,805.28,807.23
2010-11-01,前場,810.83,816.05,808.14,809.13
2010-10-29,後場,810.00,818.14,809.80,816.03
2010-10-29,前場,820.20,821.80,809.63,811.64
2010-10-28,後場,821.24,825.47,818.93,820.23
2010-10-28,前場,820.70,823.54,818.43,822.31
2010-10-27,後場,824.75,824.88,816.44,822.08
2010-10-27,前場,826.57,827.29,824.35,825.78
2010-10-26,後場,823.43,829.40,822.73,822.73
2010-10-26,前場,824.75,826.74,822.64,824.13
2010-10-25,後場,827.40,830.41,825.72,826.41
2010-10-25,前場,828.60,831.37,824.99,825.68
2010-10-22,後場,827.90,832.13,827.69,829.21
2010-10-22,前場,825.91,829.47,824.73,827.75
2010-10-21,後場,823.10,825.87,821.61,824.88
2010-10-21,前場,828.26,831.07,820.18,824.89
2010-10-20,後場,824.86,828.68,824.62,828.03
2010-10-20,前場,827.98,828.27,819.60,822.04
2010-10-19,後場,837.38,838.88,834.50,838.38
2010-10-19,前場,834.51,841.68,834.51,838.04
2010-10-18,後場,836.51,836.95,832.22,834.89
2010-10-18,前場,832.99,840.02,832.17,838.34
2010-10-15,後場,835.23,837.33,829.22,831.79
2010-10-15,前場,839.61,839.74,831.90,833.38
2010-10-14,後場,836.53,845.70,835.44,842.37
2010-10-14,前場,833.84,841.50,832.77,839.17
2010-10-13,後場,833.85,834.09,824.72,825.76
2010-10-13,前場,833.46,836.86,830.17,834.14
2010-10-12,後場,835.49,835.74,826.64,828.74
2010-10-12,前場,845.85,845.93,834.94,836.00
2010-10-08,後場,845.58,846.33,840.21,840.21
2010-10-08,前場,844.83,847.38,843.45,844.37
2010-10-07,後場,849.12,849.49,842.71,845.99
2010-10-07,前場,844.30,850.79,844.30,849.53
2010-10-06,後場,839.22,845.40,839.12,845.20
2010-10-06,前場,838.69,842.87,835.21,839.37
2010-10-05,後場,820.78,834.19,816.27,832.14
2010-10-05,前場,819.24,823.60,817.83,821.71
2010-10-04,後場,829.18,829.89,819.41,821.32
2010-10-04,前場,828.51,833.09,824.47,831.25
2010-10-01,後場,826.21,830.96,820.51,827.66
2010-10-01,前場,829.80,829.80,822.95,826.42
2010-09-30,後場,835.33,836.78,824.82,825.60
2010-09-30,前場,843.42,844.39,834.14,835.20
2010-09-29,後場,845.16,847.51,843.18,843.96
2010-09-29,前場,843.26,847.36,839.23,844.03
2010-09-28,後場,843.75,844.82,839.66,841.42
2010-09-28,前場,842.66,845.03,842.14,842.96
2010-09-27,後場,845.21,849.51,844.10,849.02
2010-09-27,前場,844.29,847.18,841.73,847.18
2010-09-24,後場,838.29,849.05,835.71,837.47
2010-09-24,前場,835.51,838.63,833.69,838.08
2010-09-22,後場,848.75,849.74,845.43,845.43
2010-09-22,前場,846.38,851.18,844.27,849.22
2010-09-21,後場,852.30,852.62,847.92,849.24
2010-09-21,前場,857.38,858.01,853.27,854.61
2010-09-17,後場,851.02,852.52,849.12,850.88
2010-09-17,前場,849.37,850.33,847.29,849.35
2010-09-16,後場,844.69,845.96,841.25,843.55
2010-09-16,前場,855.87,855.87,845.24,847.36
2010-09-15,後場,851.09,853.04,846.79,846.79
2010-09-15,前場,828.98,846.19,825.13,845.44
2010-09-14,後場,832.98,835.26,829.88,831.80
2010-09-14,前場,834.56,837.37,832.43,835.01
2010-09-13,後場,836.30,839.51,834.57,834.70
2010-09-13,前場,836.77,840.59,834.21,835.71
