日付,始値,高値,安値,終値
2016-12-30,1394.73,1406.46,1394.37,1403.72
2016-12-29,1414.72,1415.33,1400.09,1404.58
2016-12-28,1425.70,1426.30,1420.75,1422.71
2016-12-27,1423.42,1433.60,1422.75,1425.62
2016-12-26,1431.22,1432.55,1427.37,1428.15
2016-12-22,1434.74,1436.73,1428.57,1436.73
2016-12-21,1447.33,1451.76,1435.09,1438.34
2016-12-20,1438.05,1444.54,1436.11,1443.56
2016-12-19,1439.28,1442.59,1436.52,1441.44
2016-12-16,1449.58,1449.70,1439.68,1443.44
2016-12-15,1441.39,1450.76,1433.95,1438.41
2016-12-14,1437.16,1438.11,1432.45,1435.44
2016-12-13,1425.53,1435.77,1420.33,1435.77
2016-12-12,1439.47,1445.12,1420.45,1430.32
2016-12-09,1414.36,1427.82,1412.53,1426.08
2016-12-08,1404.25,1412.14,1400.97,1412.14
2016-12-07,1383.57,1389.57,1380.50,1389.47
2016-12-06,1379.86,1382.32,1372.67,1376.62
2016-12-05,1369.19,1371.93,1361.80,1366.22
2016-12-02,1377.84,1383.15,1370.49,1377.14
2016-12-01,1380.38,1394.22,1375.52,1379.97
2016-11-30,1368.40,1369.29,1360.82,1364.89
2016-11-29,1358.17,1367.13,1358.17,1365.06
2016-11-28,1353.63,1366.85,1352.66,1365.35
2016-11-25,1360.86,1369.05,1352.54,1360.57
2016-11-24,1356.21,1359.39,1354.28,1356.16
2016-11-22,1337.08,1342.94,1335.29,1341.71
2016-11-21,1329.39,1340.15,1327.28,1338.59
2016-11-18,1332.99,1334.50,1322.87,1322.87
2016-11-17,1312.35,1320.93,1311.61,1320.93
2016-11-16,1314.90,1321.56,1314.15,1320.19
2016-11-15,1298.37,1303.00,1292.91,1301.54
2016-11-14,1283.56,1297.26,1282.70,1295.34
2016-11-11,1276.82,1292.63,1272.06,1276.58
2016-11-10,1215.07,1270.20,1214.80,1266.76
2016-11-09,1260.29,1269.49,1178.70,1191.67
2016-11-08,1254.47,1256.50,1248.06,1251.19
2016-11-07,1249.77,1252.86,1242.30,1248.72
2016-11-04,1242.34,1243.83,1225.27,1233.01
2016-11-02,1265.34,1266.91,1252.51,1257.96
2016-11-01,1280.63,1284.11,1273.70,1281.63
2016-10-31,1274.56,1281.67,1273.47,1281.33
2016-10-28,1276.28,1279.10,1273.68,1278.58
2016-10-27,1265.92,1273.82,1264.30,1268.36
2016-10-26,1261.48,1268.26,1258.60,1268.25
2016-10-25,1258.05,1265.44,1258.05,1263.26
2016-10-24,1254.04,1254.99,1248.26,1253.54
2016-10-21,1260.93,1261.78,1251.26,1253.41
2016-10-20,1243.92,1259.12,1243.66,1259.01
2016-10-19,1245.02,1247.36,1242.37,1245.05
2016-10-18,1242.63,1246.65,1238.12,1246.65
2016-10-17,1241.88,1248.84,1238.84,1245.78
2016-10-14,1234.67,1241.73,1230.94,1240.61
