日付,時刻,始値,高値,安値,終値
2015-12-30,後場,2680.94,2691.88,2680.94,2690.85
2015-12-30,前場,2686.39,2688.42,2680.55,2682.23
2015-12-29,後場,2659.59,2674.08,2659.59,2673.96
2015-12-29,前場,2639.28,2657.86,2627.66,2657.44
2015-12-28,後場,2629.98,2644.22,2629.98,2642.02
2015-12-28,前場,2615.14,2628.43,2615.14,2628.09
2015-12-25,後場,2609.97,2610.64,2600.68,2604.76
2015-12-25,前場,2618.41,2622.57,2607.13,2610.43
2015-12-24,後場,2637.17,2638.17,2618.71,2619.40
2015-12-24,前場,2667.49,2669.55,2641.62,2642.17
2015-12-22,後場,2655.62,2659.26,2652.73,2652.73
2015-12-22,前場,2654.31,2659.02,2650.24,2654.65
2015-12-21,後場,2630.02,2656.76,2629.70,2650.41
2015-12-21,前場,2656.18,2663.33,2626.42,2627.27
2015-12-18,後場,2705.68,2733.71,2670.90,2671.08
2015-12-18,前場,2699.29,2706.13,2692.55,2703.73
2015-12-17,後場,2707.70,2707.70,2695.85,2698.75
2015-12-17,前場,2688.68,2708.22,2685.34,2707.33
2015-12-16,後場,2650.31,2652.03,2643.57,2652.03
2015-12-16,前場,2644.88,2652.44,2638.66,2647.17
2015-12-15,後場,2641.38,2643.82,2618.80,2619.10
2015-12-15,前場,2659.65,2664.13,2639.38,2641.93
2015-12-14,後場,2640.37,2655.88,2640.37,2654.39
2015-12-14,前場,2634.94,2637.97,2620.89,2636.24
2015-12-11,後場,2679.43,2680.54,2672.67,2678.27
2015-12-11,前場,2658.82,2686.69,2658.82,2681.51
2015-12-10,後場,2670.35,2672.97,2662.36,2662.36
2015-12-10,前場,2678.01,2685.03,2665.98,2666.32
2015-12-09,後場,2700.18,2704.96,2695.51,2698.94
2015-12-09,前場,2712.48,2726.92,2697.39,2698.50
2015-12-08,後場,2724.16,2729.82,2722.14,2725.97
2015-12-08,前場,2747.60,2753.10,2723.13,2723.86
2015-12-07,後場,2760.68,2760.68,2747.75,2747.75
2015-12-07,前場,2755.87,2765.86,2755.87,2762.05
2015-12-04,後場,2728.06,2733.29,2727.27,2731.08
