日付,始値,高値,安値,終値
2011-12-30,1242.69,1252.46,1241.49,1252.46
2011-12-29,1233.67,1239.11,1228.66,1238.35
2011-12-28,1236.89,1238.74,1234.41,1234.92
2011-12-27,1237.24,1239.14,1236.78,1238.85
2011-12-26,1248.76,1248.96,1240.82,1241.48
2011-12-22,1248.20,1249.02,1241.23,1241.82
2011-12-21,1252.10,1253.03,1245.47,1247.70
2011-12-20,1233.16,1242.23,1231.08,1241.92
2011-12-19,1235.50,1235.84,1222.68,1230.13
2011-12-16,1251.86,1253.84,1237.59,1237.59
2011-12-15,1261.45,1262.13,1247.04,1247.04
2011-12-14,1273.31,1273.80,1266.33,1266.33
2011-12-13,1267.99,1276.67,1266.83,1274.98
2011-12-12,1277.84,1281.96,1276.99,1277.36
2011-12-09,1258.33,1266.20,1257.46,1264.89
2011-12-08,1267.73,1269.15,1262.49,1267.26
2011-12-07,1255.66,1271.13,1255.32,1269.70
2011-12-06,1270.02,1270.46,1249.88,1249.88
2011-12-05,1268.33,1273.28,1266.77,1272.85
2011-12-02,1259.42,1262.49,1257.39,1261.92
2011-12-01,1261.88,1265.28,1253.04,1256.18
2011-11-30,1239.98,1247.61,1236.62,1246.84
2011-11-29,1227.91,1244.96,1226.53,1244.96
2011-11-28,1209.81,1221.64,1209.81,1218.04
2011-11-25,1210.57,1215.08,1204.05,1204.05
2011-11-24,1215.54,1215.58,1209.48,1210.76
2011-11-22,1212.65,1229.23,1212.65,1229.23
2011-11-21,1221.98,1223.46,1219.74,1223.46
2011-11-18,1219.84,1225.42,1218.82,1224.37
2011-11-17,1218.15,1231.40,1213.10,1230.39
2011-11-16,1236.47,1236.89,1221.18,1222.17
2011-11-15,1239.50,1241.48,1236.01,1237.45
2011-11-14,1243.62,1246.28,1240.81,1244.08
2011-11-11,1236.12,1237.18,1226.08,1233.45
2011-11-10,1241.04,1241.04,1230.77,1236.16
2011-11-09,1251.02,1262.34,1248.82,1262.34
2011-11-08,1262.80,1266.58,1244.47,1244.47
2011-11-07,1266.26,1268.54,1261.00,1268.54
2011-11-04,1256.82,1268.59,1256.48,1268.32
2011-11-02,1254.83,1255.12,1244.73,1250.13
2011-11-01,1272.87,1276.19,1267.08,1268.62
2011-10-31,1285.17,1297.94,1280.07,1280.07
2011-10-28,1294.09,1297.13,1284.32,1284.32
2011-10-27,1266.74,1279.49,1258.10,1279.49
2011-10-26,1258.58,1268.96,1252.12,1265.27
2011-10-25,1284.96,1285.87,1265.69,1267.00
2011-10-24,1271.42,1281.92,1271.42,1281.92
2011-10-21,1265.78,1267.29,1261.81,1263.15
2011-10-20,1274.02,1274.13,1263.39,1265.78
2011-10-19,1289.02,1289.78,1276.01,1277.54
2011-10-18,1285.25,1287.78,1280.28,1280.28
2011-10-17,1290.15,1295.96,1287.83,1293.87
2011-10-14,1286.85,1288.50,1276.04,1276.04
2011-10-13,1302.43,1303.15,1297.05,1297.55
2011-10-12,1286.14,1295.67,1283.03,1293.22
2011-10-11,1287.79,1297.18,1287.79,1293.43
2011-10-07,1274.11,1283.38,1274.11,1274.35
2011-10-06,1255.79,1270.08,1255.79,1266.88
2011-10-05,1282.78,1283.30,1246.25,1246.25
2011-10-04,1280.63,1280.63,1270.09,1278.11
2011-10-03,1303.46,1303.83,1279.58,1292.98
2011-09-30,1325.74,1325.74,1306.49,1321.63
2011-09-29,1286.82,1322.56,1286.72,1322.56
2011-09-28,1266.40,1295.46,1266.40,1295.46
2011-09-27,1244.86,1265.17,1244.83,1265.17
