日付,時刻,始値,高値,安値,終値
2014-12-30,後場,1505.89,1507.12,1495.59,1495.59
2014-12-30,前場,1509.40,1510.70,1502.06,1507.42
2014-12-29,後場,1513.89,1515.97,1496.63,1509.37
2014-12-29,前場,1519.03,1520.17,1514.29,1514.73
2014-12-26,後場,1509.74,1516.44,1509.03,1515.32
2014-12-26,前場,1512.88,1516.74,1507.67,1509.14
2014-12-25,後場,1525.02,1525.85,1522.18,1524.21
2014-12-25,前場,1523.54,1526.61,1521.74,1525.23
2014-12-24,後場,1524.59,1525.15,1522.07,1524.88
2014-12-24,前場,1526.99,1526.99,1523.04,1524.30
2014-12-22,後場,1509.77,1513.46,1507.59,1513.46
2014-12-22,前場,1513.14,1517.19,1510.04,1511.99
2014-12-19,後場,1497.17,1507.12,1495.11,1506.08
2014-12-19,前場,1491.44,1500.33,1490.98,1498.36
2014-12-18,後場,1477.17,1478.70,1466.20,1467.89
2014-12-18,前場,1467.74,1479.54,1467.61,1477.06
2014-12-17,後場,1448.12,1453.16,1441.31,1441.31
2014-12-17,前場,1443.69,1454.09,1440.43,1448.99
2014-12-16,後場,1455.54,1456.96,1450.49,1451.83
2014-12-16,前場,1468.09,1469.36,1455.85,1456.85
2014-12-15,後場,1489.30,1490.63,1481.23,1482.50
2014-12-15,前場,1484.20,1493.82,1480.93,1486.47
2014-12-12,後場,1509.92,1515.19,1500.41,1500.41
2014-12-12,前場,1495.24,1511.14,1493.73,1509.62
2014-12-11,後場,1489.41,1498.47,1489.41,1495.86
2014-12-11,前場,1487.83,1495.98,1477.25,1491.72
2014-12-10,後場,1509.60,1509.60,1499.80,1505.93
2014-12-10,前場,1520.78,1523.27,1510.32,1511.74
2014-12-09,後場,1540.10,1540.68,1534.24,1537.97
2014-12-09,前場,1533.77,1541.02,1532.38,1540.76
2014-12-08,後場,1541.35,1541.35,1537.50,1541.13
2014-12-08,前場,1543.42,1543.84,1535.06,1537.84
2014-12-05,後場,1529.19,1534.70,1528.59,1534.56
2014-12-05,前場,1530.23,1530.81,1525.32,1528.69
2014-12-04,後場,1530.85,1532.10,1528.44,1530.64
2014-12-04,前場,1533.56,1534.68,1527.20,1529.98
2014-12-03,後場,1526.85,1526.85,1519.46,1521.82
2014-12-03,前場,1526.92,1531.26,1521.65,1528.00
2014-12-02,後場,1516.41,1522.35,1515.95,1521.17
2014-12-02,前場,1508.56,1515.24,1508.15,1514.44
2014-12-01,後場,1518.27,1518.95,1514.05,1517.90
2014-12-01,前場,1507.93,1519.94,1507.57,1517.56
2014-11-28,後場,1497.33,1502.93,1497.08,1502.93
2014-11-28,前場,1488.91,1498.69,1488.84,1496.66
2014-11-27,後場,1489.56,1489.66,1481.81,1483.96
2014-11-27,前場,1491.49,1494.44,1488.65,1490.36
2014-11-26,後場,1498.28,1501.14,1496.48,1496.48
2014-11-26,前場,1496.16,1499.36,1493.40,1497.70
2014-11-25,後場,1497.95,1499.48,1495.35,1499.48
2014-11-25,前場,1502.12,1504.13,1495.58,1498.63
2014-11-21,後場,1485.12,1493.74,1483.19,1491.77
2014-11-21,前場,1489.00,1490.11,1477.97,1483.07
2014-11-20,後場,1489.05,1492.63,1486.44,1487.39
2014-11-20,前場,1488.50,1490.34,1485.45,1487.08
2014-11-19,後場,1479.87,1485.24,1476.55,1479.23
2014-11-19,前場,1478.67,1487.93,1478.50,1479.41
