日付,始値,高値,安値,終値
2012-12-28,949.53,952.95,946.08,951.48
2012-12-27,948.07,951.01,944.24,944.24
2012-12-26,943.51,944.31,939.53,943.82
2012-12-25,951.53,954.00,944.13,946.04
2012-12-21,951.20,953.29,934.42,938.77
2012-12-20,942.49,949.26,939.37,941.89
2012-12-19,929.57,943.58,928.74,943.58
2012-12-18,913.52,923.85,913.23,919.79
2012-12-17,914.71,914.71,908.83,911.74
2012-12-14,897.63,906.63,897.51,904.82
2012-12-13,902.70,904.76,900.54,901.50
2012-12-12,897.01,898.03,894.09,895.77
2012-12-11,892.43,892.94,888.96,891.06
2012-12-10,897.76,898.21,892.18,894.05
2012-12-07,892.85,896.12,892.77,895.26
2012-12-06,891.32,893.55,889.31,893.16
2012-12-05,879.49,889.64,879.39,884.74
2012-12-04,884.45,887.41,882.71,884.54
2012-12-03,888.52,889.05,884.37,885.72
2012-11-30,882.13,887.88,877.79,884.11
2012-11-29,877.52,879.79,876.72,878.83
2012-11-28,879.58,881.52,872.63,872.67
2012-11-27,879.92,885.28,878.75,882.67
2012-11-26,886.09,888.56,881.06,881.19
2012-11-22,876.83,878.38,873.11,876.34
2012-11-21,867.03,868.66,862.60,867.60
2012-11-20,867.11,867.14,859.04,860.40
2012-11-19,858.25,864.57,858.25,861.06
2012-11-16,839.54,849.22,838.81,848.04
2012-11-15,822.51,833.60,820.64,833.57
2012-11-14,818.70,820.74,817.34,819.56
2012-11-13,821.69,822.84,815.58,819.45
2012-11-12,827.32,827.79,821.05,821.05
2012-11-09,829.39,832.51,828.47,830.95
2012-11-08,838.85,840.27,833.85,836.17
2012-11-07,850.46,850.82,842.46,847.28
2012-11-06,845.13,846.98,843.71,845.84
2012-11-05,845.29,849.38,845.01,846.80
2012-11-02,849.69,851.72,847.98,849.85
2012-11-01,842.92,844.33,836.37,842.79
2012-10-31,839.10,845.28,837.02,842.66
2012-10-30,841.59,846.52,835.32,835.33
2012-10-29,841.39,844.48,838.29,840.71
2012-10-26,852.69,854.06,841.17,842.14
2012-10-25,843.88,853.72,843.30,853.28
2012-10-24,843.87,852.78,843.87,845.50
2012-10-23,860.60,860.94,849.02,851.20
2012-10-22,845.40,857.57,845.20,856.04
2012-10-19,850.57,856.75,849.96,855.65
2012-10-18,848.07,855.06,847.20,854.39
2012-10-17,842.52,847.45,841.45,842.68
2012-10-16,833.29,837.50,830.90,836.55
2012-10-15,823.29,831.31,821.15,830.37
2012-10-12,822.47,828.32,822.26,824.75
2012-10-11,811.91,821.66,811.91,817.82
2012-10-10,820.94,821.36,816.09,818.24
2012-10-09,836.27,839.53,829.88,830.02
2012-10-05,839.13,842.16,835.40,838.48
2012-10-04,830.57,840.93,829.86,836.96
