日付,時刻,始値,高値,安値,終値
2008-12-30,後場,1690.86,1690.86,1690.86,1690.86
2008-12-30,前場,1678.47,1693.44,1672.34,1690.86
2008-12-29,後場,1673.90,1687.31,1666.22,1683.40
2008-12-29,前場,1679.18,1690.74,1676.49,1676.49
2008-12-26,後場,1676.24,1686.73,1674.56,1686.73
2008-12-26,前場,1684.42,1684.42,1666.86,1675.44
2008-12-25,後場,1674.07,1678.94,1656.97,1678.94
2008-12-25,前場,1679.10,1689.42,1674.61,1674.61
2008-12-24,後場,1688.32,1690.93,1677.27,1682.32
2008-12-24,前場,1710.22,1712.40,1685.50,1689.85
2008-12-22,後場,1710.36,1715.87,1702.21,1713.42
2008-12-22,前場,1688.30,1721.93,1683.70,1710.03
2008-12-19,後場,1688.69,1710.48,1684.89,1689.25
2008-12-19,前場,1704.44,1717.16,1689.58,1690.16
2008-12-18,後場,1723.23,1727.54,1701.71,1702.88
2008-12-18,前場,1709.92,1736.45,1703.32,1722.93
2008-12-17,後場,1713.65,1721.92,1668.86,1721.92
2008-12-17,前場,1713.70,1739.34,1713.24,1717.83
2008-12-16,後場,1681.93,1698.96,1679.74,1694.24
2008-12-16,前場,1727.19,1727.19,1667.65,1687.42
2008-12-15,後場,1718.05,1756.71,1704.74,1745.59
2008-12-15,前場,1659.32,1719.77,1658.96,1714.77
2008-12-12,後場,1697.05,1697.05,1604.84,1639.57
2008-12-12,前場,1709.85,1714.16,1679.75,1714.16
2008-12-11,後場,1747.25,1753.53,1721.26,1728.20
2008-12-11,前場,1773.68,1784.13,1733.30,1743.03
2008-12-10,後場,1734.98,1769.98,1728.54,1762.06
2008-12-10,前場,1679.84,1728.72,1679.84,1725.48
2008-12-09,後場,1676.67,1687.13,1664.21,1687.13
2008-12-09,前場,1632.43,1696.86,1632.04,1677.83
2008-12-08,後場,1614.65,1629.95,1607.20,1618.08
2008-12-08,前場,1576.48,1597.54,1559.54,1597.54
2008-12-05,後場,1578.38,1584.73,1559.50,1565.02
2008-12-05,前場,1563.98,1578.33,1554.14,1573.05
2008-12-04,後場,1576.47,1576.68,1544.80,1552.11
2008-12-04,前場,1576.06,1589.14,1559.24,1578.88
2008-12-03,後場,1564.05,1581.71,1558.23,1567.90
2008-12-03,前場,1513.14,1556.92,1512.90,1554.81
2008-12-02,後場,1515.26,1516.67,1492.67,1497.60
2008-12-02,前場,1561.52,1561.70,1487.55,1504.70
2008-12-01,後場,1555.87,1585.00,1547.95,1581.34
2008-12-01,前場,1564.79,1567.04,1536.58,1543.64
2008-11-28,後場,1565.00,1580.91,1560.83,1573.90
2008-11-28,前場,1583.53,1588.11,1556.48,1565.21
2008-11-27,後場,1575.27,1586.41,1564.19,1571.49
2008-11-27,前場,1520.41,1578.59,1520.41,1573.29
2008-11-26,後場,1516.26,1530.47,1502.19,1506.17
2008-11-26,前場,1531.33,1531.33,1492.82,1506.63
2008-11-25,後場,1540.13,1546.79,1494.63,1546.79
2008-11-25,前場,1528.76,1593.60,1528.71,1543.87
2008-11-21,後場,1427.69,1514.44,1415.41,1510.94
2008-11-21,前場,1438.12,1438.12,1382.54,1427.33
