日付,始値,高値,安値,終値
2014-12-30,1512.92,1514.47,1496.38,1496.38
2014-12-29,1520.44,1521.33,1497.06,1509.25
2014-12-26,1506.12,1518.22,1506.12,1516.65
2014-12-25,1515.44,1517.80,1506.45,1508.63
2014-12-24,1515.65,1518.21,1508.40,1516.80
2014-12-22,1505.70,1508.86,1488.20,1497.79
2014-12-19,1494.24,1499.85,1489.45,1498.78
2014-12-18,1475.66,1482.07,1470.40,1473.02
2014-12-17,1438.82,1457.09,1438.82,1446.45
2014-12-16,1459.94,1468.75,1445.45,1447.89
2014-12-15,1480.90,1494.64,1479.22,1480.29
2014-12-12,1502.21,1513.00,1497.80,1497.80
2014-12-11,1492.84,1507.44,1483.16,1505.43
2014-12-10,1514.05,1523.54,1503.70,1510.95
2014-12-09,1526.85,1543.67,1526.32,1528.05
2014-12-08,1557.68,1558.17,1535.66,1538.00
2014-12-05,1550.46,1554.26,1540.52,1554.26
2014-12-04,1562.59,1564.22,1545.98,1550.61
2014-12-03,1546.51,1558.84,1541.44,1547.21
2014-12-02,1532.97,1543.20,1527.36,1535.50
2014-12-01,1527.61,1555.59,1525.28,1547.53
2014-11-28,1502.66,1520.01,1498.76,1518.93
2014-11-27,1509.02,1510.34,1489.67,1493.39
2014-11-26,1494.95,1511.01,1493.33,1505.39
2014-11-25,1508.62,1508.62,1493.15,1497.57
2014-11-21,1490.77,1494.70,1476.53,1492.89
2014-11-20,1492.57,1498.11,1484.21,1491.11
2014-11-19,1492.07,1500.89,1479.01,1479.83
2014-11-18,1459.38,1480.74,1458.01,1480.74
2014-11-17,1480.09,1480.59,1437.46,1441.11
2014-11-14,1474.72,1481.41,1466.83,1479.41
2014-11-13,1452.27,1461.44,1444.86,1461.44
2014-11-12,1464.19,1472.63,1457.05,1457.67
2014-11-11,1440.25,1455.75,1436.97,1451.98
2014-11-10,1428.14,1437.20,1424.81,1429.41
2014-11-07,1454.35,1454.35,1432.81,1436.75
2014-11-06,1474.07,1476.34,1445.69,1450.31
2014-11-05,1461.82,1473.61,1460.52,1470.41
2014-11-04,1458.81,1488.79,1457.83,1463.21
2014-10-31,1386.24,1433.92,1384.07,1428.53
2014-10-30,1370.94,1389.55,1369.90,1372.42
2014-10-29,1357.94,1365.57,1354.03,1360.51
2014-10-28,1347.89,1352.97,1342.71,1347.83
2014-10-27,1348.35,1354.23,1343.35,1350.86
2014-10-24,1352.09,1352.09,1333.16,1336.76
2014-10-23,1339.68,1347.51,1330.09,1338.80
2014-10-22,1331.46,1346.68,1329.86,1346.09
2014-10-21,1323.77,1331.21,1310.53,1313.40
2014-10-20,1306.81,1325.93,1306.81,1323.04
2014-10-17,1300.68,1304.42,1281.71,1281.89
2014-10-16,1302.92,1305.79,1289.03,1291.32
2014-10-15,1335.99,1335.99,1319.76,1331.10
2014-10-14,1336.21,1343.19,1327.76,1331.76
2014-10-10,1350.93,1359.31,1346.58,1355.20
2014-10-09,1400.01,1402.07,1374.86,1375.14
2014-10-08,1389.26,1397.15,1385.57,1393.52
2014-10-07,1424.03,1426.58,1408.81,1410.31
2014-10-06,1420.41,1426.99,1417.36,1421.71
2014-10-03,1388.10,1403.83,1387.82,1401.76
2014-10-02,1415.96,1419.26,1392.91,1393.03
2014-10-01,1437.98,1444.86,1431.29,1431.29
2014-09-30,1442.83,1443.36,1427.90,1436.85
2014-09-29,1444.87,1445.11,1434.57,1441.98
2014-09-26,1422.34,1432.56,1422.34,1430.89
2014-09-25,1431.62,1444.81,1431.62,1444.81
2014-09-24,1422.44,1430.15,1416.54,1423.35
2014-09-22,1436.77,1441.48,1429.64,1433.12
2014-09-19,1431.18,1437.87,1426.93,1432.73
2014-09-18,1415.92,1429.69,1414.63,1428.24
2014-09-17,1414.07,1417.38,1405.55,1405.55
2014-09-16,1406.14,1410.56,1404.70,1408.87
2014-09-12,1405.13,1411.13,1402.20,1406.74
2014-09-11,1411.25,1414.19,1405.75,1406.80
2014-09-10,1386.48,1399.23,1383.92,1399.23
2014-09-09,1406.00,1406.05,1388.62,1388.62
2014-09-08,1403.58,1403.79,1390.17,1399.21
2014-09-05,1419.01,1419.01,1401.42,1406.16
2014-09-04,1417.98,1421.19,1411.15,1412.12
2014-09-03,1437.90,1438.22,1414.61,1417.92
2014-09-02,1412.67,1434.22,1409.59,1429.63
2014-09-01,1407.10,1409.45,1400.79,1407.94
2014-08-29,1389.13,1401.52,1388.92,1399.69
2014-08-28,1394.82,1396.32,1385.80,1393.01
2014-08-27,1409.57,1410.32,1394.60,1398.88
2014-08-26,1415.83,1416.76,1405.37,1405.37
2014-08-25,1413.37,1416.96,1411.72,1414.73
2014-08-22,1418.33,1418.99,1407.96,1409.11
2014-08-21,1415.31,1418.49,1411.77,1414.76
2014-08-20,1414.12,1417.83,1410.87,1413.78
2014-08-19,1423.06,1426.46,1409.03,1416.19
2014-08-18,1404.17,1430.89,1403.88,1417.84
2014-08-15,1397.08,1404.17,1394.44,1400.47
2014-08-14,1393.25,1401.86,1389.11,1396.79
2014-08-13,1379.64,1392.02,1378.06,1388.41
2014-08-12,1378.49,1391.69,1376.52,1386.91
2014-08-11,1363.16,1380.42,1361.75,1378.81
2014-08-08,1357.57,1367.30,1339.51,1346.25
2014-08-07,1361.26,1366.89,1354.73,1364.14
2014-08-06,1355.11,1375.39,1352.74,1362.89
2014-08-05,1371.48,1374.37,1356.19,1357.13
2014-08-04,1366.23,1367.71,1355.78,1363.70
2014-08-01,1370.68,1371.25,1363.26,1364.10
2014-07-31,1398.81,1399.20,1376.32,1381.80
2014-07-30,1406.18,1412.26,1402.35,1406.20
2014-07-29,1406.69,1409.43,1403.76,1407.72
2014-07-28,1410.12,1414.82,1403.07,1405.86
