日付,時刻,始値,高値,安値,終値
2016-12-30,後場,615.68,619.58,615.53,618.48
2016-12-30,前場,613.68,614.68,612.60,614.36
2016-12-29,後場,620.59,620.93,616.10,620.19
2016-12-29,前場,621.01,624.10,617.94,620.23
2016-12-28,後場,628.77,629.58,626.42,626.69
2016-12-28,前場,627.38,630.29,626.28,628.51
2016-12-27,後場,632.37,632.53,626.38,628.35
2016-12-27,前場,624.40,632.73,624.40,632.08
2016-12-26,後場,624.96,627.30,624.71,626.34
2016-12-26,前場,627.30,627.58,623.75,624.66
2016-12-22,後場,627.76,629.74,626.69,629.61
2016-12-22,前場,629.36,630.76,626.10,628.58
2016-12-21,後場,634.71,635.11,630.84,632.34
2016-12-21,前場,634.71,638.16,632.69,635.47
2016-12-20,後場,632.61,635.54,629.60,635.54
2016-12-20,前場,636.26,636.26,631.17,632.93
2016-12-19,後場,634.14,636.36,634.05,635.31
2016-12-19,前場,632.89,634.25,630.80,633.62
2016-12-16,後場,641.18,641.18,637.12,638.22
2016-12-16,前場,644.08,644.17,639.28,642.08
2016-12-15,後場,637.47,639.32,635.49,636.68
2016-12-15,前場,638.16,642.68,636.16,637.85
2016-12-14,後場,636.52,638.52,634.26,636.04
2016-12-14,前場,639.23,639.39,634.64,635.96
2016-12-13,後場,636.94,641.17,635.34,641.17
2016-12-13,前場,636.83,640.21,633.08,636.63
2016-12-12,後場,638.01,643.54,634.74,642.60
2016-12-12,前場,648.30,651.30,638.99,639.48
2016-12-09,後場,641.33,643.03,639.53,641.16
2016-12-09,前場,634.36,640.69,632.61,640.67
2016-12-08,後場,624.17,634.34,624.17,634.34
2016-12-08,前場,627.00,631.39,623.72,624.75
2016-12-07,後場,614.75,619.55,614.35,619.24
2016-12-07,前場,613.10,617.02,612.78,614.48
2016-12-06,後場,609.18,611.10,607.75,609.10
2016-12-06,前場,610.26,612.88,608.99,611.41
2016-12-05,後場,603.60,603.80,599.67,602.65
2016-12-05,前場,607.03,607.44,600.67,602.57
2016-12-02,後場,609.83,613.17,607.74,610.98
2016-12-02,前場,604.40,611.82,604.08,609.85
2016-12-01,後場,612.55,613.26,604.70,607.07
2016-12-01,前場,611.52,613.96,609.49,612.56
2016-11-30,後場,605.56,606.01,603.34,604.80
2016-11-30,前場,607.03,607.52,603.18,605.50
2016-11-29,後場,610.73,611.14,607.46,607.83
2016-11-29,前場,606.20,612.10,606.20,610.49
2016-11-28,後場,606.00,611.36,605.91,610.05
2016-11-28,前場,601.95,606.97,600.48,605.23
2016-11-25,後場,607.10,607.10,600.74,605.65
2016-11-25,前場,611.10,612.55,606.48,607.43
2016-11-24,後場,608.53,609.25,605.07,605.88
2016-11-24,前場,606.42,610.18,606.13,608.27
2016-11-22,後場,598.51,599.79,597.18,599.49
2016-11-22,前場,597.60,599.81,596.26,596.98
2016-11-21,後場,597.63,599.44,596.05,597.00
2016-11-21,前場,595.72,598.37,592.20,597.35
2016-11-18,後場,594.26,594.26,590.44,591.93
2016-11-18,前場,596.53,596.53,592.16,593.62
2016-11-17,後場,586.75,589.18,585.05,589.18
2016-11-17,前場,586.09,588.37,582.93,588.26
2016-11-16,後場,592.74,594.12,590.34,592.81
2016-11-16,前場,590.21,595.50,589.57,592.62
2016-11-15,後場,583.17,584.98,581.19,584.33
2016-11-15,前場,586.29,588.07,580.32,582.84
2016-11-14,後場,583.57,585.02,581.94,583.50
2016-11-14,前場,572.09,584.44,572.09,583.71
2016-11-11,後場,575.25,576.22,569.04,570.98
2016-11-11,前場,571.72,582.96,571.47,574.16
2016-11-10,後場,559.98,566.35,558.66,563.37
2016-11-10,前場,536.97,562.18,536.94,559.15
2016-11-09,後場,521.55,530.20,518.52,525.40
2016-11-09,前場,550.61,554.08,528.95,531.44
2016-11-08,後場,548.80,550.24,547.40,548.42
2016-11-08,前場,550.61,552.91,547.83,549.26
2016-11-07,後場,552.06,552.06,547.54,548.73
