日付,始値,高値,安値,終値
2008-12-30,264.44,266.47,261.89,265.63
2008-12-29,269.00,269.00,262.27,266.94
2008-12-26,265.23,271.87,264.39,271.68
2008-12-25,260.05,264.47,259.86,264.47
2008-12-24,264.44,265.17,257.49,259.64
2008-12-22,264.18,270.42,264.18,267.22
2008-12-19,271.18,274.60,263.08,264.34
2008-12-18,262.12,273.33,259.45,272.80
2008-12-17,270.22,275.77,257.01,261.79
2008-12-16,274.14,274.14,265.00,265.79
2008-12-15,270.39,283.78,270.27,278.74
2008-12-12,262.64,273.95,253.30,266.14
2008-12-11,247.13,266.08,246.18,266.08
2008-12-10,234.09,246.79,233.33,246.67
2008-12-09,227.14,235.56,224.11,234.03
2008-12-08,227.99,228.17,218.50,225.29
2008-12-05,228.71,235.16,220.93,227.97
2008-12-04,245.74,246.98,225.94,229.30
2008-12-03,253.41,257.97,244.53,247.65
2008-12-02,261.77,261.77,246.41,249.90
2008-12-01,267.01,267.59,259.35,266.11
2008-11-28,262.98,268.32,260.68,267.17
2008-11-27,260.08,268.51,259.38,261.72
2008-11-26,263.49,266.34,257.63,258.88
2008-11-25,248.23,266.24,248.23,266.24
2008-11-21,241.09,244.99,223.43,244.36
2008-11-20,271.16,271.16,244.64,244.64
2008-11-19,289.24,290.00,268.51,275.22
2008-11-18,301.61,302.52,287.79,287.79
2008-11-17,321.32,321.96,302.26,305.66
2008-11-14,327.97,333.18,320.33,324.11
2008-11-13,338.31,338.39,320.51,324.39
2008-11-12,348.41,348.60,337.96,344.23
2008-11-11,359.34,371.26,353.33,354.20
2008-11-10,339.84,364.23,339.81,361.06
2008-11-07,331.66,342.57,312.34,334.43
2008-11-06,366.92,366.92,335.61,337.27
2008-11-05,344.78,372.68,344.30,372.68
2008-11-04,321.23,344.61,321.19,338.79
2008-10-31,323.63,331.89,314.24,317.01
2008-10-30,297.58,330.99,295.94,326.83
2008-10-29,279.28,303.02,279.28,296.34
2008-10-28,262.28,277.90,245.97,275.38
2008-10-27,300.59,302.16,263.02,264.11
2008-10-24,334.04,335.29,302.70,304.80
2008-10-23,348.60,351.08,322.74,338.92
2008-10-22,370.16,370.16,353.31,353.31
2008-10-21,360.67,376.47,360.66,375.13
2008-10-20,351.22,361.79,347.30,356.08
2008-10-17,343.21,353.63,338.18,348.51
2008-10-16,372.90,372.90,331.54,338.80
2008-10-15,382.68,383.30,366.40,379.04
2008-10-14,342.31,386.13,342.31,385.95
2008-10-10,342.39,342.40,310.25,336.46
2008-10-09,334.28,356.83,331.47,348.24
2008-10-08,349.39,352.97,327.73,331.57
2008-10-07,350.39,365.88,330.91,355.39
2008-10-06,366.81,367.46,348.46,356.31
2008-10-03,399.08,399.71,370.85,372.89
2008-10-02,412.95,415.04,403.57,404.41
2008-10-01,417.69,419.54,409.99,410.60
2008-09-30,432.27,432.41,410.19,419.32
2008-09-29,456.10,456.40,436.99,438.75
2008-09-26,463.35,471.08,453.79,458.56
2008-09-25,463.18,463.68,453.63,460.58
2008-09-24,467.72,475.79,453.21,470.47
2008-09-22,458.49,481.12,458.49,472.13
