日付,時刻,始値,高値,安値,終値
2015-12-30,後場,1055.68,1056.97,1050.70,1050.81
2015-12-30,前場,1062.89,1063.56,1054.10,1055.10
2015-12-29,後場,1050.16,1057.87,1050.16,1056.21
2015-12-29,前場,1043.31,1049.64,1035.72,1048.46
2015-12-28,後場,1044.94,1050.32,1044.94,1048.26
2015-12-28,前場,1044.81,1048.61,1040.87,1044.69
2015-12-25,後場,1042.83,1043.46,1035.17,1038.58
2015-12-25,前場,1045.26,1050.48,1040.20,1043.16
2015-12-24,後場,1054.53,1054.96,1044.91,1045.92
2015-12-24,前場,1064.54,1068.12,1056.26,1057.26
2015-12-22,後場,1052.02,1055.54,1050.67,1050.67
2015-12-22,前場,1048.37,1053.36,1045.60,1053.13
2015-12-21,後場,1038.45,1054.25,1037.07,1053.13
2015-12-21,前場,1044.33,1047.61,1036.63,1037.86
2015-12-18,後場,1067.43,1085.43,1050.56,1051.08
2015-12-18,前場,1063.56,1068.34,1059.81,1066.68
2015-12-17,後場,1073.51,1074.22,1065.61,1071.44
2015-12-17,前場,1069.80,1074.42,1067.67,1072.70
2015-12-16,後場,1049.87,1054.15,1048.80,1052.65
2015-12-16,前場,1036.41,1048.30,1035.37,1046.83
2015-12-15,後場,1030.60,1033.73,1022.81,1022.81
2015-12-15,前場,1039.85,1043.90,1029.07,1030.26
2015-12-14,後場,1036.92,1041.51,1034.50,1039.69
2015-12-14,前場,1039.56,1040.53,1027.01,1034.98
2015-12-11,後場,1058.49,1061.00,1054.75,1056.32
2015-12-11,前場,1049.80,1062.74,1049.59,1059.16
2015-12-10,後場,1050.41,1051.68,1047.75,1048.93
2015-12-10,前場,1054.32,1059.63,1048.29,1049.07
2015-12-09,後場,1066.91,1069.36,1062.46,1062.46
2015-12-09,前場,1066.92,1076.49,1065.87,1065.87
2015-12-08,後場,1078.24,1081.28,1077.71,1077.71
2015-12-08,前場,1089.44,1094.97,1078.89,1079.06
2015-12-07,後場,1096.34,1096.65,1091.36,1091.95
2015-12-07,前場,1093.32,1096.76,1091.93,1096.50
2015-12-04,後場,1080.00,1082.16,1077.56,1080.15
2015-12-04,前場,1085.76,1089.11,1081.80,1082.81
2015-12-03,後場,1096.47,1102.08,1096.12,1100.93
2015-12-03,前場,1095.73,1099.69,1093.99,1096.71
2015-12-02,後場,1102.28,1102.70,1098.03,1098.47
2015-12-02,前場,1106.89,1108.77,1100.72,1103.76
2015-12-01,後場,1105.11,1109.88,1104.04,1109.88
2015-12-01,前場,1098.53,1107.16,1098.20,1106.26
2015-11-30,後場,1096.60,1097.99,1093.63,1095.03
2015-11-30,前場,1103.08,1107.48,1097.95,1097.95
2015-11-27,後場,1104.27,1104.95,1100.10,1101.66
2015-11-27,前場,1115.02,1115.02,1100.91,1104.73
2015-11-26,後場,1121.94,1122.81,1115.24,1115.99
2015-11-26,前場,1117.94,1123.65,1117.35,1120.37
2015-11-25,後場,1113.85,1115.17,1110.54,1114.10
2015-11-25,前場,1118.87,1119.20,1109.09,1114.92
2015-11-24,後場,1121.64,1127.05,1120.96,1124.55
2015-11-24,前場,1117.15,1123.25,1116.72,1122.28
2015-11-20,後場,1112.64,1118.37,1111.61,1118.37
2015-11-20,前場,1115.90,1115.90,1109.24,1111.91
2015-11-19,後場,1120.22,1124.93,1116.84,1123.12
2015-11-19,前場,1122.20,1125.99,1117.24,1123.19
2015-11-18,後場,1119.03,1119.53,1109.90,1112.14
2015-11-18,前場,1125.91,1127.98,1117.99,1118.07
2015-11-17,後場,1122.06,1122.17,1116.64,1116.80
2015-11-17,前場,1115.35,1123.85,1114.69,1122.79
2015-11-16,後場,1104.45,1107.71,1102.05,1103.55
2015-11-16,前場,1094.16,1108.94,1094.16,1105.69
2015-11-13,後場,1107.47,1111.78,1105.79,1110.67
2015-11-13,前場,1100.72,1110.60,1099.61,1107.92
2015-11-12,後場,1112.95,1114.12,1110.03,1113.50
2015-11-12,前場,1112.11,1116.89,1105.25,1114.29
2015-11-11,後場,1110.25,1115.30,1107.88,1114.16
2015-11-11,前場,1102.28,1108.34,1100.97,1108.06
2015-11-10,後場,1104.20,1108.62,1103.87,1107.37
2015-11-10,前場,1095.02,1105.81,1094.11,1103.16
2015-11-09,後場,1106.19,1107.61,1101.63,1105.61
