日付,始値,高値,安値,終値
2016-12-30,1060.09,1067.40,1056.58,1064.70
2016-12-29,1073.22,1075.61,1061.83,1066.94
2016-12-28,1076.18,1082.14,1074.94,1081.12
2016-12-27,1074.06,1083.10,1074.06,1076.20
2016-12-26,1081.37,1083.25,1073.96,1075.56
2016-12-22,1084.53,1088.72,1077.69,1088.72
2016-12-21,1091.17,1092.51,1076.76,1082.21
2016-12-20,1090.00,1090.00,1080.22,1087.61
2016-12-19,1096.84,1098.11,1089.88,1094.43
2016-12-16,1093.29,1101.18,1091.85,1099.32
2016-12-15,1085.82,1091.97,1078.01,1082.82
2016-12-14,1071.66,1078.19,1067.62,1076.45
2016-12-13,1065.01,1072.28,1058.82,1071.97
2016-12-12,1080.09,1085.71,1065.48,1075.98
2016-12-09,1072.90,1072.90,1061.31,1071.35
2016-12-08,1068.04,1077.22,1060.26,1070.20
2016-12-07,1042.57,1053.50,1039.21,1053.50
2016-12-06,1033.13,1040.28,1031.13,1036.94
2016-12-05,1019.75,1020.65,1013.71,1019.01
2016-12-02,1023.55,1024.39,1017.98,1023.14
2016-12-01,1023.85,1035.41,1020.00,1022.48
2016-11-30,1006.84,1010.51,1002.59,1010.36
2016-11-29,1000.67,1003.13,995.71,999.28
2016-11-28,1005.43,1011.14,999.53,1006.82
2016-11-25,1018.07,1026.43,1005.45,1009.33
2016-11-24,1011.27,1015.16,1007.78,1011.85
2016-11-22,1003.33,1005.85,997.90,1004.75
2016-11-21,996.24,1002.44,994.52,1001.05
2016-11-18,991.69,998.17,988.76,996.20
2016-11-17,976.82,978.77,970.79,976.97
2016-11-16,976.64,982.19,975.50,980.57
2016-11-15,969.03,974.34,964.22,969.77
2016-11-14,952.20,967.91,950.24,966.48
2016-11-11,951.42,966.69,944.84,947.00
2016-11-10,894.13,943.85,894.13,941.27
2016-11-09,934.15,938.13,865.59,876.18
2016-11-08,924.40,933.97,922.42,929.86
2016-11-07,918.70,923.95,914.19,923.38
2016-11-04,901.28,906.50,894.72,905.52
2016-11-02,916.34,919.02,904.95,907.65
2016-11-01,930.97,932.78,916.54,931.87
2016-10-31,935.12,935.50,916.59,934.83
2016-10-28,944.47,950.01,940.63,944.02
2016-10-27,942.06,946.71,935.97,940.86
2016-10-26,936.70,945.51,932.65,943.98
2016-10-25,934.93,942.07,934.78,938.47
2016-10-24,922.50,931.22,920.87,930.71
2016-10-21,924.64,926.64,919.21,920.70
2016-10-20,907.53,921.65,906.57,921.65
2016-10-19,906.97,912.04,906.34,911.17
2016-10-18,902.37,909.76,901.24,908.92
2016-10-17,891.68,903.69,891.68,902.74
2016-10-14,890.53,893.49,885.28,893.04
2016-10-13,901.11,904.42,889.07,890.97
2016-10-12,895.33,904.67,894.67,896.67
2016-10-11,897.61,909.79,897.53,904.66
2016-10-07,893.85,895.17,888.58,894.01
2016-10-06,896.46,898.99,893.84,894.67
2016-10-05,886.88,891.26,882.23,888.44
2016-10-04,878.74,884.54,877.47,884.54
2016-10-03,882.12,884.10,874.19,875.59
2016-09-30,879.43,879.43,868.82,873.73
2016-09-29,889.34,893.11,881.83,890.42
2016-09-28,875.41,882.72,875.34,881.25
2016-09-27,865.65,887.77,862.15,887.77
2016-09-26,889.06,890.55,875.63,877.34
2016-09-23,892.40,893.97,886.25,892.21
2016-09-21,872.73,898.28,867.67,898.28
2016-09-20,860.35,882.06,859.42,875.88
2016-09-16,878.09,879.11,870.03,873.00
2016-09-15,878.30,886.96,877.87,879.91
2016-09-14,879.74,888.11,876.45,882.95
2016-09-13,891.91,895.06,882.63,887.03
2016-09-12,887.70,892.40,882.33,886.65
2016-09-09,897.87,904.05,896.89,901.24
2016-09-08,901.55,901.74,888.47,894.99
2016-09-07,897.43,904.08,896.49,902.25
2016-09-06,896.32,907.10,895.90,905.33
2016-09-05,901.50,903.12,893.50,894.95
2016-09-02,894.36,894.36,883.33,889.12
2016-09-01,899.16,899.16,892.61,896.99
2016-08-31,899.53,905.81,896.50,904.85
2016-08-30,888.01,895.53,887.27,890.15
2016-08-29,878.61,897.51,878.61,894.51
2016-08-26,864.72,870.08,859.90,862.26
2016-08-25,863.55,868.13,860.11,866.55
2016-08-24,863.21,868.64,861.01,866.14
2016-08-23,861.30,864.96,853.05,855.20
2016-08-22,870.24,870.25,861.46,868.86
2016-08-19,866.16,869.83,860.71,864.25
2016-08-18,862.28,869.27,857.26,859.00
2016-08-17,856.72,870.63,856.52,869.27
2016-08-16,872.39,877.85,856.85,856.85
2016-08-15,876.84,879.98,873.87,874.36
2016-08-12,885.85,885.85,878.81,881.62
2016-08-10,874.34,887.77,873.60,881.64
2016-08-09,872.16,878.10,870.42,877.15
2016-08-08,861.65,876.08,860.79,876.08
2016-08-05,854.96,858.40,847.01,848.54
2016-08-04,843.17,854.44,835.37,852.62
2016-08-03,860.07,860.07,838.29,839.89
2016-08-02,878.55,888.76,875.82,876.15
2016-08-01,893.98,893.98,876.82,884.78
2016-07-29,887.98,911.06,887.09,907.22
2016-07-28,889.02,892.99,881.34,890.71
2016-07-27,879.72,900.87,878.08,893.67
2016-07-26,882.34,882.34,865.23,869.79
2016-07-25,883.09,892.35,881.36,885.99
2016-07-22,885.05,891.83,882.11,885.02
2016-07-21,903.22,906.56,895.44,899.71
2016-07-20,886.42,892.38,883.65,892.38
2016-07-19,877.59,892.27,875.89,892.27
2016-07-15,863.95,879.61,863.78,867.91
2016-07-14,843.55,857.40,843.06,855.55
2016-07-13,842.84,856.03,842.36,846.39
2016-07-12,819.31,836.17,819.31,826.86
2016-07-11,777.64,808.05,777.64,803.41
2016-07-08,779.44,781.82,763.14,763.22
2016-07-07,789.82,790.29,781.19,782.22
2016-07-06,791.97,791.97,779.00,789.67
2016-07-05,807.62,811.89,803.65,807.18
2016-07-04,798.41,812.00,796.45,809.14
2016-07-01,806.43,811.21,801.28,808.88
2016-06-30,805.62,807.60,800.64,800.64
2016-06-29,789.85,796.89,782.98,794.15
2016-06-28,769.03,785.45,758.53,778.21
2016-06-27,798.22,799.21,780.00,786.99
2016-06-24,871.21,875.16,787.21,790.74
2016-06-23,852.62,863.38,849.40,862.84
2016-06-22,853.77,857.60,845.71,852.61
2016-06-21,846.02,859.16,840.02,856.84
2016-06-20,841.58,855.67,839.71,853.37
2016-06-17,826.24,832.42,822.52,827.89
2016-06-16,846.36,847.91,813.53,814.30
2016-06-15,837.46,850.00,832.69,846.24
2016-06-14,847.90,853.16,834.11,839.74
2016-06-13,863.93,863.93,849.23,849.23
2016-06-10,890.72,890.72,874.35,882.45
2016-06-09,894.74,895.95,882.04,888.13
2016-06-08,902.50,902.51,888.61,900.94
2016-06-07,900.56,905.22,897.23,903.47
2016-06-06,887.32,898.31,883.15,898.07
2016-06-03,905.27,909.57,898.33,904.42
2016-06-02,923.60,923.60,897.44,900.59
2016-06-01,935.97,938.53,926.32,929.28
2016-05-31,935.88,941.46,930.91,940.29
2016-05-30,928.28,939.00,928.28,938.73
2016-05-27,916.73,923.44,914.75,920.31
2016-05-26,913.75,919.87,911.65,915.03
2016-05-25,912.07,912.43,904.99,909.33
2016-05-24,900.27,904.26,895.39,896.54
2016-05-23,904.59,904.89,891.48,902.85
2016-05-20,900.18,912.50,897.97,911.22
2016-05-19,919.81,919.81,898.60,902.44
2016-05-18,909.97,920.21,903.67,910.42
2016-05-17,905.57,911.63,901.82,910.78
2016-05-16,900.58,913.08,894.58,898.65
2016-05-13,909.29,909.29,895.78,896.63
2016-05-12,895.70,907.86,892.08,904.64
2016-05-11,913.97,920.09,901.73,903.82
2016-05-10,882.57,907.79,880.10,903.50
2016-05-09,874.49,880.44,867.02,873.57
2016-05-06,872.07,876.85,856.92,864.76
2016-05-02,892.58,892.58,859.31,867.05
2016-04-28,942.96,943.79,908.08,910.83
2016-04-27,930.77,936.16,926.01,931.55
2016-04-26,931.92,933.05,911.54,921.96
2016-04-25,943.65,948.49,937.90,940.45
2016-04-22,919.03,937.04,917.74,937.04
2016-04-21,926.58,930.74,918.62,930.22
2016-04-20,915.40,926.21,907.12,909.39
2016-04-19,890.41,903.49,888.47,903.47
2016-04-18,876.95,881.85,870.70,874.70
2016-04-15,890.28,899.31,888.80,892.01
2016-04-14,873.92,895.82,873.87,895.82
2016-04-13,842.50,859.62,841.83,857.94
2016-04-12,813.61,832.07,809.85,829.66
2016-04-11,807.14,816.76,794.05,815.43
2016-04-08,783.11,818.80,780.30,808.97
2016-04-07,789.52,800.55,786.15,790.37
2016-04-06,783.61,792.18,779.43,787.35
2016-04-05,802.74,806.30,782.72,784.48
2016-04-04,814.06,825.39,804.92,810.16
2016-04-01,853.19,853.89,817.41,818.22
2016-03-31,858.30,864.62,853.93,854.05
2016-03-30,859.62,860.79,849.89,850.45
2016-03-29,856.88,866.08,851.06,862.69
2016-03-28,862.52,865.87,854.73,865.40
2016-03-25,860.38,860.38,849.38,857.12
2016-03-24,860.77,861.52,850.09,854.33
2016-03-23,872.22,873.17,859.32,861.68
2016-03-22,861.31,872.87,855.18,869.64
2016-03-18,856.02,862.58,845.26,851.19
2016-03-17,868.73,873.44,850.45,859.20
2016-03-16,859.62,869.07,859.53,860.99
2016-03-15,875.57,881.79,868.08,870.53
2016-03-14,867.87,876.60,861.77,875.39
2016-03-11,827.57,857.31,827.14,853.99
2016-03-10,839.53,845.11,831.51,842.51
2016-03-09,833.93,836.58,822.08,831.80
2016-03-08,853.42,858.40,833.69,846.32
2016-03-07,865.51,865.51,853.55,856.87
2016-03-04,838.98,860.80,838.98,859.05
2016-03-03,817.12,835.38,817.12,835.38
2016-03-02,811.79,830.13,811.64,824.26
2016-03-01,794.90,797.81,779.03,795.76
2016-02-29,813.79,820.99,797.72,797.72
2016-02-26,818.30,822.17,805.57,806.62
2016-02-25,800.22,817.81,800.22,812.90
2016-02-24,787.26,798.62,780.76,793.65
2016-02-23,803.68,809.05,793.47,795.24
2016-02-22,788.07,803.32,784.95,797.02
2016-02-19,808.15,808.15,788.42,794.34
2016-02-18,818.30,827.32,815.52,818.61
