日付,時刻,始値,高値,安値,終値
2011-12-30,後場,1314.23,1323.58,1314.23,1323.58
2011-12-30,前場,1312.31,1317.05,1309.32,1311.68
2011-12-29,後場,1308.54,1316.45,1303.88,1316.45
2011-12-29,前場,1297.60,1307.09,1297.60,1306.67
2011-12-28,後場,1308.47,1308.47,1302.39,1303.32
2011-12-28,前場,1294.19,1306.55,1294.19,1304.61
2011-12-27,後場,1306.65,1306.66,1303.33,1303.33
2011-12-27,前場,1306.83,1312.37,1304.15,1306.55
2011-12-26,後場,1308.44,1310.27,1307.17,1308.10
2011-12-26,前場,1309.73,1311.14,1304.03,1308.44
2011-12-22,後場,1297.27,1297.57,1291.07,1296.57
2011-12-22,前場,1305.31,1307.49,1291.49,1294.99
2011-12-21,後場,1305.10,1306.44,1302.04,1305.43
2011-12-21,前場,1310.28,1315.22,1302.50,1302.50
2011-12-20,後場,1296.00,1299.71,1294.77,1294.77
2011-12-20,前場,1289.58,1304.93,1289.58,1294.30
2011-12-19,後場,1276.53,1291.87,1269.56,1282.94
2011-12-19,前場,1284.38,1292.57,1281.55,1284.48
2011-12-16,後場,1281.91,1284.50,1276.87,1278.56
2011-12-16,前場,1277.78,1289.51,1270.31,1282.60
2011-12-15,後場,1291.24,1295.97,1284.28,1284.28
2011-12-15,前場,1301.88,1303.53,1286.74,1287.37
2011-12-14,後場,1310.86,1314.44,1307.28,1310.79
2011-12-14,前場,1322.08,1322.08,1306.95,1309.11
2011-12-13,後場,1320.95,1330.49,1319.74,1329.76
2011-12-13,前場,1313.54,1323.45,1312.60,1318.54
2011-12-12,後場,1331.54,1335.28,1328.84,1328.84
2011-12-12,前場,1329.28,1335.10,1324.30,1331.14
2011-12-09,後場,1300.28,1317.65,1299.05,1308.76
2011-12-09,前場,1291.78,1310.08,1291.78,1305.41
2011-12-08,後場,1318.47,1323.62,1313.39,1315.55
2011-12-08,前場,1329.24,1331.31,1313.80,1315.71
2011-12-07,後場,1331.38,1337.55,1326.35,1334.83
2011-12-07,前場,1328.23,1335.25,1322.44,1332.74
2011-12-06,後場,1327.59,1329.02,1317.68,1317.68
2011-12-06,前場,1331.19,1340.33,1326.63,1328.17
2011-12-05,後場,1333.65,1347.42,1333.06,1340.98
2011-12-05,前場,1353.62,1353.62,1331.59,1332.85
2011-12-02,後場,1336.69,1346.20,1333.96,1346.20
2011-12-02,前場,1329.46,1343.34,1322.94,1336.68
2011-12-01,後場,1340.39,1345.62,1324.83,1329.23
2011-12-01,前場,1357.19,1366.03,1333.81,1344.39
2011-11-30,後場,1305.10,1328.11,1304.90,1328.11
2011-11-30,前場,1307.38,1313.94,1303.06,1309.26
2011-11-29,後場,1300.32,1321.07,1297.04,1317.72
2011-11-29,前場,1311.65,1313.80,1295.99,1297.86
2011-11-28,後場,1297.59,1310.23,1296.05,1306.62
2011-11-28,前場,1298.87,1305.35,1291.82,1299.24
2011-11-25,後場,1288.30,1302.44,1284.20,1285.86
2011-11-25,前場,1291.56,1297.26,1283.32,1287.97
2011-11-24,後場,1308.55,1310.76,1295.75,1297.95
2011-11-24,前場,1274.05,1311.78,1273.69,1307.31
2011-11-22,後場,1300.20,1301.74,1285.89,1300.17
2011-11-22,前場,1274.08,1303.47,1274.08,1300.17
2011-11-21,後場,1285.46,1289.55,1283.12,1286.65
2011-11-21,前場,1278.17,1285.66,1270.55,1280.62
2011-11-18,後場,1289.14,1294.79,1287.14,1291.73
2011-11-18,前場,1289.35,1293.74,1287.26,1289.35
2011-11-17,後場,1309.56,1319.68,1302.03,1309.76
2011-11-17,前場,1291.92,1309.41,1289.44,1305.66
2011-11-16,後場,1321.50,1321.70,1308.37,1310.89
2011-11-16,前場,1326.37,1333.62,1323.29,1325.15
2011-11-15,後場,1348.38,1348.66,1330.87,1335.57
2011-11-15,前場,1336.07,1351.09,1334.43,1345.86
2011-11-14,後場,1355.30,1355.97,1343.61,1350.43
2011-11-14,前場,1359.87,1374.09,1351.81,1353.05
2011-11-11,後場,1334.72,1341.05,1327.64,1340.08
2011-11-11,前場,1317.10,1332.52,1314.87,1322.31
2011-11-10,後場,1325.44,1328.35,1296.78,1305.68
