日付,始値,高値,安値,終値
2008-12-30,1042.98,1069.29,1042.98,1067.99
2008-12-29,1025.77,1030.69,1012.46,1030.08
2008-12-26,997.98,1024.56,988.37,1023.02
2008-12-25,992.44,997.15,985.92,994.50
2008-12-24,1026.38,1027.08,984.49,987.62
2008-12-22,1035.37,1044.26,1028.14,1041.07
2008-12-19,1082.83,1083.29,1043.58,1047.02
2008-12-18,1082.94,1108.06,1063.71,1093.88
2008-12-17,1138.76,1139.63,1067.62,1098.00
2008-12-16,1152.20,1152.69,1121.40,1126.91
2008-12-15,1116.54,1163.82,1116.47,1155.83
2008-12-12,1186.19,1186.25,1081.66,1101.15
2008-12-11,1179.82,1205.95,1162.11,1205.95
2008-12-10,1197.46,1205.08,1166.65,1196.63
2008-12-09,1161.72,1202.83,1161.39,1192.71
2008-12-08,1096.65,1164.68,1093.82,1152.10
2008-12-05,1077.57,1108.30,1077.55,1087.85
2008-12-04,1149.54,1150.24,1048.77,1072.61
2008-12-03,1191.27,1198.54,1144.16,1159.40
2008-12-02,1213.06,1213.42,1163.79,1173.82
2008-12-01,1242.99,1243.45,1213.18,1234.18
2008-11-28,1226.00,1249.79,1208.72,1247.20
2008-11-27,1219.42,1233.50,1208.25,1223.30
2008-11-26,1199.15,1210.28,1193.31,1204.22
2008-11-25,1217.52,1247.91,1163.77,1197.37
2008-11-21,1219.60,1219.97,1156.93,1196.07
2008-11-20,1294.24,1294.24,1235.62,1240.50
2008-11-19,1303.42,1316.95,1286.59,1314.13
2008-11-18,1266.14,1305.59,1263.45,1290.49
2008-11-17,1256.07,1321.26,1240.88,1277.87
2008-11-14,1235.84,1290.80,1235.84,1259.76
2008-11-13,1276.03,1276.03,1209.85,1213.94
2008-11-12,1255.54,1312.45,1236.44,1297.63
2008-11-11,1276.13,1302.41,1254.76,1277.70
2008-11-10,1230.39,1285.12,1230.18,1265.44
2008-11-07,1258.83,1258.83,1165.04,1213.47
2008-11-06,1348.74,1349.96,1280.33,1280.33
2008-11-05,1350.25,1383.02,1321.01,1370.74
2008-11-04,1308.59,1366.85,1308.59,1362.35
2008-10-31,1391.20,1391.20,1290.26,1291.16
2008-10-30,1320.16,1413.21,1281.81,1406.26
2008-10-29,1263.98,1345.89,1215.64,1301.97
2008-10-28,1118.20,1259.52,1117.05,1242.82
2008-10-27,1260.06,1283.63,1138.00,1139.36
2008-10-24,1374.12,1376.28,1265.32,1278.78
2008-10-23,1362.61,1387.12,1302.39,1377.10
2008-10-22,1481.81,1486.07,1374.68,1383.34
2008-10-21,1451.29,1481.62,1442.59,1477.87
2008-10-20,1322.92,1421.89,1322.49,1421.89
2008-10-17,1325.50,1343.19,1280.06,1304.55
2008-10-16,1300.67,1360.51,1201.44,1316.65
2008-10-15,1279.97,1323.79,1258.70,1322.02
2008-10-14,1154.60,1315.25,1154.60,1298.46
2008-10-10,1151.35,1165.33,1050.45,1133.28
2008-10-09,1192.64,1228.70,1162.41,1172.40
2008-10-08,1288.36,1290.41,1201.74,1209.96
2008-10-07,1316.36,1331.83,1254.06,1310.13
2008-10-06,1356.34,1368.79,1328.70,1338.66
2008-10-03,1406.44,1411.60,1316.33,1348.02
2008-10-02,1487.75,1487.75,1414.58,1423.29
2008-10-01,1509.85,1527.70,1481.37,1491.69
2008-09-30,1501.19,1514.48,1458.20,1496.53
2008-09-29,1579.64,1579.64,1520.05,1523.58
2008-09-26,1612.01,1615.58,1555.00,1565.49
2008-09-25,1574.16,1619.11,1570.04,1607.12
2008-09-24,1563.56,1593.29,1561.10,1588.87
2008-09-22,1567.98,1574.16,1541.11,1557.51
2008-09-19,1542.55,1584.37,1538.64,1565.06
2008-09-18,1525.25,1550.16,1488.89,1524.34
2008-09-17,1576.65,1591.50,1534.90,1552.83
2008-09-16,1585.14,1585.14,1523.99,1568.05
2008-09-12,1621.87,1649.54,1607.59,1613.54
2008-09-11,1613.88,1625.02,1596.66,1606.18
2008-09-10,1540.70,1655.55,1536.77,1638.65
2008-09-09,1540.57,1557.18,1531.59,1546.59
2008-09-08,1549.85,1562.63,1538.86,1546.07
2008-09-05,1524.36,1548.83,1501.55,1543.54
2008-09-04,1545.54,1574.88,1542.98,1549.99
2008-09-03,1471.81,1528.86,1471.61,1525.84
2008-09-02,1450.02,1488.12,1439.07,1451.06
2008-09-01,1441.12,1442.45,1413.89,1429.95
2008-08-29,1438.60,1466.63,1438.60,1463.42
2008-08-28,1424.23,1429.81,1402.14,1417.13
2008-08-27,1432.60,1439.24,1417.23,1428.16
2008-08-26,1408.82,1439.15,1391.09,1435.38
2008-08-25,1401.22,1439.89,1401.22,1431.38
2008-08-22,1390.59,1392.16,1371.53,1379.10
