日付,時刻,始値,高値,安値,終値
2008-12-30,後場,695.34,695.34,695.34,695.34
2008-12-30,前場,687.76,695.66,687.55,695.34
2008-12-29,後場,683.02,691.28,682.24,690.14
2008-12-29,前場,684.56,685.90,683.10,683.54
2008-12-26,後場,683.11,684.53,680.63,684.38
2008-12-26,前場,679.98,684.65,679.65,682.73
2008-12-25,後場,674.78,676.40,673.07,676.40
2008-12-25,前場,673.72,679.11,673.72,675.14
2008-12-24,後場,667.58,673.78,667.32,673.28
2008-12-24,前場,672.71,674.90,665.36,666.53
2008-12-22,後場,678.48,682.16,675.22,677.56
2008-12-22,前場,678.03,681.84,676.92,679.53
2008-12-19,後場,682.62,686.85,677.60,677.60
2008-12-19,前場,686.90,689.51,681.72,681.74
2008-12-18,後場,689.68,691.41,685.06,690.17
2008-12-18,前場,688.66,696.31,685.31,690.77
2008-12-17,後場,691.85,691.85,681.28,691.79
2008-12-17,前場,696.77,699.11,692.38,693.72
2008-12-16,後場,691.92,693.21,688.91,692.10
2008-12-16,前場,693.27,693.35,686.94,692.24
2008-12-15,後場,696.03,697.78,694.49,696.34
2008-12-15,前場,685.13,697.59,684.88,694.37
2008-12-12,後場,689.32,689.36,671.21,676.48
2008-12-12,前場,686.83,693.20,680.97,692.46
2008-12-11,後場,682.94,692.08,682.56,692.08
2008-12-11,前場,688.42,688.42,680.44,683.00
2008-12-10,後場,683.62,689.78,681.55,687.63
2008-12-10,前場,677.81,683.38,677.43,681.76
2008-12-09,後場,676.23,679.33,673.35,677.91
2008-12-09,前場,681.50,682.43,676.79,677.25
2008-12-08,後場,676.87,682.75,676.87,681.99
2008-12-08,前場,669.60,672.73,667.38,672.10
2008-12-05,後場,671.80,675.59,668.02,668.35
2008-12-05,前場,669.62,674.09,668.07,672.10
2008-12-04,後場,671.55,671.55,662.65,668.07
2008-12-04,前場,673.20,676.95,670.99,672.21
2008-12-03,後場,670.04,672.23,664.89,669.89
2008-12-03,前場,665.03,668.95,663.37,666.61
2008-12-02,後場,665.10,669.65,660.10,660.13
2008-12-02,前場,673.60,673.60,657.65,663.14
2008-12-01,後場,682.85,683.98,679.09,679.09
2008-12-01,前場,688.95,689.58,678.22,681.04
2008-11-28,後場,685.26,690.06,683.70,689.94
2008-11-28,前場,688.04,689.66,684.91,686.39
2008-11-27,後場,689.32,690.23,681.65,687.16
2008-11-27,前場,692.48,698.58,688.03,688.90
2008-11-26,後場,695.72,697.16,687.66,689.82
2008-11-26,前場,696.54,702.06,691.20,694.09
2008-11-25,後場,692.57,699.10,681.04,699.10
2008-11-25,前場,686.42,698.41,686.19,692.38
2008-11-21,後場,656.99,682.59,656.41,679.39
2008-11-21,前場,666.21,666.54,650.82,654.91
2008-11-20,後場,681.48,681.64,671.48,671.48
2008-11-20,前場,682.46,683.83,675.48,681.95
2008-11-19,後場,683.14,689.10,680.97,689.10
2008-11-19,前場,687.06,690.35,684.36,685.23
2008-11-18,後場,686.74,691.81,684.27,687.49
2008-11-18,前場,685.35,689.55,681.17,689.55
2008-11-17,後場,687.20,695.98,683.04,686.43
2008-11-17,前場,681.70,686.46,670.86,685.20
2008-11-14,後場,686.63,690.82,682.81,688.10
2008-11-14,前場,672.31,692.84,672.31,688.35
2008-11-13,後場,665.02,672.44,659.83,663.08
2008-11-13,前場,672.54,672.55,658.85,663.91
2008-11-12,後場,680.53,686.70,677.66,681.09
2008-11-12,前場,674.11,683.98,672.92,682.96
2008-11-11,後場,676.86,687.84,676.11,676.64
2008-11-11,前場,679.69,680.33,668.65,674.30
2008-11-10,後場,678.01,683.21,672.20,682.85
2008-11-10,前場,666.94,687.24,665.51,682.03
2008-11-07,後場,660.74,672.46,655.48,659.19
2008-11-07,前場,664.57,666.35,645.03,657.60
2008-11-06,後場,676.71,682.64,670.31,673.35
2008-11-06,前場,677.35,683.43,673.17,678.28
2008-11-05,後場,682.18,688.02,672.05,688.02
2008-11-05,前場,679.96,688.35,679.51,680.92
2008-11-04,後場,664.64,676.32,661.95,674.25
2008-11-04,前場,653.29,668.07,653.29,661.32
2008-10-31,後場,655.38,666.62,645.54,645.92
2008-10-31,前場,660.97,661.08,649.51,653.55
2008-10-30,後場,626.23,659.33,623.92,659.33
2008-10-30,前場,629.96,637.55,623.00,624.57
2008-10-29,後場,630.97,631.61,587.68,625.80
2008-10-29,前場,609.81,639.17,609.81,630.00
2008-10-28,後場,573.51,604.72,573.24,601.04
2008-10-28,前場,579.03,579.87,565.18,572.16
2008-10-27,後場,600.11,603.64,583.13,584.51
2008-10-27,前場,602.98,609.44,596.20,601.67
2008-10-24,後場,623.98,623.98,603.51,605.25
2008-10-24,前場,645.15,645.15,627.77,628.98
