日付,始値,高値,安値,終値
2007-12-28,1002.14,1002.41,995.16,997.03
2007-12-27,1005.96,1007.74,1000.32,1005.68
2007-12-26,1004.62,1011.79,1003.39,1011.79
2007-12-25,1007.12,1011.05,1000.51,1002.71
2007-12-21,992.99,1000.32,988.75,1000.06
2007-12-20,995.17,995.59,988.01,990.17
2007-12-19,995.25,999.21,986.82,986.82
2007-12-18,984.12,998.85,982.77,996.21
2007-12-17,1001.47,1004.53,991.15,991.34
2007-12-14,1005.96,1014.18,1002.85,1007.70
2007-12-13,1016.46,1017.87,1005.20,1005.28
2007-12-12,1014.78,1025.95,1009.97,1023.95
2007-12-11,1025.69,1029.28,1018.50,1020.75
2007-12-10,1038.54,1040.19,1018.09,1021.72
2007-12-07,1036.71,1045.97,1036.66,1038.46
2007-12-06,1040.82,1041.14,1024.75,1029.23
2007-12-05,1024.51,1037.39,1020.79,1037.39
2007-12-04,1028.07,1034.80,1028.07,1031.38
2007-12-03,1031.18,1032.68,1023.31,1026.79
2007-11-30,1024.87,1031.78,1022.11,1026.03
2007-11-29,1029.52,1037.94,1023.65,1026.46
2007-11-28,1019.12,1022.45,1015.03,1021.44
2007-11-27,996.63,1018.20,993.84,1017.53
2007-11-26,996.65,1012.79,996.01,1006.28
2007-11-22,989.15,1002.44,987.65,1001.20
2007-11-21,998.89,1005.18,986.20,988.30
2007-11-20,990.07,1004.58,983.93,1002.01
2007-11-19,1003.81,1007.28,995.99,999.78
2007-11-16,1009.46,1009.46,996.87,1001.92
2007-11-15,1022.01,1028.25,1014.77,1017.01
2007-11-14,1013.71,1022.89,1010.45,1022.85
2007-11-13,997.28,1009.43,994.77,1004.61
2007-11-12,998.11,1001.85,989.05,1000.68
2007-11-09,1006.13,1015.16,1003.04,1007.04
2007-11-08,1013.30,1013.30,996.45,1006.96
2007-11-07,1048.17,1048.17,1023.85,1026.16
2007-11-06,1035.25,1052.44,1035.25,1045.72
2007-11-05,1052.97,1053.04,1040.45,1041.83
2007-11-02,1053.07,1062.51,1049.53,1055.94
2007-11-01,1069.50,1072.46,1061.70,1066.12
2007-10-31,1050.72,1067.76,1050.49,1067.76
2007-10-30,1045.50,1051.61,1041.29,1051.61
2007-10-29,1045.39,1057.05,1045.38,1053.41
2007-10-26,1036.86,1042.05,1035.14,1040.79
2007-10-25,1033.79,1042.39,1029.25,1034.94
2007-10-24,1037.13,1041.99,1030.03,1032.42
2007-10-23,1028.92,1039.70,1026.75,1034.13
2007-10-22,1027.98,1031.71,1018.89,1029.18
2007-10-19,1044.28,1044.47,1034.72,1039.68
2007-10-18,1039.19,1052.99,1039.19,1052.61
2007-10-17,1052.27,1052.36,1033.59,1039.30
2007-10-16,1063.83,1065.65,1055.18,1055.62
2007-10-15,1067.30,1072.86,1063.49,1066.97
2007-10-12,1063.25,1070.62,1062.95,1066.47
