日付,時刻,始値,高値,安値,終値
2016-12-30,後場,458.66,459.64,457.82,458.39
2016-12-30,前場,457.76,457.76,455.70,456.81
2016-12-29,後場,461.33,461.35,458.43,460.67
2016-12-29,前場,463.94,463.94,460.49,461.28
2016-12-28,後場,465.90,466.83,465.04,465.78
2016-12-28,前場,465.23,467.45,465.14,465.68
2016-12-27,後場,467.71,467.76,464.36,465.40
2016-12-27,前場,465.83,469.20,464.04,467.65
2016-12-26,後場,471.54,471.61,469.45,469.81
2016-12-26,前場,473.65,473.65,470.23,471.43
2016-12-22,後場,473.54,474.01,471.98,473.62
2016-12-22,前場,470.89,474.17,468.70,474.17
2016-12-21,後場,472.57,474.53,471.29,472.97
2016-12-21,前場,473.04,475.32,471.70,473.04
2016-12-20,後場,473.14,473.61,471.67,472.55
2016-12-20,前場,473.42,473.42,470.64,473.00
2016-12-19,後場,474.57,477.32,474.57,477.06
2016-12-19,前場,475.35,477.79,473.57,474.74
2016-12-16,後場,474.28,476.17,471.94,475.42
2016-12-16,前場,479.44,480.09,473.83,474.38
2016-12-15,後場,474.70,477.26,474.25,475.23
2016-12-15,前場,475.13,475.79,473.12,475.08
2016-12-14,後場,474.94,476.89,474.94,475.42
2016-12-14,前場,475.20,476.89,473.25,474.69
2016-12-13,後場,474.09,476.50,473.11,476.15
2016-12-13,前場,472.20,476.83,472.14,473.81
2016-12-12,後場,468.95,472.25,467.77,471.75
2016-12-12,前場,472.99,473.87,468.86,469.76
2016-12-09,後場,472.59,474.63,471.86,474.04
2016-12-09,前場,472.90,473.44,469.51,472.58
2016-12-08,後場,468.15,470.75,467.05,470.32
2016-12-08,前場,467.94,471.64,467.55,468.48
2016-12-07,後場,462.12,463.81,461.99,463.59
2016-12-07,前場,459.42,464.61,459.42,462.67
2016-12-06,後場,458.02,460.95,457.38,460.95
2016-12-06,前場,463.53,463.53,457.22,457.54
2016-12-05,後場,462.68,463.83,460.79,462.95
2016-12-05,前場,464.32,464.59,458.99,462.70
2016-12-02,後場,458.43,463.18,457.89,462.82
2016-12-02,前場,454.03,459.09,453.56,459.09
2016-12-01,後場,461.50,461.50,455.34,456.03
2016-12-01,前場,460.78,462.62,457.23,462.11
2016-11-30,後場,459.51,460.55,459.16,460.04
2016-11-30,前場,463.73,464.23,459.12,459.90
2016-11-29,後場,463.65,463.80,461.02,463.34
2016-11-29,前場,460.13,465.19,460.13,464.05
2016-11-28,後場,460.31,464.76,459.61,464.30
2016-11-28,前場,461.49,461.49,457.52,460.80
2016-11-25,後場,465.56,466.01,461.26,464.13
2016-11-25,前場,463.13,466.09,462.79,466.09
2016-11-24,後場,462.00,463.33,460.57,461.74
2016-11-24,前場,460.55,462.18,458.60,461.82
2016-11-22,後場,453.56,455.71,452.88,455.48
2016-11-22,前場,452.29,453.81,450.68,453.81
2016-11-21,後場,451.79,452.32,449.92,450.72
2016-11-21,前場,450.14,453.28,449.59,452.42
2016-11-18,後場,448.12,449.38,447.00,448.02
2016-11-18,前場,446.96,448.28,446.23,448.14
2016-11-17,後場,444.12,444.50,442.65,444.50
2016-11-17,前場,441.65,445.74,441.65,445.74
2016-11-16,後場,441.91,443.77,441.33,443.77
2016-11-16,前場,438.32,442.19,436.43,442.16
2016-11-15,後場,436.02,436.20,433.39,434.96
2016-11-15,前場,442.12,443.10,435.84,435.88
2016-11-14,後場,445.79,446.55,442.24,443.61
2016-11-14,前場,437.42,446.43,437.42,446.15
2016-11-11,後場,432.56,432.61,429.75,432.35
2016-11-11,前場,433.41,435.65,431.12,432.03
2016-11-10,後場,430.19,430.35,427.59,429.99
2016-11-10,前場,419.50,430.66,419.50,429.99
2016-11-09,後場,415.09,417.29,408.07,411.04
2016-11-09,前場,430.39,432.92,417.52,419.16
2016-11-08,後場,430.32,430.38,428.40,428.65
2016-11-08,前場,431.01,434.04,430.02,430.69
2016-11-07,後場,440.63,440.63,429.73,430.59
2016-11-07,前場,439.02,442.00,438.75,441.09
2016-11-04,後場,436.54,437.81,435.78,437.47
2016-11-04,前場,437.28,440.56,435.10,437.94
2016-11-02,後場,442.76,444.00,441.35,442.40
2016-11-02,前場,444.18,446.30,443.23,444.55
2016-11-01,後場,445.94,448.47,445.85,448.47
2016-11-01,前場,445.17,445.30,442.59,444.54
2016-10-31,後場,446.61,448.32,446.41,447.65
2016-10-31,前場,446.45,447.79,444.82,446.13
2016-10-28,後場,443.71,447.84,443.49,447.27
2016-10-28,前場,445.91,447.19,443.53,443.79
2016-10-27,後場,441.46,443.59,440.65,442.95
2016-10-27,前場,442.48,444.04,441.33,442.47
2016-10-26,後場,443.29,444.21,442.36,442.99
2016-10-26,前場,440.97,443.01,439.84,443.01
2016-10-25,後場,440.29,443.05,440.23,442.31
2016-10-25,前場,441.14,442.78,439.70,439.81
2016-10-24,後場,435.29,437.88,435.18,437.58
2016-10-24,前場,434.19,436.23,433.61,434.80
2016-10-21,後場,432.54,434.98,432.54,434.56
2016-10-21,前場,434.39,434.62,431.74,432.75
2016-10-20,後場,428.91,431.23,428.79,431.23
2016-10-20,前場,426.99,429.41,425.65,428.82
2016-10-19,後場,425.00,425.76,423.98,425.52
2016-10-19,前場,425.66,426.49,423.55,425.47
2016-10-18,後場,422.68,426.16,422.15,425.75
2016-10-18,前場,421.49,424.07,419.32,422.64
2016-10-17,後場,419.30,420.97,418.90,419.84
2016-10-17,前場,419.49,422.11,417.57,418.27
2016-10-14,後場,418.15,421.22,417.51,420.05
2016-10-14,前場,416.90,419.22,416.44,417.53
2016-10-13,後場,416.81,419.53,415.87,418.69
2016-10-13,前場,423.75,423.98,416.37,417.06
2016-10-12,後場,425.70,425.88,421.79,422.07
2016-10-12,前場,423.10,428.49,422.14,426.71
2016-10-11,後場,426.15,426.33,424.04,425.15
2016-10-11,前場,424.47,427.10,424.39,426.08
2016-10-07,後場,423.95,425.06,423.86,424.50
2016-10-07,前場,423.83,425.00,422.96,424.71
2016-10-06,後場,424.38,424.64,422.85,423.46
2016-10-06,前場,422.41,425.45,421.71,424.50
