日付,始値,高値,安値,終値
2012-12-28,290.87,291.81,287.17,289.16
2012-12-27,280.60,290.32,280.24,288.27
2012-12-26,275.84,280.35,275.84,278.45
2012-12-25,275.12,278.07,273.87,275.26
2012-12-21,277.96,278.06,268.96,272.42
2012-12-20,276.97,278.05,271.10,275.07
2012-12-19,267.77,278.05,266.65,277.43
2012-12-18,257.44,266.87,257.44,264.58
2012-12-17,260.05,260.93,255.45,256.45
2012-12-14,258.00,258.65,255.74,257.36
2012-12-13,255.64,259.89,255.61,258.92
2012-12-12,253.06,255.05,252.63,253.50
2012-12-11,252.75,253.06,251.02,251.79
2012-12-10,257.04,257.04,251.98,252.60
2012-12-07,254.93,256.28,253.54,254.04
2012-12-06,254.81,257.96,253.67,254.46
2012-12-05,257.30,261.62,253.97,254.77
2012-12-04,256.30,257.89,253.21,257.76
2012-12-03,260.67,262.91,259.53,261.09
2012-11-30,257.58,260.24,255.75,257.79
2012-11-29,253.34,257.60,252.56,257.34
2012-11-28,254.61,256.34,250.42,250.96
2012-11-27,255.51,257.61,255.14,256.67
2012-11-26,252.26,255.15,251.97,252.82
2012-11-22,250.40,251.84,248.34,249.57
2012-11-21,246.81,250.32,245.09,247.17
2012-11-20,247.11,247.90,245.20,246.52
2012-11-19,244.31,245.82,242.24,245.03
2012-11-16,238.02,240.23,237.29,240.23
2012-11-15,233.10,238.09,230.87,237.14
2012-11-14,233.57,234.88,232.52,233.53
2012-11-13,232.10,234.79,231.92,234.43
2012-11-12,230.19,232.65,229.41,230.96
2012-11-09,231.80,232.30,229.69,231.59
2012-11-08,237.75,239.03,234.14,234.46
2012-11-07,240.73,243.29,239.25,241.26
2012-11-06,239.87,240.65,237.73,238.67
2012-11-05,241.24,244.92,239.60,240.70
2012-11-02,236.79,243.58,236.79,243.46
2012-11-01,230.86,234.89,229.61,234.50
2012-10-31,229.72,233.73,228.73,231.03
2012-10-30,228.50,230.91,225.85,227.84
2012-10-29,230.25,231.38,227.43,228.93
2012-10-26,233.23,233.52,228.07,229.57
2012-10-25,228.20,232.07,228.05,231.79
2012-10-24,225.96,228.76,225.39,227.24
2012-10-23,233.70,234.18,228.98,229.51
2012-10-22,228.32,234.47,227.82,233.22
2012-10-19,232.03,236.16,231.47,233.54
2012-10-18,230.97,233.27,229.29,232.23
2012-10-17,222.64,231.63,221.92,229.73
2012-10-16,218.54,219.58,215.12,219.46
2012-10-15,213.44,216.86,211.27,216.76
2012-10-12,216.15,216.84,212.25,212.56
2012-10-11,212.63,218.45,212.63,214.65
2012-10-10,214.58,216.05,212.73,213.76
2012-10-09,221.70,221.86,217.08,217.47
2012-10-05,226.90,227.64,224.24,226.78
2012-10-04,226.48,226.90,220.77,225.19
2012-10-03,229.95,230.41,224.87,225.52
2012-10-02,236.07,236.11,231.69,231.97
2012-10-01,233.39,235.69,231.02,234.88
2012-09-28,237.84,240.45,232.62,234.16
2012-09-27,236.64,238.54,234.19,237.06
2012-09-26,243.62,244.68,238.96,240.45
2012-09-25,246.24,246.91,243.61,246.91
2012-09-24,247.96,248.20,244.19,246.37
2012-09-21,245.92,248.77,243.19,248.77
2012-09-20,251.45,252.41,244.16,244.91
2012-09-19,250.04,251.29,243.29,249.60
2012-09-18,248.54,250.42,247.41,248.06
2012-09-14,244.92,248.91,244.06,247.92
2012-09-13,237.84,244.08,236.84,242.37
2012-09-12,234.65,237.93,234.30,237.64
2012-09-11,235.06,235.24,232.55,234.87
2012-09-10,234.27,238.92,233.22,235.38
2012-09-07,230.40,232.13,228.23,231.90
2012-09-06,229.27,229.27,224.64,225.17
2012-09-05,233.08,233.16,228.15,228.59
2012-09-04,235.16,235.67,232.69,233.85
2012-09-03,236.63,238.47,234.56,234.56
2012-08-31,239.09,239.98,235.34,235.78
