日付,時刻,始値,高値,安値,終値
2012-12-28,後場,1120.14,1124.94,1113.88,1120.92
2012-12-28,前場,1129.20,1131.49,1102.25,1120.86
2012-12-27,後場,1130.29,1131.74,1112.19,1121.76
2012-12-27,前場,1112.07,1122.86,1107.82,1122.78
2012-12-26,後場,1085.39,1100.53,1085.02,1100.53
2012-12-26,前場,1090.32,1094.23,1085.39,1086.36
2012-12-25,後場,1084.06,1086.80,1074.58,1077.81
2012-12-25,前場,1072.73,1093.12,1072.36,1086.65
2012-12-21,後場,1053.56,1061.14,1044.70,1052.07
2012-12-21,前場,1053.33,1085.04,1053.33,1060.98
2012-12-20,後場,1024.24,1038.04,1022.83,1034.72
2012-12-20,前場,1014.94,1024.48,1013.29,1023.00
2012-12-19,後場,1013.26,1022.66,1011.73,1022.66
2012-12-19,前場,1015.28,1021.76,998.53,1013.10
2012-12-18,後場,996.76,1006.46,996.76,1003.13
2012-12-18,前場,981.41,997.70,981.41,995.33
2012-12-17,後場,984.73,985.83,982.13,982.62
2012-12-17,前場,980.42,988.06,979.04,985.25
2012-12-14,後場,965.12,965.47,959.76,960.29
2012-12-14,前場,955.25,964.37,954.61,963.18
2012-12-13,後場,967.08,967.08,961.51,961.58
2012-12-13,前場,956.83,966.67,955.95,965.50
2012-12-12,後場,931.63,940.30,930.58,940.10
2012-12-12,前場,928.90,932.79,926.40,932.03
2012-12-11,後場,916.63,919.08,914.56,917.43
2012-12-11,前場,926.53,926.74,914.36,915.23
2012-12-10,後場,926.97,927.74,924.37,927.02
2012-12-10,前場,929.70,929.97,923.42,927.45
2012-12-07,後場,923.59,925.91,919.65,922.59
2012-12-07,前場,925.63,928.47,920.66,923.52
2012-12-06,後場,918.45,921.03,913.57,918.70
2012-12-06,前場,923.35,927.46,915.75,919.94
2012-12-05,後場,920.48,921.17,914.21,915.58
2012-12-05,前場,925.99,927.12,911.95,915.98
2012-12-04,後場,930.18,932.53,928.36,928.36
2012-12-04,前場,924.64,934.98,922.50,929.74
2012-12-03,後場,932.25,933.45,925.84,927.14
2012-12-03,前場,918.56,935.83,913.64,932.96
2012-11-30,後場,914.18,915.13,907.36,907.67
2012-11-30,前場,913.24,914.88,902.25,914.79
2012-11-29,後場,905.04,913.04,904.85,911.49
2012-11-29,前場,912.92,914.66,904.20,904.20
2012-11-28,後場,908.39,911.72,905.93,905.93
2012-11-28,前場,916.20,917.87,908.31,908.75
2012-11-27,後場,915.18,921.75,914.82,919.00
2012-11-27,前場,906.26,917.97,905.29,916.11
2012-11-26,後場,915.20,916.19,906.86,908.74
2012-11-26,前場,932.87,932.91,913.76,916.37
2012-11-22,後場,916.35,922.78,915.80,922.78
2012-11-22,前場,920.96,921.49,911.32,917.73
2012-11-21,後場,919.35,920.20,913.07,916.24
2012-11-21,前場,936.48,936.83,918.01,920.13
2012-11-20,後場,936.62,937.49,926.78,931.22
2012-11-20,前場,934.97,943.49,933.51,937.35
2012-11-19,後場,938.53,942.03,936.74,937.64
2012-11-19,前場,935.87,939.47,932.54,938.02
2012-11-16,後場,925.00,929.08,923.61,927.68
2012-11-16,前場,926.76,927.43,918.99,924.22
2012-11-15,後場,906.77,917.32,904.08,916.62
2012-11-15,前場,900.36,914.69,900.36,905.09
2012-11-14,後場,880.39,884.57,878.93,883.57
2012-11-14,前場,865.82,884.19,864.56,882.41
2012-11-13,後場,862.80,868.81,857.39,867.12
2012-11-13,前場,873.10,875.96,860.47,862.30
2012-11-12,後場,875.49,875.49,867.05,867.05
2012-11-12,前場,879.50,882.70,876.48,877.75
2012-11-09,後場,888.08,889.13,883.32,886.01
2012-11-09,前場,882.26,891.14,879.91,887.54
2012-11-08,後場,899.58,901.10,894.38,896.55
2012-11-08,前場,902.66,907.34,901.35,905.03
2012-11-07,後場,908.42,917.13,908.42,916.31
2012-11-07,前場,920.47,920.47,908.36,911.84
2012-11-06,後場,914.40,917.80,912.16,917.39
2012-11-06,前場,919.95,919.95,914.28,915.03
2012-11-05,後場,923.88,925.25,920.24,922.40
2012-11-05,前場,923.95,928.56,923.10,924.84
2012-11-02,後場,925.02,930.26,925.02,929.98
2012-11-02,前場,915.90,929.10,915.90,923.59
2012-11-01,後場,901.88,903.29,898.27,901.33
2012-11-01,前場,892.39,901.25,889.35,898.89
2012-10-31,後場,880.45,890.10,879.50,886.21
2012-10-31,前場,875.35,881.12,873.11,878.72
2012-10-30,後場,881.96,890.64,871.58,871.71
2012-10-30,前場,890.91,895.37,883.13,887.41
2012-10-29,後場,887.68,892.93,886.83,891.13
2012-10-29,前場,882.48,893.20,881.86,889.78
2012-10-26,後場,883.72,884.51,876.37,877.19
2012-10-26,前場,891.09,895.15,888.57,888.90
2012-10-25,後場,885.99,890.23,883.53,890.23
2012-10-25,前場,889.41,892.12,884.57,887.71
2012-10-24,後場,890.44,896.11,886.92,887.65
2012-10-24,前場,880.50,894.21,880.50,890.28
2012-10-23,後場,885.28,891.92,882.34,890.05
2012-10-23,前場,898.31,901.75,887.54,887.96
2012-10-22,後場,892.48,894.66,891.06,892.71
2012-10-22,前場,877.53,890.84,876.89,888.90
2012-10-19,後場,887.37,890.24,886.17,888.72
2012-10-19,前場,884.34,892.17,883.95,886.95
2012-10-18,後場,896.13,896.38,886.94,888.40
2012-10-18,前場,885.95,896.00,885.95,894.02
2012-10-17,後場,877.23,881.47,872.90,874.97
2012-10-17,前場,863.10,877.86,862.62,877.86
2012-10-16,後場,857.94,861.36,857.45,858.89
2012-10-16,前場,851.16,859.90,850.67,856.95
2012-10-15,後場,849.08,852.05,845.77,848.99
2012-10-15,前場,851.48,853.07,842.89,848.17
2012-10-12,後場,855.64,857.88,853.29,856.53
2012-10-12,前場,852.11,860.89,850.49,858.32
2012-10-11,後場,849.82,849.82,838.43,840.08
2012-10-11,前場,843.98,852.81,833.53,849.11
2012-10-10,後場,855.92,858.34,853.15,856.06
2012-10-10,前場,849.73,860.16,848.15,855.41
2012-10-09,後場,869.79,869.79,859.27,860.40
2012-10-09,前場,861.90,873.08,860.61,872.48
2012-10-05,後場,843.60,856.20,838.91,855.45
2012-10-05,前場,851.11,853.11,846.05,848.00
2012-10-04,後場,849.06,851.57,847.27,847.99
2012-10-04,前場,836.26,847.04,836.26,844.92
2012-10-03,後場,827.28,829.09,820.79,824.97
2012-10-03,前場,813.30,830.12,812.78,827.89
2012-10-02,後場,823.73,824.18,812.15,813.40
2012-10-02,前場,821.82,824.70,818.00,823.84
2012-10-01,後場,820.55,822.30,815.88,822.21
