日付,始値,高値,安値,終値
2007-12-28,1552.34,1552.34,1521.56,1547.08
2007-12-27,1592.13,1592.13,1562.99,1574.31
2007-12-26,1588.65,1598.83,1573.87,1598.83
2007-12-25,1531.92,1591.98,1531.65,1587.84
2007-12-21,1517.58,1536.63,1497.89,1510.46
2007-12-20,1547.65,1550.90,1522.75,1527.56
2007-12-19,1539.55,1560.45,1523.98,1527.10
2007-12-18,1507.99,1554.72,1488.09,1537.14
2007-12-17,1568.33,1608.72,1520.42,1525.04
2007-12-14,1643.75,1643.75,1535.01,1575.12
2007-12-13,1715.54,1716.11,1641.09,1649.61
2007-12-12,1756.50,1756.50,1706.02,1736.11
2007-12-11,1780.60,1791.89,1770.58,1781.96
2007-12-10,1776.77,1786.80,1754.39,1767.86
2007-12-07,1766.10,1810.15,1765.55,1778.41
2007-12-06,1735.83,1761.54,1726.84,1742.72
2007-12-05,1721.17,1721.39,1690.18,1711.31
2007-12-04,1783.97,1785.06,1715.79,1725.78
2007-12-03,1788.18,1808.29,1766.52,1767.78
2007-11-30,1753.33,1787.48,1753.33,1764.43
2007-11-29,1717.67,1764.06,1717.52,1757.30
2007-11-28,1711.60,1739.81,1690.25,1692.95
2007-11-27,1679.28,1706.50,1626.11,1697.76
2007-11-26,1623.71,1716.48,1622.37,1701.81
2007-11-22,1623.38,1646.22,1592.94,1622.35
2007-11-21,1652.08,1704.93,1636.65,1645.37
2007-11-20,1655.47,1669.11,1599.52,1667.22
2007-11-19,1683.28,1716.79,1671.23,1678.49
2007-11-16,1736.78,1736.88,1666.10,1685.92
2007-11-15,1765.65,1790.95,1757.08,1759.50
2007-11-14,1737.68,1777.83,1737.26,1768.02
2007-11-13,1714.59,1747.98,1687.53,1715.62
2007-11-12,1731.81,1732.48,1668.18,1692.51
2007-11-09,1762.36,1781.67,1732.31,1754.59
2007-11-08,1826.89,1827.54,1743.31,1775.40
2007-11-07,1908.13,1919.21,1851.08,1855.44
2007-11-06,1882.65,1927.23,1882.07,1883.73
2007-11-05,1952.11,1952.11,1889.38,1901.61
2007-11-02,1988.63,1988.63,1939.40,1944.20
2007-11-01,2024.08,2038.75,1992.52,2017.91
2007-10-31,2009.74,2032.11,1977.53,2019.48
2007-10-30,1947.74,2026.36,1947.74,2015.24
2007-10-29,1925.38,1945.14,1910.96,1936.29
2007-10-26,1872.07,1896.80,1860.14,1896.80
2007-10-25,1881.68,1898.71,1848.78,1864.35
2007-10-24,1892.99,1937.71,1880.71,1885.87
2007-10-23,1876.90,1895.72,1857.59,1874.61
2007-10-22,1864.78,1873.82,1814.97,1853.37
2007-10-19,1905.75,1906.12,1866.08,1894.24
2007-10-18,1928.65,1954.90,1917.25,1931.61
2007-10-17,1953.23,1953.23,1909.30,1930.52
2007-10-16,2003.36,2010.29,1951.97,1969.17
2007-10-15,2056.86,2059.99,2018.22,2028.25
2007-10-12,2091.40,2092.88,2034.93,2051.78
2007-10-11,2090.12,2112.29,2049.78,2108.77
2007-10-10,2103.62,2113.96,2052.91,2070.03
2007-10-09,2107.25,2144.49,2075.05,2080.70
2007-10-05,2048.98,2080.05,2034.77,2080.05
2007-10-04,2048.03,2087.39,2042.04,2063.59
2007-10-03,2021.63,2086.77,2018.13,2067.73
2007-10-02,1994.26,2029.40,1991.81,2012.42
2007-10-01,1980.29,2008.08,1928.41,1966.20
2007-09-28,2033.12,2054.07,1976.77,1988.34
2007-09-27,1896.79,2020.91,1896.79,2016.20
2007-09-26,1836.07,1903.34,1815.49,1871.52
2007-09-25,1770.70,1856.21,1763.03,1844.96
2007-09-21,1788.03,1811.78,1765.68,1769.74
2007-09-20,1803.36,1831.84,1781.89,1793.65
2007-09-19,1693.85,1782.13,1693.82,1778.31
2007-09-18,1721.33,1721.90,1655.20,1669.42
2007-09-14,1722.81,1746.13,1684.68,1742.12
2007-09-13,1733.33,1751.22,1711.50,1714.36
2007-09-12,1706.74,1767.86,1705.44,1718.16
2007-09-11,1633.12,1695.60,1598.44,1683.74
2007-09-10,1672.32,1672.32,1610.61,1626.63
2007-09-07,1729.76,1735.26,1674.50,1697.26
2007-09-06,1749.08,1749.20,1675.89,1722.88
2007-09-05,1855.50,1855.50,1760.94,1772.26
2007-09-04,1864.15,1872.52,1843.56,1849.87
2007-09-03,1907.79,1907.79,1872.58,1882.80
2007-08-31,1861.22,1906.89,1861.22,1906.89
2007-08-30,1878.84,1892.75,1854.83,1861.51
2007-08-29,1865.83,1865.83,1832.00,1853.40
2007-08-28,1887.65,1919.77,1885.27,1893.60
2007-08-27,1915.13,1938.62,1884.09,1892.95
2007-08-24,1888.15,1915.54,1873.09,1888.79
2007-08-23,1840.13,1901.71,1839.50,1901.71
2007-08-22,1836.76,1837.86,1804.50,1818.00
2007-08-21,1813.15,1856.78,1798.90,1843.91
2007-08-20,1762.01,1842.63,1761.96,1813.99
2007-08-17,1824.95,1847.33,1724.65,1737.99
2007-08-16,1870.64,1870.64,1796.89,1842.39
2007-08-15,1933.58,1943.51,1888.06,1897.84
2007-08-14,1953.30,1953.30,1924.74,1951.48
2007-08-13,2001.35,2001.35,1955.76,1968.58
2007-08-10,2050.64,2054.85,1990.87,1999.94
2007-08-09,2054.37,2090.81,2054.37,2076.36
2007-08-08,2031.21,2049.27,2022.90,2033.87
2007-08-07,2030.10,2037.24,2008.65,2018.39
2007-08-06,1991.86,2046.36,1988.86,2029.04
2007-08-03,2004.15,2041.98,1997.78,2019.53
2007-08-02,1910.36,1983.38,1905.96,1979.17
2007-08-01,1959.05,1959.05,1887.43,1895.77
2007-07-31,1924.84,1958.50,1907.88,1934.32
2007-07-30,1868.33,1905.51,1850.39,1901.84
2007-07-27,1907.52,1911.21,1877.42,1889.29
2007-07-26,1950.24,1963.78,1930.52,1937.38
2007-07-25,1957.79,1980.06,1932.12,1967.52
2007-07-24,1973.29,1989.08,1951.36,1987.43
2007-07-23,1976.05,2010.43,1958.50,1983.59
2007-07-20,2027.77,2027.77,1958.75,1989.25
2007-07-19,2068.51,2074.97,2027.73,2038.37
2007-07-18,2067.65,2090.74,2049.41,2059.08
2007-07-17,2109.86,2109.86,2068.54,2078.93
2007-07-13,2097.13,2109.37,2090.42,2096.10
2007-07-12,2065.34,2093.43,2062.98,2069.74
2007-07-11,2074.33,2074.33,2050.83,2063.82
2007-07-10,2122.34,2122.34,2096.47,2100.71
2007-07-09,2146.13,2146.55,2115.03,2130.85
2007-07-06,2154.18,2156.14,2132.94,2147.91
2007-07-05,2176.60,2179.29,2159.44,2163.71
2007-07-04,2125.77,2166.80,2122.57,2163.24
2007-07-03,2112.81,2137.63,2103.24,2127.04
2007-07-02,2112.47,2118.18,2100.49,2112.78
2007-06-29,2105.54,2132.38,2086.53,2132.38
2007-06-28,2114.59,2118.82,2096.92,2101.42
2007-06-27,2113.16,2113.50,2083.20,2088.93
2007-06-26,2129.65,2152.09,2124.97,2138.06
2007-06-25,2153.82,2154.37,2113.88,2116.50
2007-06-22,2222.78,2229.11,2165.06,2180.40
2007-06-21,2234.20,2259.61,2230.37,2242.15
2007-06-20,2245.48,2279.50,2237.64,2260.17
2007-06-19,2252.85,2265.78,2230.88,2247.62
2007-06-18,2216.52,2259.83,2216.18,2249.70
2007-06-15,2191.99,2199.42,2160.44,2188.15
2007-06-14,2198.95,2218.25,2163.37,2175.93
2007-06-13,2192.34,2195.12,2173.14,2183.74
2007-06-12,2236.93,2257.63,2210.55,2217.38
2007-06-11,2268.09,2275.33,2214.83,2239.73
2007-06-08,2327.30,2327.30,2245.29,2256.95
2007-06-07,2346.29,2354.08,2328.46,2354.08
2007-06-06,2372.13,2388.03,2365.68,2373.08
2007-06-05,2403.90,2406.47,2375.96,2387.08
2007-06-04,2408.25,2422.54,2388.89,2403.75
2007-06-01,2363.51,2393.67,2363.51,2380.72
2007-05-31,2320.54,2352.78,2319.58,2350.71
2007-05-30,2306.99,2331.91,2283.26,2296.56
2007-05-29,2257.45,2305.35,2256.05,2299.97
2007-05-28,2286.68,2291.46,2260.48,2271.94
2007-05-25,2305.76,2305.76,2257.58,2284.65
2007-05-24,2333.19,2340.68,2313.72,2334.21
2007-05-23,2358.95,2371.31,2324.45,2329.54
2007-05-22,2319.74,2358.81,2315.79,2347.56
2007-05-21,2309.17,2324.23,2292.31,2319.22
2007-05-18,2348.97,2349.30,2278.38,2299.80
2007-05-17,2356.72,2379.77,2322.50,2336.02
2007-05-16,2354.64,2365.84,2329.97,2350.95
2007-05-15,2350.44,2369.26,2333.59,2349.10
2007-05-14,2392.03,2404.09,2366.76,2372.07
2007-05-11,2374.71,2374.71,2338.37,2366.37
2007-05-10,2401.71,2464.37,2399.17,2399.17
2007-05-09,2346.07,2376.61,2318.60,2375.80
2007-05-08,2358.99,2384.17,2348.32,2353.16
2007-05-07,2287.28,2375.51,2285.20,2362.54
2007-05-02,2238.71,2262.30,2222.25,2262.30
2007-05-01,2262.37,2262.69,2223.45,2227.36
2007-04-27,2247.60,2278.43,2239.22,2262.07
2007-04-26,2222.14,2262.08,2215.85,2251.80
2007-04-25,2212.36,2212.37,2188.87,2197.16
2007-04-24,2194.19,2224.03,2181.90,2224.03
2007-04-23,2234.28,2254.36,2209.64,2218.21
2007-04-20,2254.63,2261.59,2207.17,2213.71
2007-04-19,2231.46,2264.54,2213.12,2231.09
2007-04-18,2186.57,2240.72,2186.12,2237.08
