日付,時刻,始値,高値,安値,終値
2015-12-30,後場,966.83,972.29,966.74,967.17
2015-12-30,前場,975.24,978.16,966.46,967.38
2015-12-29,後場,968.81,978.35,968.81,973.20
2015-12-29,前場,962.36,968.67,959.33,966.03
2015-12-28,後場,955.72,963.15,954.25,959.50
2015-12-28,前場,960.03,961.54,952.06,954.03
2015-12-25,後場,958.47,959.51,953.09,954.92
2015-12-25,前場,948.80,958.26,946.02,957.27
2015-12-24,後場,945.82,948.26,941.07,941.84
2015-12-24,前場,950.84,951.72,942.78,948.26
2015-12-22,後場,934.95,946.22,934.95,941.60
2015-12-22,前場,937.65,941.27,931.07,934.22
2015-12-21,後場,919.66,937.51,919.12,931.62
2015-12-21,前場,922.11,925.56,912.95,916.97
2015-12-18,後場,952.46,987.79,930.26,934.51
2015-12-18,前場,960.77,963.75,946.03,949.72
2015-12-17,後場,984.14,984.54,963.82,967.21
2015-12-17,前場,963.21,984.40,963.21,983.69
2015-12-16,後場,949.08,956.73,941.61,944.38
2015-12-16,前場,931.47,948.00,929.98,945.71
2015-12-15,後場,923.14,925.18,914.16,915.01
2015-12-15,前場,928.84,931.23,921.64,923.75
2015-12-14,後場,917.53,929.64,917.53,928.84
2015-12-14,前場,928.55,928.79,909.71,915.65
2015-12-11,後場,949.24,952.88,946.75,948.38
2015-12-11,前場,946.81,953.92,942.48,949.41
2015-12-10,後場,956.37,960.07,950.19,951.60
2015-12-10,前場,939.15,953.71,936.32,949.22
2015-12-09,後場,953.22,954.76,950.99,952.98
2015-12-09,前場,959.75,960.64,947.99,951.87
2015-12-08,後場,970.23,973.41,968.10,969.86
2015-12-08,前場,976.56,982.82,970.10,970.38
2015-12-07,後場,980.19,981.59,973.12,974.83
2015-12-07,前場,981.17,981.53,974.99,978.38
2015-12-04,後場,968.43,972.10,966.35,972.10
2015-12-04,前場,968.79,975.77,962.29,972.66
2015-12-03,後場,984.09,988.81,980.61,986.86
2015-12-03,前場,984.51,988.43,980.86,984.44
